hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,16:33:17,hit_001_20260730_163317.csv,512,DEFECT,HIGH,0,64,108,546,500000,5509530,5509530,-3466956,1500705.3,,307,239,坏棒 总长1002mm 任意重度 铁头 307
2,16:33:18,hit_002_20260730_163318.csv,512,DEFECT,HIGH,0,63,108,536,500000,6676145,6676145,-3036869,1981497.4,,307,229,坏棒 总长1002mm 任意重度 铁头 307
3,16:33:18,hit_003_20260730_163318.csv,512,DEFECT,HIGH,0,65,109,551,500000,5502724,5502724,-3209940,1166744.2,,307,244,坏棒 总长1002mm 任意重度 铁头 307
4,16:33:19,hit_004_20260730_163319.csv,512,DEFECT,HIGH,0,67,110,565,500000,5617682,5617682,-3355308,1163361.3,,307,258,坏棒 总长1002mm 任意重度 铁头 307
5,16:33:19,hit_005_20260730_163319.csv,512,DEFECT,HIGH,0,67,110,565,500000,5568148,5568148,-3794344,1019261.2,,307,258,坏棒 总长1002mm 任意重度 铁头 307
6,16:33:19,hit_006_20260730_163319.csv,512,DEFECT,HIGH,0,35,108,360,500000,6316426,6316426,-2892231,2122183.2,,307,53,坏棒 总长1002mm 任意重度 铁头 307
7,16:33:20,hit_007_20260730_163320.csv,512,DEFECT,HIGH,0,69,111,580,500000,4860942,4860942,-3985559,826486.9,,307,273,坏棒 总长1002mm 任意重度 铁头 307
8,16:33:20,hit_008_20260730_163320.csv,512,DEFECT,HIGH,0,64,109,540,500000,5842940,5842940,-3093360,1700936.0,,307,233,坏棒 总长1002mm 任意重度 铁头 307
9,16:33:20,hit_009_20260730_163320.csv,512,DEFECT,HIGH,0,26,114,252,500000,4998195,3861429,-4998195,-177316.7,,307,-55,坏棒 总长1002mm 任意重度 铁头 307
10,16:33:20,hit_010_20260730_163320.csv,512,DEFECT,HIGH,0,67,110,565,500000,5482419,5482419,-3381273,1422208.4,,307,258,坏棒 总长1002mm 任意重度 铁头 307
11,16:33:21,hit_011_20260730_163321.csv,512,DEFECT,HIGH,0,71,112,594,500000,4335263,3965162,-4335263,330895.6,,307,287,坏棒 总长1002mm 任意重度 铁头 307
12,16:33:21,hit_012_20260730_163321.csv,512,DEFECT,HIGH,0,66,110,555,500000,5249187,5249187,-3501638,1242979.0,,307,248,坏棒 总长1002mm 任意重度 铁头 307
13,16:33:21,hit_013_20260730_163321.csv,512,DEFECT,HIGH,0,67,110,565,500000,5441189,5441189,-3771717,1377933.6,,307,258,坏棒 总长1002mm 任意重度 铁头 307
14,16:33:22,hit_014_20260730_163322.csv,512,DEFECT,HIGH,0,66,108,567,500000,4763370,4763370,-3937500,694427.1,,307,260,坏棒 总长1002mm 任意重度 铁头 307
15,16:33:22,hit_015_20260730_163322.csv,512,DEFECT,HIGH,0,70,111,590,500000,4870445,4870445,-4136906,738305.8,,307,283,坏棒 总长1002mm 任意重度 铁头 307
16,16:33:23,hit_016_20260730_163323.csv,512,DEFECT,HIGH,0,36,109,367,500000,5948744,5948744,-3256652,1881400.1,,307,60,坏棒 总长1002mm 任意重度 铁头 307
17,16:33:23,hit_017_20260730_163323.csv,512,DEFECT,HIGH,0,66,108,567,500000,4538050,4538050,-3723606,547328.8,,307,260,坏棒 总长1002mm 任意重度 铁头 307
18,16:33:23,hit_018_20260730_163323.csv,512,DEFECT,HIGH,0,63,108,536,500000,4738746,4738746,-3658035,904527.3,,307,229,坏棒 总长1002mm 任意重度 铁头 307
19,16:33:25,hit_019_20260730_163325.csv,512,DEFECT,HIGH,0,66,108,567,500000,4336844,4336844,-3577098,377372.6,,307,260,坏棒 总长1002mm 任意重度 铁头 307
20,16:33:25,hit_020_20260730_163325.csv,512,DEFECT,HIGH,0,66,108,567,500000,5048653,5048653,-3386956,1440617.4,,307,260,坏棒 总长1002mm 任意重度 铁头 307
21,16:33:26,hit_021_20260730_163326.csv,512,DEFECT,HIGH,0,68,108,587,500000,4532135,4532135,-3963695,523706.3,,307,280,坏棒 总长1002mm 任意重度 铁头 307
22,16:33:27,hit_022_20260730_163327.csv,512,DEFECT,HIGH,0,68,109,581,500000,4672876,4672876,-3842222,879151.6,,307,274,坏棒 总长1002mm 任意重度 铁头 307
23,16:33:28,hit_023_20260730_163328.csv,512,DEFECT,HIGH,0,65,108,556,500000,4687307,4687307,-3692582,678056.1,,307,249,坏棒 总长1002mm 任意重度 铁头 307
24,16:33:28,hit_024_20260730_163328.csv,512,DEFECT,HIGH,0,61,111,500,500000,5239056,5239056,-2844106,1630072.3,,307,193,坏棒 总长1002mm 任意重度 铁头 307
25,16:33:28,hit_025_20260730_163328.csv,512,DEFECT,HIGH,0,67,108,577,500000,4823031,4823031,-3687423,1101392.3,,307,270,坏棒 总长1002mm 任意重度 铁头 307
26,16:33:29,hit_026_20260730_163329.csv,512,DEFECT,HIGH,0,67,109,571,500000,5254515,5254515,-3740254,1515861.7,,307,264,坏棒 总长1002mm 任意重度 铁头 307
27,16:33:31,hit_027_20260730_163331.csv,512,DEFECT,HIGH,0,69,110,585,500000,4801824,4801824,-4122789,853537.8,,307,278,坏棒 总长1002mm 任意重度 铁头 307
28,16:33:31,hit_028_20260730_163331.csv,512,DEFECT,HIGH,0,68,110,575,500000,4405812,4405812,-4119583,641241.7,,307,268,坏棒 总长1002mm 任意重度 铁头 307
29,16:33:32,hit_029_20260730_163332.csv,512,DEFECT,HIGH,0,69,111,580,500000,5108286,5108286,-4175179,893168.7,,307,273,坏棒 总长1002mm 任意重度 铁头 307
30,16:33:32,hit_030_20260730_163332.csv,512,DEFECT,HIGH,0,70,112,584,500000,4597804,4597804,-4055281,605623.4,,307,277,坏棒 总长1002mm 任意重度 铁头 307
31,16:33:33,hit_031_20260730_163333.csv,512,DEFECT,HIGH,0,67,109,571,500000,5078445,5078445,-3814453,724501.5,,307,264,坏棒 总长1002mm 任意重度 铁头 307
32,16:33:33,hit_032_20260730_163333.csv,512,DEFECT,HIGH,0,66,110,555,500000,5835444,5835444,-3351263,1580960.2,,307,248,坏棒 总长1002mm 任意重度 铁头 307
33,16:33:34,hit_033_20260730_163334.csv,512,DEFECT,HIGH,0,70,111,590,500000,4644169,4644169,-4262001,537553.7,,307,283,坏棒 总长1002mm 任意重度 铁头 307
34,16:33:34,hit_034_20260730_163334.csv,512,DEFECT,HIGH,0,22,112,217,500000,4572541,4496254,-4572541,315298.1,,307,-90,坏棒 总长1002mm 任意重度 铁头 307
35,16:33:34,hit_035_20260730_163334.csv,512,DEFECT,HIGH,0,71,112,594,500000,4593452,4541776,-4593452,526273.5,,307,287,坏棒 总长1002mm 任意重度 铁头 307
36,16:33:35,hit_036_20260730_163335.csv,512,DEFECT,HIGH,0,70,111,590,500000,5196365,5196365,-4163568,1096183.1,,307,283,坏棒 总长1002mm 任意重度 铁头 307
37,16:33:35,hit_037_20260730_163335.csv,512,DEFECT,HIGH,0,69,111,580,500000,5171056,5171056,-3826916,1174293.8,,307,273,坏棒 总长1002mm 任意重度 铁头 307
38,16:33:35,hit_038_20260730_163335.csv,512,DEFECT,HIGH,0,70,112,584,500000,4830893,4830893,-4095080,796721.4,,307,277,坏棒 总长1002mm 任意重度 铁头 307
39,16:33:36,hit_039_20260730_163336.csv,512,DEFECT,HIGH,0,69,111,580,500000,5540259,5540259,-3686346,1205111.6,,307,273,坏棒 总长1002mm 任意重度 铁头 307
40,16:33:36,hit_040_20260730_163336.csv,512,DEFECT,HIGH,0,69,113,568,500000,5289092,5289092,-3912947,914082.1,,307,261,坏棒 总长1002mm 任意重度 铁头 307
41,16:33:36,hit_041_20260730_163336.csv,512,DEFECT,HIGH,0,70,111,590,500000,4443786,4443786,-4148335,626534.3,,307,283,坏棒 总长1002mm 任意重度 铁头 307
42,16:33:37,hit_042_20260730_163337.csv,512,DEFECT,HIGH,0,69,111,580,500000,4386627,4386627,-3945554,540132.6,,307,273,坏棒 总长1002mm 任意重度 铁头 307
43,16:33:37,hit_043_20260730_163337.csv,512,DEFECT,HIGH,0,66,108,567,500000,4789768,4789768,-3490559,950895.7,,307,260,坏棒 总长1002mm 任意重度 铁头 307
44,16:33:37,hit_044_20260730_163337.csv,512,DEFECT,HIGH,0,69,111,580,500000,4813240,4813240,-4233628,619817.8,,307,273,坏棒 总长1002mm 任意重度 铁头 307
45,16:33:38,hit_045_20260730_163338.csv,512,DEFECT,HIGH,0,66,112,544,500000,5084424,5084424,-3448107,1104625.8,,307,237,坏棒 总长1002mm 任意重度 铁头 307
46,16:33:38,hit_046_20260730_163338.csv,512,DEFECT,HIGH,0,37,116,349,500000,6158771,6158771,-3069173,2136238.2,,307,42,坏棒 总长1002mm 任意重度 铁头 307
47,16:33:38,hit_047_20260730_163338.csv,512,DEFECT,HIGH,0,69,112,574,500000,4869211,4869211,-3888311,797060.6,,307,267,坏棒 总长1002mm 任意重度 铁头 307
48,16:33:38,hit_048_20260730_163338.csv,512,DEFECT,HIGH,0,68,112,564,500000,4811059,4811059,-3749275,859387.0,,307,257,坏棒 总长1002mm 任意重度 铁头 307
49,16:33:39,hit_049_20260730_163339.csv,512,DEFECT,HIGH,0,69,111,580,500000,5148700,5148700,-3875583,946145.4,,307,273,坏棒 总长1002mm 任意重度 铁头 307
50,16:33:39,hit_050_20260730_163339.csv,512,DEFECT,HIGH,0,67,110,565,500000,5439115,5439115,-3591207,1291586.9,,307,258,坏棒 总长1002mm 任意重度 铁头 307
51,16:33:39,hit_051_20260730_163339.csv,512,DEFECT,HIGH,0,69,111,580,500000,5092912,5092912,-3950537,943749.5,,307,273,坏棒 总长1002mm 任意重度 铁头 307
52,16:33:40,hit_052_20260730_163340.csv,512,DEFECT,HIGH,0,68,111,570,500000,5340446,5340446,-3787241,1029419.7,,307,263,坏棒 总长1002mm 任意重度 铁头 307
53,16:33:40,hit_053_20260730_163340.csv,512,DEFECT,HIGH,0,64,111,530,500000,5956071,5956071,-3347252,1669958.2,,307,223,坏棒 总长1002mm 任意重度 铁头 307
54,16:33:40,hit_054_20260730_163340.csv,512,DEFECT,HIGH,0,66,112,544,500000,5254961,5254961,-3616421,997944.5,,307,237,坏棒 总长1002mm 任意重度 铁头 307
