# note,坏棒 总长1000 轻轻敲 塑料头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,
# time,2026-07-30 17:12:28
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,115
# distance_mm,0
# threshold,500000
# peak_abs,4680530
index,raw24
0,636
1,540
2,787
3,595
4,851
5,755
6,1003
7,731
8,611
9,1059
10,995
11,890
12,1634
13,1218
14,1402
15,626
16,1554
17,1097
18,1353
19,1345
20,1513
21,1433
22,1577
23,1328
24,1296
25,1592
26,1488
27,1272
28,1519
29,1487
30,1959
31,1583
32,871
33,1102
34,1062
35,1430
36,1582
37,1510
38,1558
39,1685
40,1773
41,1613
42,2029
43,1532
44,1444
45,1604
46,1172
47,1380
48,1467
49,1251
50,1571
51,1195
52,1699
53,1483
54,770
55,10
56,-510
57,-1454
58,-3702
59,-14869
60,-67123
61,-193147
62,-395683
63,-621299
64,-846655
65,-1066304
66,-1277814
67,-1481658
68,-1677957
69,-1871368
70,-2060028
71,-2245576
72,-2428406
73,-2611494
74,-2792511
75,-2972594
76,-3149999
77,-3325614
78,-3498968
79,-3670869
80,-3841341
81,-4009768
82,-4174831
83,-4339625
84,-4499239
85,-4656538
86,-4680530
87,-4470966
88,-4234309
89,-4000736
90,-3772703
91,-3545915
92,-3324154
93,-3105548
94,-2888945
95,-2675592
96,-2463906
97,-2255373
98,-2048993
99,-1846255
100,-1645678
101,-1447885
102,-1252284
103,-1059323
104,-868530
105,-679472
106,-493405
107,-309657
108,-129235
109,50181
110,225439
111,398019
112,567978
113,733181
114,898028
115,1026310
116,1117713
117,1219488
118,1353435
119,1506678
120,1657702
121,1805988
122,1950215
123,2061057
124,2139990
125,2206224
126,2272283
127,2358590
128,2464606
129,2570529
130,2661711
131,2728202
132,2776669
133,2821050
134,2865346
135,2909764
136,2952753
137,2987176
138,3005403
139,3003845
140,2976918
141,2927251
142,2855189
143,2757625
144,2626472
145,2452751
146,2233084
147,1987955
148,1741425
149,1495796
150,1254293
151,1017348
152,786008
153,575808
154,414546
155,309511
156,263537
157,273529
158,335672
159,436895
160,565425
161,707580
162,851454
163,986206
164,1099838
165,1176263
166,1202448
167,1158973
168,1029424
169,813570
170,571542
171,329481
172,92136
173,-140459
174,-367818
175,-590885
176,-808957
177,-1022842
178,-1232061
179,-1439655
180,-1642415
181,-1843902
182,-2042141
183,-2238196
184,-2431971
185,-2623626
186,-2812578
187,-2998450
188,-3177188
189,-3328480
190,-3398290
191,-3370371
192,-3246336
193,-3039435
194,-2823192
195,-2609848
196,-2399489
197,-2190700
198,-1984745
199,-1781022
200,-1579669
201,-1379452
202,-1182324
203,-987523
204,-794627
205,-604314
206,-416112
207,-230405
208,-47345
209,134293
210,312844
211,488766
212,661706
213,831922
214,998716
215,1162010
216,1323364
217,1481595
218,1636830
219,1789742
220,1939099
221,2087495
222,2231112
223,2374104
224,2513374
225,2651259
226,2786135
227,2918899
228,3049455
229,3177043
230,3303135
231,3426819
232,3548721
233,3668000
234,3785720
235,3901194
236,4015502
237,4127876
238,4234756
239,4318279
240,4378696
241,4416641
242,4430230
243,4419241
244,4382214
245,4319703
246,4228903
247,4113499
248,3970901
249,3805024
250,3614720
251,3403758
252,3172975
253,2927292
254,2677390
255,2427583
256,2180639
257,1935797
258,1694880
259,1456642
260,1224040
261,996554
262,783753
263,593121
264,426033
265,282756
266,162378
267,61526
268,-23385
269,-95415
270,-161203
271,-223735
272,-289964
273,-362008
274,-445140
275,-539678
276,-647740
277,-768805
278,-901623
279,-1044497
280,-1196529
281,-1354079
282,-1515738
283,-1679777
284,-1843188
285,-2004907
286,-2161654
287,-2311854
288,-2452828
289,-2582161
290,-2695269
291,-2791716
292,-2866392
293,-2918906
294,-2945549
295,-2944950
296,-2914662
297,-2851747
298,-2754934
299,-2619470
300,-2446278
301,-2242956
302,-2038258
303,-1834897
304,-1636113
305,-1438497
306,-1242746
307,-1049554
308,-859034
309,-670233
310,-483663
311,-299380
312,-116519
313,62775
314,240487
315,414626
316,587167
317,755351
318,922291
319,1085107
320,1246038
321,1403550
322,1558595
323,1710852
324,1861011
325,2008352
326,2152643
327,2295092
328,2434932
329,2573267
330,2708033
331,2841998
332,2972107
333,3100568
334,3227446
335,3351540
336,3474747
337,3593979
338,3712780
339,3804135
340,3858990
341,3879463
342,3869854
343,3828349
344,3760514
345,3665695
346,3547895
347,3407742
348,3249094
349,3072234
350,2879739
351,2674723
352,2456460
353,2228017
354,1991089
355,1753134
356,1515087
357,1278727
358,1043946
359,811307
360,579568
361,350393
362,123110
363,-102505
364,-325604
365,-545780
366,-761482
367,-974381
368,-1182166
369,-1386742
370,-1585580
371,-1780747
372,-1969737
373,-2151257
374,-2317026
375,-2463111
376,-2587835
377,-2692183
378,-2777174
379,-2842859
380,-2889408
381,-2917991
382,-2931795
383,-2930949
384,-2918231
385,-2894627
386,-2863194
387,-2823084
388,-2778524
389,-2730632
390,-2679331
391,-2627084
392,-2574779
393,-2521921
394,-2470421
395,-2420991
396,-2372216
397,-2326766
398,-2282354
399,-2240492
400,-2200322
401,-2161358
402,-2123190
403,-2085651
404,-2047948
405,-2008634
406,-1969541
407,-1927228
408,-1882705
409,-1834467
410,-1783315
411,-1727529
412,-1667911
413,-1602467
414,-1532055
415,-1456156
416,-1375834
417,-1290163
418,-1198909
419,-1103443
420,-1002772
421,-898857
422,-790444
423,-679507
424,-564920
425,-449027
426,-331524
427,-213212
428,-94378
429,24290
430,141839
431,257925
432,371870
433,484048
434,591301
435,696285
436,796536
437,893007
438,983746
439,1069018
440,1148527
441,1222515
442,1289566
443,1349640
444,1403444
445,1450344
446,1489927
447,1522289
448,1547335
449,1564762
450,1574587
451,1576195
452,1569179
453,1553179
454,1527670
455,1492379
456,1447453
457,1393116
458,1329162
459,1256808
460,1177926
461,1092031
462,999769
463,903487
464,801289
465,695367
466,584586
467,470299
468,351641
469,229086
470,103018
471,-26042
472,-157511
473,-291020
474,-424560
475,-558060
476,-690312
477,-820636
