# note,坏棒 总长1000 轻轻敲 塑料头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,-448
# time,2026-07-30 17:13:24
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,37
# bottom_index,0
# distance_mm,352
# threshold,500000
# peak_abs,2760802
index,raw24
0,-4797
1,-5020
2,-5356
3,-5739
4,-6730
5,-6370
6,-7169
7,-7720
8,-8295
9,-8734
10,-10133
11,-9820
12,-10458
13,-11225
14,-11424
15,-12446
16,-13261
17,-14059
18,-15401
19,-16639
20,-17325
21,-19099
22,-20145
23,-21551
24,-22700
25,-24673
26,-25830
27,-27347
28,-28952
29,-30388
30,-32032
31,-34212
32,-35664
33,-37372
34,-39871
35,-41410
36,-44005
37,-46320
38,-49282
39,-51676
40,-56366
41,-59807
42,-64792
43,-70680
44,-78631
45,-87181
46,-98483
47,-111327
48,-127081
49,-143914
50,-163816
51,-185268
52,-208869
53,-234756
54,-262047
55,-292239
56,-324724
57,-359532
58,-396824
59,-436064
60,-476530
61,-519040
62,-565249
63,-612652
64,-664369
65,-718688
66,-776736
67,-839169
68,-904875
69,-973348
70,-1044365
71,-1117726
72,-1193797
73,-1269836
74,-1346737
75,-1422852
76,-1497438
77,-1570432
78,-1639480
79,-1705120
80,-1765864
81,-1822008
82,-1871762
83,-1916957
84,-1954227
85,-1986269
86,-2009314
87,-2026333
88,-2034285
89,-2034477
90,-2026397
91,-2009909
92,-1986600
93,-1954357
94,-1915079
95,-1867101
96,-1810921
97,-1747276
98,-1677215
99,-1600394
100,-1517015
101,-1429125
102,-1336383
103,-1240148
104,-1139804
105,-1037545
106,-932907
107,-829305
108,-724899
109,-621763
110,-520351
111,-420679
112,-322228
113,-227509
114,-134585
115,-46553
116,37733
117,117753
118,191738
119,259907
120,322251
121,378804
122,430525
123,477857
124,520558
125,558727
126,592987
127,624394
128,652254
129,678182
130,700412
131,720886
132,737894
133,752172
134,762984
135,770899
136,775741
137,779062
138,779327
139,779280
140,775529
141,771722
142,765140
143,756550
144,746370
145,733711
146,718997
147,703078
148,684672
149,665836
150,644283
151,621460
152,596456
153,569591
154,542442
155,512736
156,481313
157,449278
158,415872
159,382261
160,347646
161,313420
162,278445
163,243019
164,208182
165,172588
166,135823
167,99751
168,62458
169,24883
170,-14464
171,-54463
172,-95336
173,-138052
174,-182099
175,-226797
176,-272841
177,-319656
178,-367449
179,-414956
180,-462346
181,-510489
182,-556771
183,-601135
184,-645013
185,-684975
186,-723731
187,-757763
188,-788038
189,-814118
190,-834402
191,-850309
192,-859957
193,-863868
194,-860338
195,-851009
196,-834025
197,-810092
198,-779481
199,-741010
200,-695199
201,-641730
202,-581132
203,-512805
204,-437262
205,-354441
206,-265030
207,-169037
208,-66793
209,41584
210,154571
211,272752
212,393134
213,517334
214,643303
215,770025
216,898323
217,1026309
218,1152576
219,1277307
220,1399887
221,1519444
222,1635547
223,1746907
224,1854494
225,1956587
226,2053460
227,2144330
228,2229228
229,2307420
230,2379562
231,2446624
232,2505509
233,2559395
234,2605251
235,2646365
236,2680410
237,2708186
238,2729880
239,2745883
240,2755835
241,2760763
242,2760802
243,2755185
244,2744888
245,2729609
246,2710620
247,2687433
248,2661289
249,2630604
250,2597499
251,2561374
252,2522189
253,2480770
254,2436635
255,2391385
256,2343565
257,2294327
258,2242895
259,2190165
260,2136426
261,2081989
262,2025911
263,1968808
264,1912191
265,1853894
266,1795380
267,1735992
268,1676380
269,1616704
270,1556666
271,1496508
272,1436254
273,1375870
274,1316174
275,1256814
276,1197404
277,1139018
278,1081207
279,1024027
280,966982
281,911688
282,856473
283,802736
284,750526
285,699090
286,649485
287,600950
288,554596
289,509745
290,467338
291,425945
292,387397
293,350918
294,316899
295,284548
296,256170
297,228978
298,204790
299,183885
300,165135
301,148603
302,135329
303,124968
304,117425
305,112666
306,110029
307,111327
308,114114
309,120060
310,128901
311,140093
312,153492
313,169425
314,187525
315,207742
316,230276
317,254232
318,279385
319,306423
320,334898
321,363585
322,393364
323,422812
324,453777
325,484041
326,514318
327,544295
328,573437
329,602447
330,629653
331,656369
332,682288
333,705933
334,728831
335,749302
336,768643
337,786069
338,800405
339,814371
340,824800
341,834403
342,840901
343,845414
344,847751
345,847456
346,844832
347,840369
348,832946
349,823845
350,811872
351,798029
352,781628
353,763292
354,742687
355,719796
356,694748
357,668096
358,639006
359,608512
360,576062
361,542031
362,506453
363,469039
364,430014
365,389985
366,349162
367,306783
368,263434
369,219274
370,174311
371,128474
372,81994
373,36328
374,-10973
375,-57491
376,-104548
377,-151375
378,-197773
379,-243677
380,-289095
381,-333924
382,-378387
383,-421685
384,-464241
385,-505897
386,-546819
387,-586224
388,-625064
389,-662468
390,-698851
391,-734430
392,-767732
393,-800103
394,-832221
395,-862063
396,-891270
397,-918465
398,-944929
399,-969726
400,-994407
401,-1017622
402,-1039298
403,-1059955
404,-1079665
405,-1098046
406,-1115264
407,-1131607
408,-1146933
409,-1161457
410,-1174139
411,-1186316
412,-1197723
413,-1207297
414,-1216678
415,-1225609
416,-1232003
417,-1239133
418,-1244702
419,-1249222
420,-1253189
421,-1256220
422,-1258387
423,-1260465
424,-1262015
425,-1262253
426,-1262187
427,-1261649
428,-1260511
429,-1259429
430,-1256884
431,-1254826
432,-1251881
433,-1249584
434,-1246351
435,-1243383
436,-1239952
437,-1236544
438,-1234041
439,-1230459
440,-1227276
441,-1224310
442,-1221553
443,-1218836
444,-1216511
445,-1214619
446,-1213494
447,-1211986
448,-1210782
449,-1209594
450,-1209119
451,-1208755
452,-1208648
453,-1209132
454,-1209232
455,-1209381
456,-1210593
457,-1212261
458,-1213241
459,-1214789
460,-1216649
461,-1218292
462,-1220432
463,-1222107
464,-1224669
465,-1226824
466,-1228994
467,-1231060
468,-1233318
469,-1236535
470,-1238016
471,-1240217
472,-1242722
473,-1244906
474,-1246322
475,-1248306
476,-1250985
477,-1252457
478,-1254112
479,-1255367
480,-1256638
481,-1257508
482,-1258243
483,-1258409
484,-1259135
485,-1259078
486,-1258196
487,-1257650
488,-1255873
489,-1254879
490,-1253734
491,-1250461
492,-1247053
493,-1244356
494,-1239404
495,-1235045
496,-1229494
497,-1223496
498,-1216315
499,-1209246
500,-1200619
501,-1192312
502,-1182743
503,-1171750
504,-1161535
505,-1149945
506,-1138525
507,-1125010
508,-1112017
509,-1098041
510,-1083851
511,-1069326
