# note,坏棒 总长1000 轻轻敲 塑料头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,-41
# time,2026-07-30 17:14:03
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,93
# bottom_index,119
# distance_mm,759
# threshold,500000
# peak_abs,4937275
index,raw24
0,-1319
1,-1607
2,-1623
3,-1654
4,-1558
5,-1966
6,-982
7,-1189
8,-1437
9,-1101
10,-1317
11,-1997
12,-1429
13,-1964
14,-1676
15,-1092
16,-908
17,-1556
18,-1155
19,-1091
20,-1275
21,-1115
22,-1147
23,-1059
24,-1066
25,-802
26,-906
27,-810
28,-802
29,-890
30,-354
31,-938
32,-1033
33,-801
34,-905
35,-529
36,-1225
37,-913
38,-977
39,-1145
40,-768
41,-1224
42,-776
43,-544
44,-896
45,-992
46,-704
47,-1336
48,-775
49,-831
50,-231
51,201
52,345
53,713
54,25
55,-487
56,-567
57,177
58,3041
59,-552
60,-32448
61,-130388
62,-323620
63,-553652
64,-779528
65,-1000769
66,-1215023
67,-1423643
68,-1626565
69,-1825246
70,-2021032
71,-2212345
72,-2401675
73,-2587782
74,-2771002
75,-2951711
76,-3131775
77,-3309489
78,-3484261
79,-3658283
80,-3829997
81,-3999961
82,-4161953
83,-4311829
84,-4436551
85,-4509961
86,-4498394
87,-4351069
88,-4117498
89,-3889340
90,-3661273
91,-3438386
92,-3217222
93,-2999333
94,-2784703
95,-2571507
96,-2362393
97,-2155281
98,-1950970
99,-1750252
100,-1552686
101,-1356880
102,-1164675
103,-972605
104,-784510
105,-598382
106,-414141
107,-231794
108,-51822
109,125920
110,300785
111,472948
112,642274
113,809100
114,972473
115,1133803
116,1290336
117,1447563
118,1570698
119,1581778
120,1524769
121,1465239
122,1461420
123,1526690
124,1631135
125,1740080
126,1833276
127,1905468
128,1957339
129,1990020
130,2012097
131,2041020
132,2083691
133,2133684
134,2177464
135,2207166
136,2228664
137,2248136
138,2269262
139,2288369
140,2299338
141,2292497
142,2265225
143,2214372
144,2142702
145,2056225
146,1958654
147,1849766
148,1727373
149,1588786
150,1436096
151,1278873
152,1123708
153,980939
154,855947
155,751163
156,667431
157,602254
158,554492
159,524777
160,514472
161,522690
162,548498
163,581543
164,616856
165,645421
166,661078
167,657717
168,629917
169,572200
170,479586
171,348431
172,173741
173,-39320
174,-263612
175,-488803
176,-715376
177,-937848
178,-1157014
179,-1371577
180,-1583377
181,-1790384
182,-1994613
183,-2194890
184,-2392166
185,-2586322
186,-2776414
187,-2964803
188,-3148681
189,-3327913
190,-3497587
191,-3650128
192,-3747626
193,-3783657
194,-3756811
195,-3670304
196,-3526264
197,-3328674
198,-3109611
199,-2893816
200,-2681334
201,-2470671
202,-2263329
203,-2057653
204,-1855466
205,-1654759
206,-1456989
207,-1260748
208,-1067186
209,-875919
210,-685620
211,-499025
212,-314028
213,-131061
214,50179
215,228412
216,404737
217,577367
218,748121
219,915605
220,1079325
221,1241410
222,1400090
223,1556687
224,1709881
225,1860880
226,2008701
227,2154192
228,2297369
229,2437889
230,2575263
231,2711253
232,2843314
233,2973638
234,3100619
235,3223585
236,3298663
237,3318205
238,3290192
239,3220670
240,3115477
241,2979625
242,2822029
243,2644284
244,2454242
245,2255118
246,2051611
247,1845976
248,1640791
249,1436678
250,1235663
251,1037192
252,843730
253,653915
254,468515
255,287218
256,111158
257,-59223
258,-222872
259,-376909
260,-522127
261,-654655
262,-773863
263,-878936
264,-970021
265,-1044551
266,-1104935
267,-1151824
268,-1185668
269,-1209051
270,-1222191
271,-1228802
272,-1230348
273,-1228118
274,-1225024
275,-1221442
276,-1219309
277,-1219944
278,-1223227
279,-1229766
280,-1239880
281,-1253057
282,-1267904
283,-1284445
284,-1302232
285,-1318465
286,-1333560
287,-1345533
288,-1353865
289,-1356108
290,-1352158
291,-1339809
292,-1317542
293,-1285277
294,-1241200
295,-1185824
296,-1116303
297,-1034375
298,-938313
299,-829654
300,-706945
301,-572235
302,-423213
303,-262593
304,-90361
305,85434
306,261623
307,434080
308,604475
309,770849
310,934691
311,1097112
312,1255771
313,1411529
314,1564797
315,1715574
316,1863948
317,2010225
318,2153475
319,2295285
320,2433484
321,2571427
322,2705657
323,2838215
324,2968029
325,3096098
326,3223064
327,3347255
328,3470414
329,3589839
330,3709688
331,3825476
332,3941073
333,4054615
334,4166328
335,4275876
336,4384050
337,4490363
338,4593927
339,4685406
340,4761066
341,4825317
342,4874256
343,4909997
344,4930085
345,4937275
346,4928689
347,4905487
348,4867872
349,4815622
350,4748826
351,4667030
352,4572389
353,4462286
354,4338854
355,4202388
356,4052787
357,3889172
358,3713609
359,3526188
360,3328150
361,3119399
362,2900731
363,2674680
364,2440154
365,2202328
366,1963371
367,1727060
368,1492225
369,1259819
370,1029753
371,803771
372,580065
373,360562
374,147726
375,-55020
376,-242741
377,-416016
378,-572037
379,-711751
380,-832000
381,-934963
382,-1019104
383,-1086612
384,-1137079
385,-1171964
386,-1191661
387,-1198052
388,-1192434
389,-1177152
390,-1153312
391,-1122268
392,-1085635
393,-1045814
394,-1003494
395,-960044
396,-916111
397,-873191
398,-831412
399,-791679
400,-753334
401,-717938
402,-683026
403,-650879
404,-619944
405,-590692
406,-560780
407,-531543
408,-502014
409,-471105
410,-438104
411,-403898
412,-366641
413,-327652
414,-286012
415,-240633
416,-193716
417,-144132
418,-92346
419,-38815
420,15454
421,71036
422,127395
423,182899
424,238789
425,292328
426,346380
427,398002
428,447337
429,494347
430,539590
431,581469
432,621198
433,658458
434,692225
435,722397
436,748869
437,772321
438,791955
439,806650
440,818608
441,826548
442,831959
443,833553
444,832787
