hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,17:10:38,hit_001_20260730_171038.csv,512,DEFECT,HIGH,0,23,119,212,500000,4712486,4223669,-4712486,-217245.2,,800,-588,坏棒 总长1000 轻轻敲 塑料头 800
2,17:10:39,hit_002_20260730_171039.csv,512,NORMAL,HIGH,0,0,116,0,500000,4396707,4396707,-3839039,610662.8,,800,,坏棒 总长1000 轻轻敲 塑料头 800
3,17:10:39,hit_003_20260730_171039.csv,512,DEFECT,HIGH,0,24,122,216,500000,4773315,4773315,-4690685,266970.8,,800,-584,坏棒 总长1000 轻轻敲 塑料头 800
4,17:10:39,hit_004_20260730_171039.csv,512,NORMAL,HIGH,0,0,118,0,500000,4369814,4369814,-4229731,244455.3,,800,,坏棒 总长1000 轻轻敲 塑料头 800
5,17:10:40,hit_005_20260730_171040.csv,512,DEFECT,HIGH,0,23,117,216,500000,4664414,4206300,-4664414,-126251.6,,800,-584,坏棒 总长1000 轻轻敲 塑料头 800
6,17:10:40,hit_006_20260730_171040.csv,512,DEFECT,HIGH,0,25,117,235,500000,4900663,4228423,-4900663,-235718.2,,800,-565,坏棒 总长1000 轻轻敲 塑料头 800
7,17:10:40,hit_007_20260730_171040.csv,512,DEFECT,HIGH,0,23,116,219,500000,4752048,3877883,-4752048,-232581.2,,800,-581,坏棒 总长1000 轻轻敲 塑料头 800
8,17:10:41,hit_008_20260730_171041.csv,512,DEFECT,HIGH,0,24,117,226,500000,4815143,4269535,-4815143,-89036.9,,800,-574,坏棒 总长1000 轻轻敲 塑料头 800
9,17:10:41,hit_009_20260730_171041.csv,512,DEFECT,HIGH,0,23,116,219,500000,4713584,3981752,-4713584,-233792.5,,800,-581,坏棒 总长1000 轻轻敲 塑料头 800
10,17:10:41,hit_010_20260730_171041.csv,512,DEFECT,HIGH,0,24,115,230,500000,4964559,4043778,-4964559,-363089.5,,800,-570,坏棒 总长1000 轻轻敲 塑料头 800
11,17:10:57,hit_011_20260730_171057.csv,512,DEFECT,HIGH,0,24,117,226,500000,4781173,4053587,-4781173,-130959.3,,800,-574,坏棒 总长1000 轻轻敲 塑料头 800
12,17:10:58,hit_012_20260730_171058.csv,512,DEFECT,HIGH,0,22,113,215,500000,4374245,3979441,-4374245,-325763.8,,800,-585,坏棒 总长1000 轻轻敲 塑料头 800
13,17:10:58,hit_013_20260730_171058.csv,512,DEFECT,HIGH,0,24,115,230,500000,4614057,3821806,-4614057,-331980.5,,800,-570,坏棒 总长1000 轻轻敲 塑料头 800
14,17:10:58,hit_014_20260730_171058.csv,512,NORMAL,HIGH,0,0,116,0,500000,4292412,4292412,-3652234,548068.2,,800,,坏棒 总长1000 轻轻敲 塑料头 800
15,17:10:59,hit_015_20260730_171059.csv,512,NORMAL,HIGH,0,0,115,0,500000,4477200,4477200,-3789933,405032.8,,800,,坏棒 总长1000 轻轻敲 塑料头 800
16,17:10:59,hit_016_20260730_171059.csv,512,DEFECT,HIGH,0,27,116,257,500000,4409735,4409735,-4317707,-70224.7,,800,-543,坏棒 总长1000 轻轻敲 塑料头 800
17,17:10:59,hit_017_20260730_171059.csv,512,DEFECT,HIGH,0,29,120,266,500000,5027860,4127305,-5027860,-279953.2,,800,-534,坏棒 总长1000 轻轻敲 塑料头 800
18,17:11:00,hit_018_20260730_171100.csv,512,DEFECT,HIGH,0,32,121,290,500000,5306627,4270999,-5306627,-388819.1,,800,-510,坏棒 总长1000 轻轻敲 塑料头 800
19,17:11:00,hit_019_20260730_171100.csv,512,DEFECT,HIGH,0,31,119,287,500000,5268284,4470987,-5268284,-357813.4,,800,-513,坏棒 总长1000 轻轻敲 塑料头 800
20,17:11:00,hit_020_20260730_171100.csv,512,DEFECT,HIGH,0,23,116,219,500000,4663569,4570832,-4663569,-14084.4,,800,-581,坏棒 总长1000 轻轻敲 塑料头 800
21,17:11:01,hit_021_20260730_171101.csv,512,DEFECT,HIGH,0,28,118,261,500000,4861169,4267619,-4861169,-315070.7,,800,-539,坏棒 总长1000 轻轻敲 塑料头 800
22,17:11:01,hit_022_20260730_171101.csv,512,DEFECT,HIGH,0,28,117,264,500000,5465590,4396162,-5465590,-388371.5,,800,-536,坏棒 总长1000 轻轻敲 塑料头 800
23,17:11:02,hit_023_20260730_171102.csv,512,DEFECT,HIGH,0,27,116,257,500000,5231283,4414929,-5231283,-346436.1,,800,-543,坏棒 总长1000 轻轻敲 塑料头 800
24,17:11:02,hit_024_20260730_171102.csv,512,DEFECT,HIGH,0,26,117,245,500000,5178302,4349966,-5178302,-283218.5,,800,-555,坏棒 总长1000 轻轻敲 塑料头 800
25,17:11:03,hit_025_20260730_171103.csv,512,DEFECT,HIGH,0,26,120,238,500000,4891068,4891068,-4316527,347621.3,,800,-562,坏棒 总长1000 轻轻敲 塑料头 800
26,17:11:03,hit_026_20260730_171103.csv,512,DEFECT,HIGH,0,24,122,216,500000,4799810,4799810,-4504753,245601.2,,800,-584,坏棒 总长1000 轻轻敲 塑料头 800
27,17:11:03,hit_027_20260730_171103.csv,512,DEFECT,HIGH,0,87,119,703,500000,4503981,4503981,-4053621,343501.2,,800,-97,坏棒 总长1000 轻轻敲 塑料头 800
28,17:11:04,hit_028_20260730_171104.csv,512,DEFECT,HIGH,0,25,117,235,500000,4952754,4329785,-4952754,-252022.8,,800,-565,坏棒 总长1000 轻轻敲 塑料头 800
29,17:11:05,hit_029_20260730_171105.csv,512,DEFECT,HIGH,0,24,116,228,500000,4856824,4057776,-4856824,-207249.5,,800,-572,坏棒 总长1000 轻轻敲 塑料头 800
30,17:11:05,hit_030_20260730_171105.csv,512,DEFECT,HIGH,0,23,116,219,500000,4587179,4032444,-4587179,-208243.1,,800,-581,坏棒 总长1000 轻轻敲 塑料头 800
31,17:11:06,hit_031_20260730_171106.csv,512,DEFECT,HIGH,0,21,117,198,500000,4474354,4298450,-4474354,140.9,,800,-602,坏棒 总长1000 轻轻敲 塑料头 800
32,17:11:06,hit_032_20260730_171106.csv,512,DEFECT,HIGH,0,22,117,207,500000,4495916,4045072,-4495916,-203312.9,,800,-593,坏棒 总长1000 轻轻敲 塑料头 800
33,17:11:07,hit_033_20260730_171107.csv,512,DEFECT,HIGH,0,25,123,223,500000,4921853,4697417,-4921853,-178866.2,,800,-577,坏棒 总长1000 轻轻敲 塑料头 800
34,17:11:07,hit_034_20260730_171107.csv,512,DEFECT,HIGH,0,29,122,261,500000,4538539,3524881,-4538539,-152357.4,,800,-539,坏棒 总长1000 轻轻敲 塑料头 800
35,17:11:07,hit_035_20260730_171107.csv,512,DEFECT,HIGH,0,30,120,275,500000,4700767,4451483,-4700767,-88943.8,,800,-525,坏棒 总长1000 轻轻敲 塑料头 800
36,17:11:07,hit_036_20260730_171107.csv,512,DEFECT,HIGH,0,23,120,211,500000,4640252,4346689,-4640252,-65763.2,,800,-589,坏棒 总长1000 轻轻敲 塑料头 800
37,17:11:08,hit_037_20260730_171108.csv,512,DEFECT,HIGH,0,27,117,254,500000,4907874,4091052,-4907874,-326023.0,,800,-546,坏棒 总长1000 轻轻敲 塑料头 800
38,17:11:08,hit_038_20260730_171108.csv,512,DEFECT,HIGH,0,22,113,215,500000,4551414,4242454,-4551414,-140002.7,,800,-585,坏棒 总长1000 轻轻敲 塑料头 800
39,17:11:08,hit_039_20260730_171108.csv,512,DEFECT,HIGH,0,22,115,211,500000,4295448,3859033,-4295448,-187221.9,,800,-589,坏棒 总长1000 轻轻敲 塑料头 800
40,17:11:09,hit_040_20260730_171109.csv,512,DEFECT,HIGH,0,24,115,230,500000,4385752,4012881,-4385752,-157833.7,,800,-570,坏棒 总长1000 轻轻敲 塑料头 800
41,17:11:09,hit_041_20260730_171109.csv,512,DEFECT,HIGH,0,24,115,230,500000,4773944,4098096,-4773944,-287459.6,,800,-570,坏棒 总长1000 轻轻敲 塑料头 800
42,17:11:09,hit_042_20260730_171109.csv,512,DEFECT,HIGH,0,25,114,242,500000,4827269,3853450,-4827269,-388646.9,,800,-558,坏棒 总长1000 轻轻敲 塑料头 800
43,17:11:10,hit_043_20260730_171110.csv,512,NORMAL,HIGH,0,0,115,0,500000,4136380,4136380,-4096492,-1567.3,,800,,坏棒 总长1000 轻轻敲 塑料头 800
44,17:11:10,hit_044_20260730_171110.csv,512,DEFECT,HIGH,0,25,115,240,500000,4953363,3779323,-4953363,-379412.4,,800,-560,坏棒 总长1000 轻轻敲 塑料头 800
45,17:11:10,hit_045_20260730_171110.csv,512,DEFECT,HIGH,0,24,114,233,500000,4800015,4102270,-4800015,-250270.9,,800,-567,坏棒 总长1000 轻轻敲 塑料头 800
46,17:11:11,hit_046_20260730_171111.csv,512,DEFECT,HIGH,0,25,115,240,500000,4922167,3863927,-4922167,-454902.1,,800,-560,坏棒 总长1000 轻轻敲 塑料头 800
47,17:11:11,hit_047_20260730_171111.csv,512,DEFECT,HIGH,0,26,115,250,500000,4959618,3965892,-4959618,-474179.5,,800,-550,坏棒 总长1000 轻轻敲 塑料头 800
48,17:11:11,hit_048_20260730_171111.csv,512,DEFECT,HIGH,0,28,117,264,500000,5118611,4062571,-5118611,-330837.0,,800,-536,坏棒 总长1000 轻轻敲 塑料头 800
49,17:11:12,hit_049_20260730_171112.csv,512,DEFECT,HIGH,0,28,118,261,500000,4820289,3653031,-4820289,-353586.3,,800,-539,坏棒 总长1000 轻轻敲 塑料头 800
50,17:11:12,hit_050_20260730_171112.csv,512,DEFECT,HIGH,0,27,122,243,500000,4290860,3356154,-4290860,-300858.7,,800,-557,坏棒 总长1000 轻轻敲 塑料头 800
51,17:11:12,hit_051_20260730_171112.csv,512,DEFECT,HIGH,0,26,117,245,500000,5104583,4341021,-5104583,-323597.4,,800,-555,坏棒 总长1000 轻轻敲 塑料头 800
52,17:11:13,hit_052_20260730_171113.csv,512,DEFECT,HIGH,0,29,121,263,500000,4844034,4127903,-4844034,-268160.6,,800,-537,坏棒 总长1000 轻轻敲 塑料头 800
53,17:11:13,hit_053_20260730_171113.csv,512,DEFECT,HIGH,0,27,123,241,500000,4682222,3345469,-4682222,-260627.5,,800,-559,坏棒 总长1000 轻轻敲 塑料头 800
54,17:11:13,hit_054_20260730_171113.csv,512,DEFECT,HIGH,0,86,115,721,500000,4448456,4053549,-4448456,-35958.9,,800,-79,坏棒 总长1000 轻轻敲 塑料头 800
55,17:11:14,hit_055_20260730_171114.csv,512,DEFECT,HIGH,0,25,116,238,500000,4989803,4080054,-4989803,-245580.7,,800,-562,坏棒 总长1000 轻轻敲 塑料头 800
56,17:11:14,hit_056_20260730_171114.csv,512,DEFECT,HIGH,0,22,118,205,500000,4153343,3074570,-4153343,-148198.6,,800,-595,坏棒 总长1000 轻轻敲 塑料头 800
57,17:11:14,hit_057_20260730_171114.csv,512,DEFECT,HIGH,0,23,118,214,500000,4611507,4083554,-4611507,-47991.4,,800,-586,坏棒 总长1000 轻轻敲 塑料头 800
58,17:11:15,hit_058_20260730_171115.csv,512,DEFECT,HIGH,0,29,124,256,500000,5149567,4153609,-5149567,-216704.8,,800,-544,坏棒 总长1000 轻轻敲 塑料头 800
59,17:11:15,hit_059_20260730_171115.csv,512,DEFECT,HIGH,0,24,119,222,500000,4687335,4651276,-4687335,-23359.1,,800,-578,坏棒 总长1000 轻轻敲 塑料头 800
60,17:11:15,hit_060_20260730_171115.csv,512,DEFECT,HIGH,0,22,117,207,500000,4986717,4986717,-4456367,98614.5,,800,-593,坏棒 总长1000 轻轻敲 塑料头 800
61,17:11:15,hit_061_20260730_171115.csv,512,DEFECT,HIGH,0,23,119,212,500000,4804184,4804184,-4602084,46223.1,,800,-588,坏棒 总长1000 轻轻敲 塑料头 800
62,17:11:19,hit_062_20260730_171119.csv,512,DEFECT,HIGH,0,34,108,350,500000,5346923,4117466,-5346923,-391702.2,,800,-450,坏棒 总长1000 轻轻敲 塑料头 800
63,17:11:20,hit_063_20260730_171120.csv,512,DEFECT,LOW,0,22,0,209,500000,4450583,4395484,-4450583,-10425.5,,800,-591,坏棒 总长1000 轻轻敲 塑料头 800
