# note,坏棒 总长1000 任意重度敲 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,-534
# time,2026-07-30 17:18:26
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,28
# bottom_index,0
# distance_mm,266
# threshold,500000
# peak_abs,5320335
index,raw24
0,3085
1,2181
2,2316
3,2660
4,2236
5,2988
6,1883
7,2555
8,2051
9,2130
10,2218
11,1898
12,1586
13,1353
14,1393
15,769
16,809
17,489
18,721
19,1
20,-744
21,-1655
22,-2911
23,-3095
24,-3606
25,-4614
26,-5501
27,-6461
28,-7276
29,-7339
30,-8122
31,-8433
32,-8344
33,-8439
34,-8382
35,-8749
36,-9796
37,-10107
38,-11569
39,-12944
40,-14582
41,-15877
42,-18651
43,-20288
44,-22710
45,-24987
46,-28232
47,-31988
48,-36105
49,-40892
50,-47295
51,-54329
52,-63387
53,-73627
54,-84754
55,-100448
56,-118507
57,-144949
58,-179227
59,-225853
60,-285274
61,-363399
62,-475642
63,-633288
64,-837675
65,-1054133
66,-1271948
67,-1485593
68,-1695179
69,-1899548
70,-2098613
71,-2293412
72,-2483356
73,-2669525
74,-2852455
75,-3032907
76,-3210137
77,-3386449
78,-3560268
79,-3732673
80,-3904233
81,-4072517
82,-4240092
83,-4403814
84,-4563572
85,-4715159
86,-4861504
87,-4998566
88,-5120948
89,-5222323
90,-5296245
91,-5320335
92,-5269237
93,-5093458
94,-4849364
95,-4612756
96,-4375193
97,-4143659
98,-3913833
99,-3688764
100,-3465169
101,-3245650
102,-3028342
103,-2815476
104,-2604013
105,-2396007
106,-2190506
107,-1987999
108,-1788356
109,-1590946
110,-1396952
111,-1204661
112,-1014954
113,-826286
114,-640809
115,-457355
116,-275203
117,-96498
118,79530
119,252936
120,424778
121,592870
122,759621
123,907337
124,1000994
125,1056984
126,1090110
127,1118689
128,1155057
129,1207356
130,1268704
131,1329566
132,1386763
133,1434162
134,1473595
135,1510039
136,1541679
137,1572418
138,1600922
139,1625831
140,1648664
141,1668303
