# note,坏棒 总长1000 任意重度敲 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,-567
# time,2026-07-30 17:18:27
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,25
# bottom_index,118
# distance_mm,233
# threshold,500000
# peak_abs,5007028
index,raw24
0,-602
1,-514
2,-898
3,-706
4,-873
5,-201
6,-761
7,-625
8,-265
9,-697
10,-465
11,-425
12,-369
13,-633
14,-761
15,191
16,-553
17,-272
18,-144
19,-1048
20,-376
21,-552
22,-184
23,-456
24,-896
25,-520
26,-1032
27,-576
28,-160
29,-655
30,-607
31,-1047
32,-535
33,-599
34,-1127
35,-751
36,-487
37,-743
38,-223
39,-1103
40,-846
41,-574
42,-886
43,-950
44,-1094
45,-1062
46,-1470
47,-1397
48,-1389
49,-1621
50,-885
51,-1213
52,-549
53,-892
54,-796
55,-1108
56,-1212
57,-460
58,-1412
59,-16820
60,-61682
61,-152626
62,-308383
63,-514746
64,-736515
65,-960393
66,-1179756
67,-1394900
68,-1605481
69,-1812213
70,-2015576
71,-2215306
72,-2411132
73,-2603965
74,-2793791
75,-2979666
76,-3162415
77,-3343061
78,-3520628
79,-3694527
80,-3866908
81,-4036332
82,-4203423
83,-4366982
84,-4529913
85,-4688176
86,-4844699
87,-4981564
88,-5007028
89,-4867593
90,-4634254
91,-4398353
92,-4166040
93,-3937531
94,-3711659
95,-3489885
96,-3269531
97,-3054348
98,-2839399
99,-2628317
100,-2419916
101,-2214741
102,-2012614
103,-1811728
104,-1614755
105,-1419110
106,-1226441
107,-1035259
108,-846501
109,-660517
110,-476693
111,-294099
112,-114743
113,63295
114,238440
115,410402
116,579696
117,745970
118,909382
119,1070367
120,1219061
121,1322392
122,1380007
123,1407238
124,1425178
125,1452548
126,1508363
127,1588115
128,1679289
129,1767044
130,1832636
131,1870636
132,1886576
133,1892690
134,1904307
135,1931802
136,1970086
137,2009910
138,2040000
139,2050343
140,2043517
141,2021652
142,1990221
143,1949498
144,1896412
145,1825420
146,1732574
147,1616818
148,1484341
149,1341975
150,1197948
151,1059153
152,928240
153,806807
154,698516
155,602695
156,523357
157,461557
158,418197
159,392050
160,379218
161,375788
162,378990
163,385664
164,392385
165,394761
166,388296
167,363689
168,314437
169,231918
170,112074
171,-48644
172,-249382
173,-468671
174,-688582
175,-910386
176,-1129043
177,-1345265
178,-1556805
179,-1765247
180,-1969687
181,-2171159
182,-2368462
183,-2563565
184,-2754364
185,-2942259
186,-3127556
187,-3309230
188,-3486370
189,-3653249
190,-3807619
191,-3912986
192,-3958548
193,-3942313
194,-3866704
195,-3733384
196,-3545288
197,-3325567
198,-3107969
199,-2892590
200,-2679621
201,-2469982
202,-2262360
203,-2058532
204,-1855249
205,-1655606
206,-1458028
207,-1262978
208,-1069608
209,-879165
210,-690250
211,-503582
212,-319424
213,-137289
214,42840
215,220754
216,395655
217,568103
218,737786
219,904448
220,1067873
221,1229223
222,1386865
223,1542624
224,1695139
225,1845572
226,1992987
227,2137792
228,2280571
229,2420492
230,2558613
231,2694164
232,2826820
233,2957242
234,3086169
235,3211953
236,3337129
237,3459225
238,3579411
239,3698014
240,3812035
241,3899097
242,3955997
243,3986090
244,3988764
245,3967637
246,3921648
247,3855082
248,3768187
249,3663327
250,3541584
251,3406016
252,3256808
253,3097082
254,2929608
255,2754947
256,2577906
257,2397152
258,2218139
259,2041404
260,1870171
261,1703183
262,1545791
263,1396146
264,1257615
265,1128102
266,1008972
267,899785
268,798843
269,705954
270,619067
271,536576
272,456494
273,377487
274,296897
275,213908
276,124330
277,29267
278,-73761
279,-183312
280,-301705
281,-427108
282,-557968
283,-693308
284,-831543
285,-969826
286,-1105523
287,-1236077
288,-1359782
289,-1474832
290,-1578196
291,-1668323
292,-1745039
293,-1805634
294,-1850838
295,-1878716
296,-1889110
297,-1880192
298,-1853378
299,-1808248
300,-1743467
301,-1659454
302,-1557380
303,-1435262
304,-1296039
305,-1137160
306,-961341
307,-773536
308,-586954
309,-401970
310,-220057
311,-39590
312,137599
313,312878
314,485056
315,654629
316,821429
317,984120
318,1145872
319,1303804
320,1459437
321,1612283
322,1762134
323,1910151
324,2055542
325,2199019
326,2338982
327,2478225
328,2614250
329,2748643
330,2880444
331,3009996
332,3137589
333,3263374
334,3387271
335,3509034
336,3628773
337,3746802
338,3856361
339,3945258
340,4021153
341,4076038
342,4115012
343,4138150
344,4145637
345,4136603
346,4112698
347,4075028
348,4022858
349,3957079
350,3879668
351,3789498
352,3688180
353,3577234
354,3455837
355,3326455
356,3188001
357,3041692
358,2889640
359,2730200
360,2564138
361,2393545
362,2218293
363,2038566
364,1855830
365,1669531
366,1482231
367,1292466
368,1103060
369,912990
370,724830
371,538814
372,355372
373,175345
374,1107
375,-167309
376,-328025
377,-480712
378,-625046
379,-759825
380,-885861
381,-1001689
382,-1107190
383,-1203655
384,-1291628
385,-1369302
386,-1439975
387,-1502392
388,-1558840
389,-1608850
390,-1652557
391,-1692340
392,-1728157
393,-1760794
394,-1790051
395,-1816785
396,-1840835
397,-1862594
398,-1882439
399,-1900409
400,-1916809
401,-1930519
402,-1942499
403,-1952470
404,-1960552
405,-1965624
406,-1969080
407,-1968232
408,-1967368
409,-1961752
410,-1954856
411,-1943249
412,-1930300
413,-1914017
414,-1895263
415,-1873424
416,-1849059
417,-1822257
418,-1793483
