# note,坏棒 总长1000 任意重度敲 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,
# time,2026-07-30 17:20:05
# points,512
# state,INVALID
# confidence,NONE
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,500000
# peak_abs,766581
index,raw24
0,-2087
1,-2367
2,-2119
3,-2575
4,-2638
5,-2686
6,-2477
7,-2173
8,-2901
9,-2597
10,-2412
11,-2236
12,-2692
13,-2459
14,-2531
15,-2147
16,-2130
17,-2218
18,-2482
19,-2577
20,-2793
21,-3105
22,-2688
23,-2600
24,-2944
25,-2911
26,-2967
27,-3071
28,-2822
29,-3214
30,-2653
31,-2965
32,-2957
33,-3460
34,-3580
35,-3819
36,-4251
37,-4858
38,-5498
39,-6593
40,-8200
41,-10007
42,-11870
43,-15797
44,-21963
45,-29408
46,-38436
47,-49000
48,-56826
49,-62299
50,-63915
51,-63363
52,-63084
53,-67988
54,-79515
55,-105850
56,-149109
57,-207707
58,-275601
59,-344968
60,-412613
61,-473755
62,-528209
63,-575889
64,-619266
65,-658151
66,-693582
67,-721482
68,-743930
69,-757855
70,-764194
71,-766581
72,-766271
73,-762994
74,-757653
75,-750624
76,-741573
77,-728594
78,-711049
79,-688626
80,-661302
81,-631549
82,-598264
83,-564591
84,-529754
85,-490754
86,-447278
87,-394871
88,-332439
89,-263438
90,-190582
91,-122503
92,-59576
93,-737
94,53376
95,102657
96,146804
97,185522
98,222164
99,257033
100,286481
101,307198
102,317217
103,321090
104,322875
105,321011
106,317924
107,312493
108,306239
109,303634
110,302029
111,300288
112,298531
113,296399
114,294955
115,294334
116,291403
117,288551
118,285260
119,281993
120,279590
121,277628
122,274706
123,272465
124,269664
125,266175
126,264014
127,261318
128,258438
129,255926
130,252759
131,250416
132,247266
133,244891
134,241374
135,238352
136,235643
137,232614
138,229250
139,225446
140,221226
141,217319
142,213037
143,208731
144,204825
145,200136
146,195640
147,191704
148,188120
149,183585
150,180059
151,176293
152,173711
153,171122
154,168973
155,166233
156,163500
157,161032
158,157589
159,154481
160,151031
161,147476
162,144130
163,139736
164,135775
165,132975
166,129711
167,127335
168,124919
169,122480
170,119409
171,116106
172,113124
173,108494
174,104145
175,97588
176,91072
177,82877
178,74579
179,64162
180,53978
181,42828
182,30902
183,19531
184,7984
185,-4201
186,-15664
187,-26310
188,-36979
189,-46367
190,-54833
191,-61538
192,-66795
193,-70523
