# note,坏棒 总长1000 任意重度敲 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,
# time,2026-07-30 17:20:52
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,115
# distance_mm,0
# threshold,500000
# peak_abs,4504624
index,raw24
0,2646
1,2814
2,2677
3,2493
4,2797
5,2796
6,2772
7,2620
8,2707
9,2627
10,2522
11,2746
12,2570
13,1937
14,2329
15,2353
16,2049
17,2544
18,2848
19,3088
20,2671
21,2103
22,2695
23,2606
24,2838
25,2526
26,2405
27,2565
28,2253
29,2020
30,1932
31,1660
32,2068
33,1395
34,1771
35,1899
36,1371
37,1698
38,2386
39,1714
40,1922
41,2089
42,2241
43,1761
44,2145
45,1688
46,1648
47,1680
48,1736
49,1616
50,1495
51,2295
52,2319
53,2271
54,2054
55,1854
56,1926
57,3453
58,7509
59,-17940
60,-112794
61,-278300
62,-491258
63,-715526
64,-939759
65,-1155812
66,-1363055
67,-1564352
68,-1761577
69,-1953458
70,-2143252
71,-2328582
72,-2512090
73,-2691151
74,-2867471
75,-3039121
76,-3208774
77,-3376414
78,-3543354
79,-3708809
80,-3875684
81,-4039099
82,-4203206
83,-4365461
84,-4504624
85,-4432386
86,-4196373
87,-3967997
88,-3737225
89,-3513592
90,-3289659
91,-3071602
92,-2854331
93,-2641142
94,-2429748
95,-2220995
96,-2014476
97,-1811198
98,-1611465
99,-1413053
100,-1217696
101,-1024123
102,-833614
103,-644153
104,-457906
105,-274682
106,-92473
107,86155
108,262856
109,436088
110,606763
111,772649
112,936754
113,1059448
114,1135215
115,1234108
116,1380750
117,1535045
118,1686498
119,1833652
120,1981220
121,2104858
122,2182473
123,2246439
124,2320012
125,2420953
126,2546162
127,2680739
128,2801395
129,2896030
130,2968644
131,3033130
132,3099319
133,3169333
134,3236314
135,3293127
136,3332693
137,3352342
138,3355141
139,3336459
140,3300148
141,3243433
142,3159453
143,3038867
144,2876481
145,2670353
146,2431651
147,2182851
148,1936776
149,1692372
150,1451309
151,1216020
152,987983
153,788639
154,633838
155,527777
156,470945
157,461407
158,496071
159,569658
160,676013
161,804370
162,945328
163,1083653
164,1203808
165,1285485
166,1307088
167,1251201
168,1101792
169,873985
170,630527
171,388122
172,150970
173,-82288
174,-310118
175,-533360
176,-751727
177,-965875
178,-1174933
179,-1382038
180,-1585557
181,-1785372
182,-1984562
183,-2179535
184,-2374189
185,-2565587
186,-2755642
187,-2942338
188,-3119203
189,-3244446
190,-3261978
191,-3173676
192,-2985192
193,-2768700
194,-2555690
195,-2345850
196,-2137995
197,-1933198
198,-1729602
199,-1528367
200,-1329005
201,-1132394
202,-937872
203,-746278
204,-555498
205,-368039
206,-182498
207,453
208,181380
209,359462
210,534210
211,707225
212,875931
213,1042808
214,1206553
215,1367213
216,1524966
217,1679940
218,1832775
219,1981815
220,2129461
221,2273833
222,2415884
223,2555437
224,2693573
225,2827380
226,2960323
227,3090242
228,3218080
229,3343488
230,3467831
231,3588800
232,3708770
233,3825221
234,3940650
235,4053961
236,4164202
237,4247014
238,4296424
239,4319995
240,4316596
241,4289925
242,4238673
243,4166540
244,4071327
245,3953086
246,3812675
247,3648666
248,3463717
249,3256598
250,3029896
251,2784686
252,2534906
253,2285733
254,2038926
255,1793157
256,1550866
257,1311325
258,1074645
259,843345
260,616371
261,398183
262,201095
263,32006
264,-109254
265,-223057
266,-313213
267,-382639
268,-435768
269,-477627
270,-516265
271,-555386
272,-600726
273,-657405
274,-725988
275,-809084
276,-905289
277,-1014274
278,-1132471
279,-1258540
280,-1388859
281,-1520961
282,-1654111
283,-1786509
284,-1915835
285,-2041833
286,-2161704
287,-2273864
288,-2377875
289,-2468536
290,-2544035
291,-2599909
292,-2637119
293,-2648917
294,-2634730
295,-2590952
296,-2516068
297,-2407353
298,-2262635
299,-2079855
300,-1877857
301,-1678068
302,-1479447
303,-1284378
304,-1090445
305,-900104
306,-710234
307,-523684
308,-338804
309,-155986
310,24633
311,202238
312,377925
313,550431
314,719860
315,887196
316,1051208
317,1212703
318,1370891
319,1527388
320,1679921
321,1830436
322,1978285
323,2123883
324,2266400
325,2407483
326,2545909
327,2681991
328,2816103
329,2947415
330,3077392
331,3204552
332,3330257
333,3452610
334,3574501
335,3693216
336,3811166
337,3925764
338,4037861
339,4118568
340,4161769
341,4173469
342,4152824
343,4103917
344,4025664
345,3922829
346,3795206
347,3647262
348,3478681
349,3292384
350,3089079
351,2872621
352,2643095
353,2402428
354,2158983
355,1915215
356,1673405
357,1432993
358,1194322
359,957136
360,722548
361,488691
362,257576
363,28720
364,-198011
365,-422331
366,-642024
367,-858065
368,-1070424
369,-1278214
370,-1480634
371,-1678541
372,-1870512
373,-2054628
374,-2223337
375,-2367393
376,-2490712
377,-2589104
378,-2665716
379,-2719631
380,-2752851
381,-2766491
382,-2763449
383,-2744224
384,-2711137
385,-2666542
386,-2612600
387,-2551553
388,-2485026
389,-2415003
390,-2341684
391,-2268294
392,-2193705
393,-2120845
394,-2049186
395,-1979576
396,-1911174
397,-1845893
398,-1783164
399,-1722138
400,-1663600
401,-1605989
402,-1550105
403,-1494323
404,-1438141
405,-1381885
406,-1324349
407,-1265195
408,-1203609
409,-1139974
410,-1073050
411,-1002855
412,-928661
413,-851084
414,-770332
415,-684646
416,-594922
417,-501817
418,-405732
419,-306235
420,-203413
421,-98708
422,7512
423,115367
424,222585
425,330717
426,438333
427,544664
428,649021
429,751286
430,851034
431,947762
432,1041390
433,1132383
434,1218197
435,1300224
436,1378274
437,1450833
438,1518952
439,1581207
440,1638302
441,1688686
442,1733096
443,1770396
444,1800956
445,1823800
446,1839737
447,1847897
448,1848447
449,1842038
450,1827333
451,1805638
452,1775873
453,1740216
454,1696276
455,1646253
456,1589612
457,1527138
