hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,17:16:55,hit_001_20260730_171655.csv,512,DEFECT,HIGH,0,28,118,261,500000,5338257,4650698,-5338257,-373986.9,,800,-539,坏棒 总长1000 任意重度敲 800
2,17:16:55,hit_002_20260730_171655.csv,512,DEFECT,HIGH,0,27,117,254,500000,5205748,4384843,-5205748,-306911.2,,800,-546,坏棒 总长1000 任意重度敲 800
3,17:16:55,hit_003_20260730_171655.csv,512,DEFECT,HIGH,0,24,115,230,500000,5007263,4574705,-5007263,-155361.4,,800,-570,坏棒 总长1000 任意重度敲 800
4,17:16:56,hit_004_20260730_171656.csv,512,DEFECT,HIGH,0,23,115,221,500000,4668140,4603595,-4668140,197013.8,,800,-579,坏棒 总长1000 任意重度敲 800
5,17:16:56,hit_005_20260730_171656.csv,512,DEFECT,HIGH,0,23,117,216,500000,4705100,4705100,-4595052,117864.6,,800,-584,坏棒 总长1000 任意重度敲 800
6,17:16:56,hit_006_20260730_171656.csv,512,DEFECT,HIGH,0,24,118,224,500000,4880809,4801399,-4880809,22332.4,,800,-576,坏棒 总长1000 任意重度敲 800
7,17:16:57,hit_007_20260730_171657.csv,512,DEFECT,HIGH,0,22,118,205,500000,4611213,4529984,-4611213,-46747.5,,800,-595,坏棒 总长1000 任意重度敲 800
8,17:16:57,hit_008_20260730_171657.csv,512,DEFECT,HIGH,0,24,117,226,500000,4704408,4704408,-4703987,38836.1,,800,-574,坏棒 总长1000 任意重度敲 800
9,17:16:57,hit_009_20260730_171657.csv,512,DEFECT,HIGH,0,22,117,207,500000,4494910,4418486,-4494910,-158905.7,,800,-593,坏棒 总长1000 任意重度敲 800
10,17:16:57,hit_010_20260730_171657.csv,512,DEFECT,HIGH,0,25,118,233,500000,4452713,4116759,-4452713,-246925.9,,800,-567,坏棒 总长1000 任意重度敲 800
11,17:16:58,hit_011_20260730_171658.csv,512,NORMAL,HIGH,0,0,116,0,500000,4139830,4070402,-4139830,-172819.9,,800,,坏棒 总长1000 任意重度敲 800
12,17:16:58,hit_012_20260730_171658.csv,512,DEFECT,HIGH,0,27,118,252,500000,4547829,4315827,-4547829,-263728.7,,800,-548,坏棒 总长1000 任意重度敲 800
13,17:16:58,hit_013_20260730_171658.csv,512,DEFECT,HIGH,0,28,120,256,500000,4787874,4334679,-4787874,-334627.8,,800,-544,坏棒 总长1000 任意重度敲 800
14,17:16:59,hit_014_20260730_171659.csv,512,DEFECT,HIGH,0,22,117,207,500000,4536190,4457413,-4536190,-131632.8,,800,-593,坏棒 总长1000 任意重度敲 800
15,17:16:59,hit_015_20260730_171659.csv,512,DEFECT,HIGH,0,25,121,227,500000,4961198,4326824,-4961198,-280248.2,,800,-573,坏棒 总长1000 任意重度敲 800
16,17:16:59,hit_016_20260730_171659.csv,512,DEFECT,HIGH,0,22,118,205,500000,4488490,4488490,-4370205,-10401.7,,800,-595,坏棒 总长1000 任意重度敲 800
17,17:16:59,hit_017_20260730_171659.csv,512,DEFECT,HIGH,0,21,117,198,500000,4559573,4559573,-4351711,3111.1,,800,-602,坏棒 总长1000 任意重度敲 800
18,17:17:00,hit_018_20260730_171700.csv,512,DEFECT,HIGH,0,24,117,226,500000,4804403,4534049,-4804403,-189078.8,,800,-574,坏棒 总长1000 任意重度敲 800
19,17:17:00,hit_019_20260730_171700.csv,512,DEFECT,HIGH,0,87,117,716,500000,4844521,4844521,-4184664,185482.2,,800,-84,坏棒 总长1000 任意重度敲 800
20,17:17:00,hit_020_20260730_171700.csv,512,DEFECT,HIGH,0,24,119,222,500000,4831387,4719397,-4831387,-109531.1,,800,-578,坏棒 总长1000 任意重度敲 800
21,17:17:00,hit_021_20260730_171700.csv,512,DEFECT,HIGH,0,26,120,238,500000,5097581,4627443,-5097581,-271771.4,,800,-562,坏棒 总长1000 任意重度敲 800
22,17:17:01,hit_022_20260730_171701.csv,512,DEFECT,HIGH,0,23,117,216,500000,4957439,4957439,-4581502,73897.6,,800,-584,坏棒 总长1000 任意重度敲 800
23,17:17:01,hit_023_20260730_171701.csv,512,DEFECT,HIGH,0,24,118,224,500000,4876013,4746704,-4876013,-206855.5,,800,-576,坏棒 总长1000 任意重度敲 800
24,17:17:01,hit_024_20260730_171701.csv,512,DEFECT,HIGH,0,25,122,225,500000,4955606,4750396,-4955606,-233342.9,,800,-575,坏棒 总长1000 任意重度敲 800
25,17:17:01,hit_025_20260730_171701.csv,512,DEFECT,HIGH,0,23,120,211,500000,4903675,4903675,-4709550,46124.4,,800,-589,坏棒 总长1000 任意重度敲 800
