# note,坏棒 总长 1000 轻轻敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,-591
# time,2026-07-30 17:30:58
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,22
# bottom_index,0
# distance_mm,209
# threshold,500000
# peak_abs,4535754
index,raw24
0,-2845
1,-3044
2,-3076
3,-3148
4,-3259
5,-3371
6,-3626
7,-3242
8,-3441
9,-4009
10,-4065
11,-4408
12,-4847
13,-5375
14,-5710
15,-6197
16,-6733
17,-6844
18,-7619
19,-8170
20,-8209
21,-8760
22,-8775
23,-9622
24,-9541
25,-10115
26,-9946
27,-9313
28,-9768
29,-9743
30,-9269
31,-8956
32,-9195
33,-8778
34,-8513
35,-8704
36,-8655
37,-8790
38,-9061
39,-9044
40,-9650
41,-9233
42,-8960
43,-8751
44,-8838
45,-8573
46,-8276
47,-9091
48,-8794
49,-9784
50,-11087
51,-12550
52,-14580
53,-16915
54,-19616
55,-22558
56,-28915
57,-37384
58,-52203
59,-82901
60,-144267
61,-254609
62,-419498
63,-626935
64,-845250
65,-1065219
66,-1283537
67,-1495860
68,-1704566
69,-1905774
70,-2102381
71,-2293148
72,-2480564
73,-2664989
74,-2846632
75,-3026901
76,-3203795
77,-3380684
78,-3554087
79,-3727557
80,-3897566
81,-4067107
82,-4230834
83,-4382942
84,-4458287
85,-4423126
86,-4265938
87,-4035322
88,-3808181
89,-3582140
90,-3360831
91,-3140477
92,-2924165
93,-2709808
94,-2498830
95,-2288884
96,-2083541
97,-1879015
98,-1678689
99,-1479804
100,-1284512
101,-1090939
102,-900110
103,-712368
104,-526289
105,-343145
106,-162263
107,15221
108,190483
109,362284
110,504440
111,615362
112,711271
113,800712
114,883438
115,959683
116,1027069
117,1084320
118,1134916
119,1179657
120,1219929
121,1260780
122,1302514
123,1345227
124,1389191
125,1431429
126,1472487
127,1512243
128,1550138
129,1586005
130,1619443
131,1650542
132,1681220
133,1710055
134,1737982
135,1762690
136,1786459
137,1807529
138,1825708
139,1838397
140,1844861
141,1843812
142,1834386
143,1815307
144,1784589
145,1740475
146,1681311
147,1607337
148,1516821
149,1412164
150,1292872
151,1163442
152,1025228
153,883638
154,741771
155,606048
156,479366
157,368148
158,276031
159,205765
160,159284
161,135056
162,130848
163,145472
164,171982
165,206761
166,245088
167,279258
168,304768
169,313378
170,300036
171,258040
172,181272
173,65370
174,-93894
175,-295675
176,-515007
177,-734992
178,-956966
179,-1176553
180,-1391873
181,-1603552
182,-1811196
183,-2015735
184,-2215753
185,-2413482
186,-2606644
187,-2797909
188,-2985504
189,-3169891
190,-3351016
191,-3524559
192,-3689945
193,-3824743
194,-3893412
195,-3890360
196,-3814517
197,-3662612
198,-3449077
199,-3228256
200,-3011830
201,-2796334
202,-2584801
203,-2375245
204,-2167979
205,-1963690
206,-1761299
207,-1561476
208,-1364285
209,-1169222
210,-976264
211,-785840
212,-597745
213,-411400
214,-227589
215,-45778
216,133452
217,310332
218,484270
219,655107
220,823355
221,988846
222,1151765
223,1311033
224,1468297
225,1622734
226,1773527
227,1923271
228,2067908
229,2212296
230,2352218
231,2491187
232,2625034
233,2759042
234,2862521
235,2906812
236,2902433
237,2851135
238,2762154
239,2638105
240,2487823
241,2315295
242,2127149
243,1928177
244,1724358
245,1518603
246,1315170
247,1118185
248,930129
249,751855
250,586363
251,433708
252,294543
253,169819
254,58222
255,-40225
256,-127572
257,-203932
258,-270900
259,-329530
260,-382650
261,-429195
262,-472279
263,-510381
264,-545311
265,-577412
266,-605454
267,-632612
268,-656991
269,-678495
270,-700028
271,-719718
272,-738950
273,-758868
274,-779176
275,-800832
276,-823551
277,-848394
278,-875618
279,-905104
280,-936289
281,-970095
282,-1005488
283,-1042910
284,-1082750
285,-1122362
286,-1162329
287,-1201555
288,-1240344
289,-1277657
290,-1311069
291,-1341205
292,-1365409
293,-1383211
294,-1392562
295,-1393608
296,-1382390
297,-1360285
298,-1324543
299,-1274909
300,-1209049
301,-1127510
302,-1028756
303,-912575
304,-777895
305,-626224
306,-457084
307,-276956
308,-96394
309,82762
310,258360
311,431768
312,602211
313,769914
314,933948
315,1095810
316,1254860
317,1411355
318,1564974
319,1716287
320,1864846
321,2011274
322,2154765
323,2296606
324,2436021
325,2572452
326,2707530
327,2839663
328,2970549
329,3098442
330,3224744
331,3348934
332,3472261
333,3592269
334,3710671
335,3827594
336,3942127
337,4055525
338,4166710
339,4266314
340,4348617
341,4417462
342,4469667
343,4507817
344,4529539
345,4535754
346,4527744
347,4502128
348,4462370
349,4407697
350,4338527
351,4254598
352,4157878
353,4047107
354,3924061
355,3788934
356,3642639
357,3486258
358,3318129
359,3141628
360,2955380
361,2762163
362,2560530
363,2353578
364,2141002
365,1925213
366,1706018
367,1486450
368,1266900
369,1049337
370,835169
371,626227
372,423991
373,230875
374,47439
375,-124527
376,-282744
377,-427157
378,-555769
379,-669621
380,-766267
381,-847886
382,-913166
383,-963463
384,-998241
385,-1019919
386,-1027787
387,-1024517
388,-1011144
389,-988533
390,-959164
391,-924175
392,-885310
393,-843362
394,-801331
395,-759417
396,-719860
397,-682677
398,-650433
399,-621354
400,-597742
401,-578701
402,-564830
403,-555457
404,-549126
405,-547331
406,-546816
407,-547725
408,-548738
409,-548799
410,-547084
411,-541985
412,-533383
413,-519550
414,-499942
415,-474825
416,-443463
417,-404609
418,-359912
419,-308196
420,-250862
421,-187304
422,-118881
423,-45858
424,30259
425,108976
426,189074
427,269683
428,350042
429,428111
430,504883
431,577806
432,646711
433,711312
434,770961
435,824451
436,872534
437,914108
438,949172
439,977912
440,1001065
441,1017871
442,1029051
443,1034621
444,1034503
445,1029912
446,1020643
447,1006198
448,989331
449,968282
450,944724
451,917753
452,888601
453,857260
454,825388
455,790679
456,755918
457,719530
458,681746
459,644079
460,604608
461,565190
462,523185
463,480930
464,436191
465,390602
466,342394
467,291744
468,238740
469,182911
470,123465
471,60586
472,-5198
473,-74981
474,-147668
475,-224794
476,-304590
477,-387601
478,-473138
479,-560664
480,-650443
481,-741116
482,-832194
483,-923540
484,-1013755
485,-1102535
486,-1188569
487,-1272208
488,-1350316
489,-1424944
490,-1493706
491,-1556515
492,-1611917
493,-1662089
494,-1702974
495,-1735702
496,-1761034
497,-1776611
498,-1784794
499,-1783760
500,-1774702
501,-1756774
502,-1731327
503,-1697180
504,-1657237
505,-1608498
506,-1555182
507,-1494808
508,-1430514
509,-1361459
510,-1288205
511,-1212063
