# note,坏棒 总长 1000 轻轻敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,-558
# time,2026-07-30 17:31:05
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,24
# bottom_index,101
# distance_mm,242
# threshold,500000
# peak_abs,4589135
index,raw24
0,-7049
1,-6344
2,-7103
3,-6543
4,-6470
5,-6565
6,-7220
7,-6923
8,-7042
9,-6522
10,-6177
11,-6520
12,-6527
13,-6526
14,-6581
15,-6821
16,-6468
17,-6395
18,-6042
19,-6001
20,-6241
21,-6184
22,-5431
23,-5550
24,-6198
25,-6085
26,-6492
27,-5899
28,-6219
29,-6050
30,-7089
31,-7592
32,-8319
33,-8902
34,-9485
35,-11236
36,-12771
37,-15465
38,-17759
39,-20557
40,-23490
41,-26928
42,-30212
43,-34329
44,-37316
45,-41312
46,-45931
47,-51533
48,-60983
49,-74527
50,-90798
51,-107963
52,-125406
53,-146135
54,-172437
55,-203552
56,-238095
57,-273450
58,-311096
59,-354338
60,-402639
61,-455766
62,-513854
63,-575463
64,-640313
65,-707651
66,-770485
67,-860623
68,-1025366
69,-1238616
70,-1453153
71,-1662136
72,-1864253
73,-2060913
74,-2251062
75,-2437691
76,-2618921
77,-2798809
78,-2975332
79,-3150145
80,-3323784
81,-3494730
82,-3666240
83,-3834944
84,-4004716
85,-4169899
86,-4333838
87,-4425789
88,-4358617
89,-4150757
90,-3918354
91,-3691740
92,-3467473
93,-3246082
94,-3026941
95,-2812452
96,-2598749
97,-2388471
98,-2179612
99,-1974450
100,-1771241
101,-1571976
102,-1373960
103,-1179865
104,-987433
105,-797592
106,-610943
107,-426316
108,-244376
109,-64754
110,112118
111,286104
112,457645
113,617013
114,747162
115,858799
116,954830
117,1039625
118,1118818
119,1198242
120,1279343
121,1357923
122,1433821
123,1497558
124,1552528
125,1598546
126,1640847
127,1683007
128,1728433
129,1777606
130,1830117
131,1879998
132,1927440
133,1966909
134,2001037
135,2032056
136,2061520
137,2089525
138,2116494
139,2140683
140,2160198
141,2176110
142,2187405
143,2194746
144,2197430
145,2195353
146,2187837
147,2170666
148,2144401
149,2102627
150,2044787
151,1967929
152,1871257
153,1749164
154,1604663
155,1439107
156,1256259
157,1063786
158,870152
159,683534
160,514290
161,368740
162,253255
163,169560
164,120603
165,104468
166,118087
167,158977
168,221749
169,299586
170,386438
171,473543
172,550845
173,609002
174,635719
175,621586
176,555502
177,430890
178,241957
179,14744
180,-215354
181,-448112
182,-675361
183,-898991
184,-1118433
185,-1333568
186,-1545198
187,-1752705
188,-1958483
189,-2159020
190,-2356700
191,-2550445
192,-2742749
193,-2928470
194,-3105969
195,-3257190
196,-3341856
197,-3348160
198,-3278255
199,-3126583
200,-2917274
201,-2703477
202,-2491707
203,-2283275
204,-2076797
205,-1873263
206,-1671874
207,-1473038
208,-1274890
209,-1080911
210,-888107
211,-697950
212,-510305
213,-325083
214,-141843
215,40110
216,217849
