# note,坏棒 总长 1000 轻轻敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,
# time,2026-07-30 17:31:56
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,117
# distance_mm,0
# threshold,500000
# peak_abs,4833867
index,raw24
0,10569
1,11375
2,11182
3,11012
4,10899
5,11322
6,11192
7,11007
8,11110
9,10908
10,10843
11,10922
12,11208
13,11031
14,11053
15,11428
16,11339
17,11409
18,11016
19,11118
20,10853
21,11380
22,10890
23,11305
24,10896
25,10734
26,11237
27,10660
28,11218
29,11265
30,11167
31,11062
32,11285
33,11035
34,11250
35,11705
36,11583
37,11230
38,11436
39,11187
40,11586
41,11296
42,11503
43,11245
44,10988
45,10747
46,10641
47,10360
48,10127
49,10549
50,10332
51,10179
52,10562
53,10096
54,9919
55,9430
56,9237
57,8275
58,8034
59,8201
60,-8520
61,-128575
62,-351967
63,-582332
64,-808565
65,-1027090
66,-1239749
67,-1444509
68,-1642437
69,-1834660
70,-2022452
71,-2207142
72,-2387712
73,-2564421
74,-2737884
75,-2908229
76,-3077474
77,-3242115
78,-3411551
79,-3581014
80,-3733145
81,-3611650
82,-3374345
83,-3156613
84,-2933267
85,-2716749
86,-2502402
87,-2290720
88,-2081408
89,-1874810
90,-1670709
91,-1469530
92,-1271062
93,-1075275
94,-882536
95,-692500
96,-504271
97,-319442
98,-136611
99,42854
100,219905
101,393054
102,565598
103,732641
104,898239
105,1059474
106,1219384
107,1356723
108,1454742
109,1545388
110,1645592
111,1770927
112,1912134
113,2050245
114,2165403
115,2244386
116,2295432
117,2333128
118,2371451
119,2422538
120,2490970
121,2567370
122,2646193
123,2719382
124,2786850
125,2851373
126,2918001
127,2988437
128,3065104
129,3137650
130,3205123
131,3263028
132,3312213
133,3355009
134,3391728
135,3424529
136,3450255
137,3464378
138,3466019
139,3454468
140,3424782
141,3379852
142,3314744
143,3223835
144,3104026
145,2950159
146,2760830
147,2536661
148,2291152
149,2043120
150,1797175
151,1553683
152,1314118
153,1078701
154,852881
155,657961
156,516297
157,431890
158,415237
159,466731
160,590842
161,757873
162,924293
163,1087964
164,1249207
165,1406935
166,1562251
167,1714284
168,1854275
169,1895777
170,1801857
171,1581573
172,1327652
173,1078274
174,834038
175,595705
176,362344
177,133348
178,-91421
179,-312746
180,-530251
181,-745539
182,-957064
183,-1167899
184,-1376684
185,-1584916
186,-1790299
187,-1988664
188,-2099101
189,-2042757
190,-1859740
191,-1654657
192,-1454639
193,-1256565
194,-1061196
195,-867314
196,-676200
197,-486518
198,-299722
199,-113606
200,68376
201,248648
202,425434
203,599462
204,770788
205,938766
206,1104164
207,1266573
208,1426674
209,1583132
210,1738083
211,1890031
212,2039312
213,2186151
214,2330444
215,2472424
216,2612250
217,2749435
218,2884283
219,3016963
220,3146819
221,3274995
222,3400515
223,3524556
224,3645686
225,3765096
226,3881701
227,3996003
228,4109483
229,4207110
230,4246132
231,4235902
232,4183961
233,4099018
234,3989709
235,3863326
236,3727343
237,3586448
238,3447306
239,3314053
240,3189993
241,3074827
242,2971020
243,2878321
244,2793594
245,2716245
246,2641921
247,2567831
248,2489789
249,2405989
250,2312447
251,2206789
252,2088040
253,1955489
254,1809330
255,1651021
256,1482788
257,1308575
258,1132815
259,959701
260,795471
261,643894
262,509824
263,396425
264,305953
265,239844
266,197582
267,177214
268,175913
269,190251
270,216604
271,249649
272,285411
273,318888
274,347385
275,364527
276,369650
277,359461
278,331537
279,286089
280,221854
281,139267
282,39594
283,-75931
284,-203850
285,-339401
286,-479480
287,-618517
288,-750370
289,-870350
290,-971884
291,-1051125
292,-1101797
293,-1122038
294,-1106821
295,-1054758
296,-962789
297,-830048
298,-658163
299,-471522
300,-287753
301,-105141
302,73991
303,251678
304,424944
305,597132
306,765771
307,931597
308,1094332
309,1254590
310,1411613
311,1566432
312,1718617
313,1868295
314,2015587
315,2160157
316,2302590
317,2442540
318,2580458
319,2715903
320,2849652
321,2980016
322,3109028
323,3235961
324,3361478
325,3484547
326,3605850
327,3725082
328,3842059
329,3957950
330,4071499
331,4184186
332,4293603
333,4401887
334,4508085
335,4614007
336,4706828
337,4772517
338,4815431
339,4833867
340,4830173
341,4802991
342,4756341
343,4688696
344,4602932
345,4498914
346,4379877
347,4244718
348,4097576
349,3937708
350,3767555
351,3587727
352,3399313
353,3203554
354,3000563
355,2791957
356,2577328
357,2358645
358,2135277
359,1909209
360,1679768
361,1448939
362,1219706
363,991725
364,766844
365,543150
366,322716
367,105348
368,-107169
369,-311515
370,-502461
371,-679224
372,-838053
373,-977303
374,-1094927
375,-1191402
376,-1263488
377,-1312966
378,-1338510
379,-1341930
380,-1324279
381,-1287613
382,-1234392
383,-1167817
384,-1090179
385,-1004285
386,-913987
387,-822299
388,-731319
389,-643830
390,-562255
391,-488138
392,-422887
393,-367683
394,-322406
395,-287783
396,-261692
397,-244588
398,-234270
399,-230545
400,-229845
401,-232257
402,-233325
403,-233496
404,-229956
405,-221231
406,-205788
407,-182083
408,-149709
409,-108211
410,-56774
411,3321
412,72953
413,150960
414,236630
415,327457
416,424441
417,523917
418,626917
419,730400
420,834015
421,935073
422,1035063
423,1129993
424,1222007
425,1307914
426,1389826
427,1465056
428,1534542
429,1597138
430,1653695
431,1704573
432,1749357
433,1787808
434,1820589
435,1848479
436,1870734
437,1888729
438,1901387
439,1910026
440,1913553
441,1913048
442,1907662
443,1898349
444,1885214
445,1867599
446,1846027
447,1819426
448,1789636
449,1754889
450,1716595
451,1674474
452,1628533
453,1579382
454,1527902
455,1473643
456,1418271
457,1360314
458,1301764
459,1241613
460,1179693
461,1116765
462,1052061
463,986869
464,919084
465,849564
466,777276
467,702677
468,624495
469,542651
470,456969
471,367177
472,274708
473,178419
474,79453
475,-22061
476,-124458
477,-227899
478,-330103
479,-430279
480,-527426
481,-620746
482,-707766
483,-789184
484,-861679
485,-924582
486,-977629
487,-1019302
488,-1049497
489,-1066169
490,-1069831
491,-1060876
492,-1037611
493,-1001012
494,-951482
495,-889910
496,-816305
497,-730910
498,-636772
499,-532511
500,-420694
501,-302706
502,-178637
503,-51447
504,79591
505,210949
506,343403
507,474281
508,603832
509,730662
510,854549
511,973948
