# note,坏棒 总长 1000 轻轻敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,47
# time,2026-07-30 17:32:00
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,100
# bottom_index,105
# distance_mm,847
# threshold,500000
# peak_abs,5631040
index,raw24
0,-2332
1,-2436
2,-1883
3,-2347
4,-2451
5,-1946
6,-2226
7,-2514
8,-2090
9,-2297
10,-2217
11,-2097
12,-2144
13,-2080
14,-1656
15,-2056
16,-1799
17,-2175
18,-2319
19,-1639
20,-1822
21,-1462
22,-1566
23,-1950
24,-1109
25,-1853
26,-1421
27,-1581
28,-1469
29,-1812
30,-1628
31,-2028
32,-2348
33,-2411
34,-2763
35,-3523
36,-4474
37,-5234
38,-5849
39,-6464
40,-8816
41,-10510
42,-12973
43,-15748
44,-18266
45,-20543
46,-22965
47,-25098
48,-28663
49,-34259
50,-40071
51,-47986
52,-56420
53,-68174
54,-83741
55,-110467
56,-159085
57,-222554
58,-295303
59,-366875
60,-428830
61,-479186
62,-517943
63,-551520
64,-586564
65,-625525
66,-669408
67,-721023
68,-781023
69,-856487
70,-946295
71,-1052475
72,-1164579
73,-1325661
74,-1536339
75,-1743015
76,-1941650
77,-2128261
78,-2309810
79,-2486624
80,-2662064
81,-2833539
82,-3002049
83,-3166587
84,-3330616
85,-3489250
86,-3647880
87,-3799018
88,-3959003
89,-4109983
90,-4282474
91,-4248951
92,-4003584
93,-3779887
94,-3547250
95,-3325665
96,-3099851
97,-2882120
98,-2664745
99,-2451443
100,-2239408
101,-2031527
102,-1825031
103,-1621712
104,-1422026
105,-1224740
106,-1030183
107,-839713
108,-650938
109,-465539
110,-282826
111,-103160
112,74605
113,248172
114,420798
115,583778
116,737659
117,889153
118,1030356
119,1171286
120,1303495
121,1428824
122,1556074
123,1674436
124,1779880
125,1874830
126,1954905
127,2031891
128,2108179
129,2184377
130,2262639
131,2342930
132,2421580
133,2506549
134,2593139
135,2679686
136,2771391
137,2862813
138,2957311
139,3051662
140,3139626
141,3223314
142,3300161
143,3370982
144,3436731
145,3494687
146,3543004
147,3585164
148,3618150
149,3643917
150,3660776
