# note,坏棒 总长 1000 轻轻敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,
# time,2026-07-30 17:32:37
# points,512
# state,INVALID
# confidence,NONE
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,500000
# peak_abs,8371941
index,raw24
0,7089
1,7216
2,7471
3,7622
4,7613
5,7100
6,7403
7,7266
8,7377
9,7536
10,7176
11,7479
12,6630
13,6733
14,6668
15,6955
16,7146
17,6649
18,7289
19,6344
20,6935
21,6766
22,6693
23,7044
24,6588
25,6923
26,6370
27,6545
28,6392
29,6751
30,6583
31,6814
32,6565
33,6460
34,6339
35,6043
36,6458
37,5401
38,4920
39,3432
40,1135
41,-4337
42,-11640
43,-19999
44,-29044
45,-36809
46,-44356
47,-51159
48,-56449
49,-61338
50,-66794
51,-72418
52,-78905
53,-85344
54,-92765
55,-101386
56,-113893
57,-131696
58,-159399
59,-200796
60,-257483
61,-334452
62,-432915
63,-563086
64,-743050
65,-957567
66,-1176474
67,-1382322
68,-1576466
69,-1767401
70,-1954665
71,-2138731
72,-2319990
73,-2496378
74,-2672978
75,-2841659
76,-3013904
77,-3170417
78,-3350189
79,-3410253
80,-3184468
81,-2966983
82,-2741981
83,-2527711
84,-2311218
85,-2102136
86,-1892039
87,-1686568
88,-1482722
89,-1281925
90,-1083473
91,-888621
92,-695048
93,-506651
94,-315853
95,-138375
96,48778
97,63604
98,-152716
99,-378409
100,-549771
101,-534224
102,-368014
103,-182177
104,-1691
105,177629
106,352039
107,521252
108,657421
109,786484
110,938308
111,1101250
112,1259923
113,1416386
114,1566837
115,1688557
116,1791607
117,1893197
118,2000669
119,2128793
120,2266381
121,2403601
122,2540067
123,2674413
124,2807863
125,2937464
126,3067737
127,3194211
128,3319765
129,3442520
130,3564451
131,3683064
132,3800943
133,3916383
134,4030504
135,4143084
136,4249363
137,4334180
138,4398187
139,4452866
140,4500690
141,4550253
142,4598665
143,4643376
144,4679537
145,4701038
146,4702496
147,4678066
148,4620231
149,4517915
150,4364323
151,4143119
152,3875829
153,3599572
154,3325868
155,3055302
156,2788969
157,2526629
158,2269089
159,2040372
160,1928178
161,1983831
162,2132269
163,2278121
164,2424282
165,2565939
166,2706993
167,2843999
168,2981284
169,3112488
170,3246028
171,3370047
172,3500108
173,3498033
174,3260694
175,2986376
176,2722275
177,2467519
178,2219018
179,1975859
180,1737145
181,1502437
182,1270318
183,1039875
184,809692
185,579601
186,346962
187,114240
188,-107606
189,-206225
190,-125056
191,50312
192,230057
193,405741
194,578852
195,749653
196,916530
197,1081450
198,1243150
199,1402614
200,1560179
201,1714156
202,1866427
203,2016567
204,2163841
205,2309809
206,2452783
207,2594491
208,2733551
209,2870913
210,3006602
211,3139835
212,3271340
213,3400517
214,3528358
215,3654063
216,3778689
217,3899948
218,4020688
219,4139725
220,4256347
221,4371356
222,4484414
223,4596355
224,4704130
225,4811971
226,4915304
227,5019816
228,5116147
229,5217675
230,5213126
231,4986817
232,4690161
233,4400748
234,4117299
235,3841780
236,3571703
237,3305771
238,3044840
239,2786428
240,2531528
241,2278771
242,2027253
243,1777405
244,1530076
245,1283857
246,1042173
247,837557
248,751751
249,791555
250,937147
251,1102464
252,1263882
253,1422919
254,1579322
255,1732849
256,1884717
257,2033879
258,2180343
259,2324013
260,2464617
261,2602964
262,2737542
263,2869496
264,2951018
265,2951210
266,2888649
267,2774281
268,2625878
269,2459590
270,2291937
271,2138330
272,2010549
273,1919015
274,1871253
275,1869752
276,1915580
277,2005338
278,2131605
279,2274249
280,2415580
281,2554861
282,2691509
283,2826244
284,2958275
285,3088530
286,3215945
287,3341201
288,3452305
289,3555907
290,3657257
291,3764363
292,3878287
293,3994462
294,4108174
295,4220257
296,4331405
297,4440797
298,4548487
299,4654579
300,4760331
301,4863054
302,4965244
303,5065150
304,5164676
305,5262261
306,5357835
307,5452405
308,5545083
309,5636958
310,5726398
311,5815419
312,5901413
313,5988365
314,6071730
315,6155389
316,6237597
317,6318060
318,6398665
319,6477428
320,6555805
321,6632677
322,6709691
323,6784240
324,6858836
325,6932070
326,7005176
327,7076465
328,7147193
329,7217553
330,7286088
331,7354566
332,7421180
333,7487659
334,7552313
335,7617935
336,7680709
337,7743475
338,7805154
339,7865457
340,7926225
341,7983849
342,8042747
343,8099309
344,8155832
345,8210077
346,8264642
347,8317722
348,8364618
349,8371941
350,8340535
351,8272981
352,8169155
353,8034198
354,7866241
355,7671489
356,7448888
357,7202659
358,6933532
359,6644397
360,6346066
361,6049700
362,5754441
363,5462019
364,5172032
365,4883609
366,4598156
367,4315347
368,4037724
369,3762519
370,3492308
371,3227178
372,2967696
373,2715461
374,2470074
375,2246084
376,2070562
377,1947317
378,1879376
379,1867882
380,1911038
381,2006749
382,2144720
383,2288978
384,2430619
385,2569290
386,2706592
387,2840870
388,2973891
389,3103816
390,3232253
391,3358323
392,3482449
393,3603520
394,3723592
395,3840545
396,3957060
397,4053393
398,4113706
399,4146236
400,4151130
401,4135967
402,4103950
403,4061817
404,4015610
405,3969703
406,3932067
407,3905859
408,3897790
409,3910130
410,3948421
411,4012803
412,4106657
413,4218364
414,4329265
415,4439448
416,4546754
417,4653559
418,4758063
419,4862442
420,4962905
421,5063883
422,5162201
423,5259955
424,5355945
425,5449859
426,5543049
427,5634509
428,5724925
429,5813546
430,5901092
431,5986860
432,6072169
433,6154772
434,6236789
435,6317779
436,6385856
437,6429221
438,6451740
439,6459688
440,6451124
441,6432928
442,6406407
443,6375289
444,6341454
445,6308456
446,6277950
447,6251800
448,6231669
449,6218036
450,6213045
451,6214270
452,6225072
453,6242072
454,6266638
455,6296233
456,6330800
457,6369108
458,6408314
459,6449404
460,6488048
461,6524680
462,6555508
463,6581388
464,6598392
465,6607355
466,6603628
467,6589262
468,6560066
469,6516921
470,6457397
471,6380145
472,6287310
473,6173855
474,6045125
475,5897635
476,5734275
477,5555191
478,5363609
479,5159418
480,4946637
481,4727257
482,4504192
483,4280338
484,4058295
485,3841936
486,3632267
487,3433416
488,3247684
489,3076032
490,2922064
491,2785244
492,2668520
493,2570930
494,2493888
495,2436432
496,2398878
497,2380633
498,2380367
499,2397348
500,2429568
501,2476343
502,2536481
503,2607683
504,2688597
505,2778900
506,2875729
507,2978698
508,3086966
509,3198654
510,3314719
511,3431906
