hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,17:30:49,hit_001_20260730_173049.csv,512,DEFECT,HIGH,0,24,119,222,500000,5554250,5554250,-3795657,1080064.3,,800,-578,坏棒 总长 1000 轻轻敲 铁头 800
2,17:30:51,hit_002_20260730_173051.csv,512,DEFECT,HIGH,0,25,124,221,500000,4382016,2918354,-4382016,-242633.9,,800,-579,坏棒 总长 1000 轻轻敲 铁头 800
3,17:30:51,hit_003_20260730_173051.csv,512,DEFECT,HIGH,0,88,121,700,500000,4102231,4102231,-4019007,169482.0,,800,-100,坏棒 总长 1000 轻轻敲 铁头 800
4,17:30:52,hit_004_20260730_173052.csv,512,DEFECT,HIGH,0,34,121,309,500000,4074429,3632826,-4074429,-214041.3,,800,-491,坏棒 总长 1000 轻轻敲 铁头 800
5,17:30:52,hit_005_20260730_173052.csv,512,DEFECT,HIGH,0,28,124,247,500000,5451615,4034493,-5451615,-147709.9,,800,-553,坏棒 总长 1000 轻轻敲 铁头 800
6,17:30:52,hit_006_20260730_173052.csv,512,DEFECT,HIGH,0,28,121,254,500000,6230763,6230763,-3613655,1192574.6,,800,-546,坏棒 总长 1000 轻轻敲 铁头 800
7,17:30:53,hit_007_20260730_173053.csv,512,DEFECT,HIGH,0,21,121,190,500000,4501017,4501017,-4305427,36211.3,,800,-610,坏棒 总长 1000 轻轻敲 铁头 800
8,17:30:53,hit_008_20260730_173053.csv,512,DEFECT,HIGH,0,86,119,694,500000,4181134,4066741,-4181134,76394.8,,800,-106,坏棒 总长 1000 轻轻敲 铁头 800
9,17:30:54,hit_009_20260730_173054.csv,512,DEFECT,HIGH,0,39,118,364,500000,4633883,4633883,-3821083,534243.0,,800,-436,坏棒 总长 1000 轻轻敲 铁头 800
10,17:30:54,hit_010_20260730_173054.csv,512,DEFECT,HIGH,0,23,119,212,500000,4519420,3955970,-4519420,-96480.6,,800,-588,坏棒 总长 1000 轻轻敲 铁头 800
11,17:30:54,hit_011_20260730_173054.csv,512,DEFECT,HIGH,0,87,118,710,500000,4272951,4272951,-4146107,110736.2,,800,-90,坏棒 总长 1000 轻轻敲 铁头 800
12,17:30:55,hit_012_20260730_173055.csv,512,DEFECT,HIGH,0,85,119,685,500000,4234750,3840451,-4234750,-124904.6,,800,-115,坏棒 总长 1000 轻轻敲 铁头 800
13,17:30:55,hit_013_20260730_173055.csv,512,DEFECT,HIGH,0,21,120,192,500000,4359134,3848130,-4359134,-119849.9,,800,-608,坏棒 总长 1000 轻轻敲 铁头 800
14,17:30:55,hit_014_20260730_173055.csv,512,DEFECT,HIGH,0,86,118,700,500000,4351807,4351807,-4033201,177686.7,,800,-100,坏棒 总长 1000 轻轻敲 铁头 800
15,17:30:56,hit_015_20260730_173056.csv,512,DEFECT,HIGH,0,86,119,694,500000,4257204,4257204,-4104316,127094.5,,800,-106,坏棒 总长 1000 轻轻敲 铁头 800
16,17:30:56,hit_016_20260730_173056.csv,512,DEFECT,HIGH,0,37,118,345,500000,4938863,4938863,-3625895,756916.8,,800,-455,坏棒 总长 1000 轻轻敲 铁头 800
17,17:30:56,hit_017_20260730_173056.csv,512,DEFECT,HIGH,0,24,118,224,500000,4738696,4738696,-3857271,268763.6,,800,-576,坏棒 总长 1000 轻轻敲 铁头 800
18,17:30:56,hit_018_20260730_173056.csv,512,DEFECT,HIGH,0,25,120,229,500000,5035863,5035863,-3815916,582652.7,,800,-571,坏棒 总长 1000 轻轻敲 铁头 800
19,17:30:57,hit_019_20260730_173057.csv,512,DEFECT,HIGH,0,24,120,220,500000,5189445,5189445,-3874416,538838.8,,800,-580,坏棒 总长 1000 轻轻敲 铁头 800
20,17:30:57,hit_020_20260730_173057.csv,512,DEFECT,HIGH,0,89,122,702,500000,4620947,4620947,-4136104,238145.5,,800,-98,坏棒 总长 1000 轻轻敲 铁头 800
21,17:30:57,hit_021_20260730_173057.csv,512,DEFECT,HIGH,0,26,119,240,500000,6030845,6030845,-3652964,818631.3,,800,-560,坏棒 总长 1000 轻轻敲 铁头 800
22,17:30:57,hit_022_20260730_173057.csv,512,DEFECT,HIGH,0,27,119,250,500000,5926278,5926278,-3710725,867332.8,,800,-550,坏棒 总长 1000 轻轻敲 铁头 800
23,17:30:58,hit_023_20260730_173058.csv,512,DEFECT,LOW,0,22,0,209,500000,4535754,4535754,-4458287,36090.9,,800,-591,坏棒 总长 1000 轻轻敲 铁头 800
