# note,坏棒 总长 1000 任意重度敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,
# time,2026-07-30 17:34:35
# points,512
# state,NORMAL
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,500000
# peak_abs,662693
index,raw24
0,-10905
1,-11056
2,-10879
3,-10741
4,-10716
5,-10699
6,-10729
7,-10488
8,-9935
9,-10422
10,-10556
11,-10803
12,-10242
13,-11032
14,-10847
15,-10334
16,-11004
17,-10515
18,-10458
19,-10608
20,-10983
21,-10462
22,-10660
23,-10579
24,-10322
25,-10745
26,-10279
27,-11150
28,-10701
29,-11059
30,-11026
31,-10945
32,-11335
33,-11014
34,-11108
35,-11939
36,-14122
37,-17928
38,-24734
39,-35955
40,-53390
41,-76352
42,-103158
43,-131170
44,-158218
45,-178950
46,-195544
47,-210241
48,-226095
49,-245883
50,-269853
51,-298380
52,-329632
53,-359856
54,-387004
55,-411796
56,-434642
57,-457573
58,-482253
59,-507162
60,-531892
61,-553923
62,-574432
63,-592418
64,-608585
65,-623199
66,-636643
67,-648245
68,-656886
69,-661702
70,-662693
71,-660364
72,-657260
73,-655211
74,-651475
75,-646516
76,-637141
77,-622599
78,-603083
79,-579169
80,-552131
81,-523615
82,-494607
83,-464547
84,-433362
85,-400157
86,-364580
87,-327448
88,-288088
89,-246485
90,-202575
91,-160158
92,-117506
93,-76244
94,-37435
95,826
96,39946
97,76901
98,111908
99,143006
100,164244
101,168448
102,154044
103,123089
104,83114
105,47848
106,25186
107,21927
108,32492
109,48880
110,64538
111,76458
112,82497
113,87759
114,93564
115,101985
116,113700
117,127438
118,139215
119,149110
120,157532
121,166080
122,176052
123,187382
124,197552
125,208847
126,219606
127,230475
128,241167
129,250498
130,258867
131,266219
132,271163
133,275738
134,277664
135,278990
136,280708
137,283242
138,285399
139,285644
140,283489
141,278759
142,271877
143,264284
144,257659
145,253316
146,250709
147,248078
148,246104
149,243106
150,238956
151,234919
152,230330
153,226966
154,223930
155,220527
156,216244
157,211938
158,206568
159,201463
160,196894
161,191654
162,186679
163,181120
164,175346
165,168796
166,161696
167,155476
168,148257
169,142231
170,136669
171,129613
172,123237
173,116310
174,109952
175,103242
176,96886
177,91026
178,85023
179,79204
180,73778
181,69081
182,64785
183,60257
184,57322
185,55723
186,54404
187,53725
188,54695
189,55472
190,58417
191,61394
192,66011
193,70850
194,76602
195,83864
196,90294
197,97691
198,105007
199,114170
200,122948
201,132189
202,141917
203,151212
204,160857
205,170846
206,180265
207,189611
208,199276
209,209515
210,218826
211,228967
212,239971
213,249710
214,258631
215,267512
216,274655
217,280590
218,284403
219,287537
220,289565
221,289306
222,288287
223,284619
224,280209
225,274062
226,266869
227,257948
228,248653
229,238327
230,227265
231,215206
232,202339
233,189427
234,176148
235,162334
236,148850
237,135576
238,122391
239,110400
240,98507
241,87975
242,78236
243,69875
244,62362
245,57914
246,53371
247,51213
248,50207
249,50488
250,51802
251,53564
252,56677
253,60374
254,64143
255,68119
256,72599
257,76734
258,80165
259,83715
260,86305
261,88774
262,90691
263,91800
264,92061
265,91730
266,91222
267,89275
268,87672
269,85278
270,81843
271,78169
272,74360
273,70438
274,65574
275,61286
276,57382
277,53031
278,49753
279,46691
280,44245
281,42056
282,40514
283,39565
284,38921
285,39036
286,38631
287,38546
288,38590
289,37393
290,36684
291,34736
292,32924
293,29287
294,25724
295,20073
296,14638
297,7740
298,51
299,-7389
300,-15884
301,-24394
302,-34447
303,-43338
304,-53029
305,-62263
306,-71519
307,-80038
308,-88108
309,-95978
310,-102862
311,-108609
312,-113764
313,-118278
314,-122000
315,-124113
316,-125226
317,-125922
318,-125019
319,-123308
320,-119885
321,-116262
322,-111672
323,-106058
324,-100533
325,-93649
326,-87093
327,-79195
328,-71161
329,-63536
330,-55473
331,-47898
332,-40948
333,-34359
334,-28139
335,-22223
336,-17461
337,-13706
338,-10513
339,-7871
340,-7062
341,-6382
342,-7341
343,-8532
344,-11123
345,-14081
346,-18504
347,-23445
348,-28659
349,-35031
350,-41395
351,-48678
352,-55664
353,-63761
354,-71305
355,-79064
356,-87407
357,-95404
358,-103352
359,-111132
360,-118582
361,-125712
362,-133192
363,-140032
364,-146727
365,-152869
366,-158370
367,-163655
368,-168035
369,-172254
370,-176425
371,-179852
372,-182446
373,-185680
374,-187433
375,-188234
376,-189475
377,-190420
378,-190325
379,-190349
380,-189542
381,-188439
382,-187312
383,-185633
384,-182962
385,-180388
386,-177902
387,-174824
388,-171491
389,-167638
390,-164138
391,-159669
392,-156002
393,-151407
394,-146580
395,-142042
396,-136705
397,-131960
398,-126312
399,-120481
400,-114626
401,-108620
402,-103351
403,-96778
404,-90742
405,-83675
406,-77297
407,-70320
408,-63199
409,-55775
410,-48665
411,-41171
412,-32598
413,-25298
414,-17790
415,-10596
416,-2843
417,4597
418,11901
419,19099
420,25905
421,32998
422,39778
423,46413
424,53111
425,58185
426,63962
427,69226
428,74785
429,79408
430,83855
431,87836
432,91746
433,95726
434,98907
435,101735
436,104626
437,106909
438,109664
439,111139
440,113253
441,115047
442,116241
443,117667
444,118469
445,119662
446,120328
447,121353
448,121770
449,122075
450,122884
451,122469
452,122198
453,121655
454,120912
455,119690
456,118003
457,116437
458,114854
459,112000
460,108355
461,104365
462,100217
463,95516
464,89961
465,84358
466,77979
467,70450
468,63321
469,54762
470,46411
471,37565
472,27777
473,18229
474,8011
475,-2430
476,-12926
477,-23572
478,-34249
479,-45229
480,-56064
481,-67577
482,-77960
483,-89023
484,-98972
485,-109288
486,-118571
487,-128348
488,-137284
489,-146044
490,-154586
491,-162839
492,-170419
493,-177574
494,-184152
495,-190554
496,-196283
497,-201643
498,-206794
499,-211001
500,-215407
501,-218677
502,-221786
503,-224687
504,-227140
505,-228608
506,-229204
507,-230640
508,-231172
509,-231431
510,-230675
511,-229951
