# note,坏棒 总长 1000 任意重度敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,
# time,2026-07-30 17:40:22
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,116
# distance_mm,0
# threshold,500000
# peak_abs,5198905
index,raw24
0,-14488
1,-14654
2,-14460
3,-14515
4,-14769
5,-14871
6,-15173
7,-15147
8,-15001
9,-14999
10,-14766
11,-15028
12,-14818
13,-14800
14,-14614
15,-14565
16,-13851
17,-14481
18,-14559
19,-14453
20,-14332
21,-14450
22,-14272
23,-14886
24,-14517
25,-14563
26,-14593
27,-14463
28,-14901
29,-13828
30,-14170
31,-14360
32,-14262
33,-14101
34,-14779
35,-14177
36,-14239
37,-14166
38,-13932
39,-14162
40,-14424
41,-14063
42,-14757
43,-14643
44,-13785
45,-14247
46,-14534
47,-14764
48,-14522
49,-14088
50,-13511
51,-13661
52,-14131
53,-13698
54,-13952
55,-14734
56,-15244
57,-15434
58,-17425
59,1802
60,9129
61,-189288
62,-420497
63,-634253
64,-841832
65,-1045049
66,-1244401
67,-1440714
68,-1633458
69,-1822738
70,-2008916
71,-2190966
72,-2370971
73,-2547754
74,-2727099
75,-2904654
76,-3085803
77,-3266834
78,-3396820
79,-3265677
80,-3037622
81,-2821027
82,-2602915
83,-2390213
84,-2178162
85,-1970048
86,-1763479
87,-1560616
88,-1358569
89,-1160323
90,-963166
91,-770152
92,-578754
93,-390564
94,-204980
95,-22083
96,157608
97,334437
98,507532
99,676678
100,843435
101,1004868
102,1165490
103,1314235
104,1457251
105,1607185
106,1755429
107,1902846
108,2048022
109,2190228
110,2328801
111,2439900
112,2517147
113,2586447
114,2652012
115,2716944
116,2799572
117,2900150
118,3014092
119,3126932
120,3224103
121,3307661
122,3385729
123,3458228
124,3542574
125,3634413
126,3723002
127,3811019
128,3894610
129,3969695
130,4037162
131,4096413
132,4152593
133,4206510
134,4253781
135,4293757
136,4324233
137,4338033
138,4339544
139,4327358
140,4296486
141,4238321
142,4145716
143,4009338
144,3826712
145,3586645
146,3321135
147,3055154
148,2788125
149,2523849
150,2263653
151,2006936
152,1757971
153,1522749
154,1349395
155,1277334
156,1298370
157,1411387
158,1568807
159,1721096
160,1873685
161,2021433
162,2168546
163,2311113
164,2453879
165,2590276
166,2730271
167,2812962
168,2750227
169,2536355
170,2269693
171,2010544
172,1756371
173,1509948
174,1268780
175,1033153
176,800963
177,573017
178,346955
179,123337
180,-98750
181,-317946
182,-538075
183,-755210
184,-973517
185,-1188295
186,-1398782
187,-1522307
188,-1471737
189,-1291093
190,-1093416
191,-899418
192,-707660
193,-518070
194,-330647
195,-145574
196,38259
197,218663
198,396564
199,572172
200,744758
201,913555
202,1079819
203,1243279
204,1403896
205,1561796
206,1716558
207,1869908
208,2020256
209,2167737
210,2313497
211,2456318
212,2597378
213,2736645
214,2873031
215,3006480
216,3138417
217,3268258
218,3395563
219,3520725
220,3643663
221,3765402
222,3883502
223,3999988
224,4113916
225,4225262
226,4334818
227,4438145
228,4478675
229,4437256
230,4334747
231,4180202
232,3987683
233,3767837
234,3534921
235,3298265
236,3067054
237,2851216
238,2655748
239,2483616
240,2337041
241,2216203
242,2120821
243,2047242
244,1993288
245,1954277
246,1925870
247,1902723
248,1882819
249,1859157
250,1829090
251,1788770
252,1736728
253,1671884
254,1594104
255,1503157
256,1402526
257,1294339
258,1182773
259,1072124
260,966481
261,869211
262,782969
263,711682
264,656155
265,616187
266,591567
267,581423
268,582592
269,592113
270,606921
271,622911
272,635539
273,640965
274,636047
275,616873
276,580398
277,524711
278,448375
279,351464
280,234901
281,100449
282,-49180
283,-211054
284,-378524
285,-547014
286,-710099
287,-861476
288,-996731
289,-1108297
290,-1190794
291,-1239513
292,-1251721
293,-1222065
294,-1149923
295,-1030895
296,-866217
297,-677607
298,-491109
299,-306313
300,-124563
301,55252
302,231909
303,406825
304,578415
305,747137
306,913701
307,1076318
308,1236706
309,1393827
310,1549113
311,1701740
312,1851836
313,1998834
314,2144622
315,2286960
316,2428105
317,2565705
318,2701704
319,2835966
320,2966820
321,3096961
322,3224111
323,3349710
324,3473205
325,3594869
326,3714582
327,3832721
328,3948869
329,4063619
330,4176603
331,4286733
332,4396169
333,4503169
334,4609323
335,4713088
336,4815849
337,4915629
338,5015557
339,5105601
340,5163906
341,5195291
342,5198905
343,5178102
344,5132102
345,5062900
346,4971298
347,4860579
348,4728825
349,4579424
350,4410865
351,4226199
352,4024723
353,3806416
354,3572695
355,3323051
356,3068157
357,2813063
358,2560111
359,2307543
360,2057253
361,1809442
362,1562717
363,1318390
364,1077365
365,838634
366,603083
367,371218
368,141956
369,-82533
370,-301755
371,-515582
372,-715887
373,-886416
374,-1024908
375,-1130118
376,-1203164
377,-1244842
378,-1257570
379,-1241536
380,-1201217
381,-1138166
382,-1058499
383,-965154
384,-862284
385,-753731
386,-644231
387,-536736
388,-435182
389,-342833
390,-261367
391,-192143
392,-137352
393,-95183
394,-67612
395,-51131
396,-46517
397,-50631
398,-60545
399,-74386
400,-88641
401,-100310
402,-108122
403,-106780
404,-95719
405,-71388
406,-33795
407,19297
408,89567
409,176156
410,279774
411,398468
412,533076
413,680466
414,840223
415,1001953
416,1161606
417,1317905
418,1471952
419,1623332
420,1772478
421,1919110
422,2063491
423,2204687
424,2344698
425,2482044
426,2617149
427,2750277
428,2880510
429,3009590
430,3135743
431,3261032
432,3376922
433,3479974
434,3572501
435,3653569
436,3722867
437,3781252
438,3829327
439,3866499
440,3893259
441,3909712
442,3917931
443,3916012
444,3905494
445,3886889
446,3861679
447,3828312
448,3788716
449,3742326
450,3690933
451,3634898
452,3573487
453,3509658
454,3440782
455,3370130
456,3296598
457,3220412
458,3142795
459,3062499
460,2980645
461,2896314
462,2808496
463,2716865
464,2621341
465,2520909
466,2414698
467,2301819
468,2183578
469,2058351
470,1926804
471,1789001
472,1645446
473,1496926
474,1344799
475,1188771
476,1031050
477,873284
478,715169
479,560690
480,410037
481,265003
482,127339
483,-453
484,-118941
485,-224422
486,-316851
487,-394620
488,-457940
489,-504572
490,-536358
491,-551685
492,-551961
493,-536782
494,-506613
495,-462743
496,-406382
497,-338125
498,-258363
499,-170180
500,-73023
501,30506
502,140630
503,254973
504,373310
505,493304
506,615068
507,736889
508,859415
509,979750
510,1098630
511,1214368
