# note,坏棒 总长 1000 任意重度敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,-572
# time,2026-07-30 17:35:26
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,24
# bottom_index,0
# distance_mm,228
# threshold,500000
# peak_abs,3214291
index,raw24
0,4364
1,4172
2,4179
3,3739
4,4466
5,4105
6,4241
7,3896
8,3656
9,3631
10,4239
11,3566
12,3774
13,3974
14,3877
15,3213
16,3684
17,3492
18,3315
19,3491
20,3554
21,3546
22,2938
23,3113
24,2489
25,2232
26,1800
27,2056
28,1656
29,1751
30,1007
31,743
32,127
33,-65
34,-905
35,-1297
36,-1825
37,-2752
38,-2920
39,-3464
40,-4423
41,-5031
42,-5910
43,-6269
44,-7149
45,-8572
46,-9747
47,-12737
48,-15368
49,-19390
50,-24012
51,-30385
52,-38645
53,-49472
54,-64370
55,-86426
56,-116568
57,-154193
58,-201031
59,-256302
60,-317687
61,-385464
62,-455793
63,-531009
64,-608856
65,-691334
66,-776922
67,-866387
68,-963089
69,-1067931
70,-1180385
71,-1301881
72,-1432746
73,-1571603
74,-1719139
75,-1872521
76,-2033397
77,-2197701
78,-2362592
79,-2523336
80,-2676012
81,-2814981
82,-2937246
83,-3040759
84,-3120316
85,-3177719
86,-3208171
87,-3214291
88,-3192787
89,-3145557
90,-3070781
91,-2969686
92,-2841804
93,-2691025
94,-2517128
95,-2324189
96,-2120289
97,-1918119
98,-1718220
99,-1520147
100,-1325177
101,-1132711
102,-942429
103,-754882
104,-568686
105,-385368
106,-205257
107,-39248
108,107797
109,238471
110,352690
111,451991
112,535824
113,605487
114,663461
115,712300
116,754389
117,790249
118,821584
119,848340
120,870940
121,889050
122,901925
123,910087
124,916232
125,918896
126,920400
127,921376
128,921167
129,920415
130,917846
131,913982
132,909191
133,902912
134,895329
135,886540
136,876528
137,865141
138,851755
139,836483
140,820533
141,802033
142,781559
143,759808
144,737291
145,712977
146,687634
147,661398
148,635013
149,606488
150,577957
151,547335
152,515908
153,481645
154,446530
155,409788
156,370826
157,330724
158,289612
159,247089
160,204546
161,161553
162,118806
163,76671
164,36070
165,-4407
166,-42158
167,-79225
168,-114799
169,-150009
170,-184671
171,-219688
172,-256085
173,-295102
174,-337626
175,-384321
176,-435970
177,-493469
178,-558232
179,-628796
180,-707488
181,-792289
182,-883576
183,-979037
184,-1077885
185,-1179137
186,-1279865
187,-1377965
188,-1471629
189,-1558377
190,-1636275
191,-1702931
192,-1756699
193,-1795565
194,-1817474
195,-1823212
196,-1809117
197,-1777121
198,-1724784
199,-1653149
200,-1561819
201,-1452021
202,-1324363
203,-1180394
204,-1020626
205,-847469
206,-664405
207,-478308
208,-294986
209,-113798
210,65048
211,241488
212,414451
213,585320
214,752800
215,918421
216,1080108
217,1239249
218,1395481
219,1548951
220,1699962
221,1848514
222,1994625
223,2137797
224,2279256
225,2417546
226,2553555
227,2674003
228,2780141
229,2872521
230,2949739
231,3012787
232,3060051
233,3094253
234,3113251
235,3119655
236,3112179
237,3092207
238,3060485
239,3018296
240,2965623
241,2904973
242,2836098
243,2761360
244,2681295
245,2597296
246,2509795
247,2420384
248,2330017
249,2238596
250,2148795
251,2058869
252,1970882
253,1884601
254,1801675
255,1720823
256,1641733
257,1565964
258,1492565
259,1421303
260,1353250
261,1286588
262,1222023
263,1159338
264,1098573
265,1039174
266,982144
267,925320
268,870127
269,816764
270,764289
271,713619
