# note,坏棒 总长 1000 任意重度敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,-442
# time,2026-07-30 17:47:21
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,38
# bottom_index,117
# distance_mm,358
# threshold,500000
# peak_abs,4290470
index,raw24
0,-2422
1,-2342
2,-2229
3,-2149
4,-2173
5,-1965
6,-2004
7,-2324
8,-2604
9,-2395
10,-2243
11,-2395
12,-1883
13,-2322
14,-2330
15,-2530
16,-2081
17,-2465
18,-2345
19,-2248
20,-2632
21,-1960
22,-2416
23,-2039
24,-2175
25,-2023
26,-2263
27,-2366
28,-2014
29,-2446
30,-2517
31,-2341
32,-2221
33,-2228
34,-2332
35,-2404
36,-2844
37,-2715
38,-3171
39,-3266
40,-3090
41,-2874
42,-3473
43,-3561
44,-4344
45,-4424
46,-5167
47,-5335
48,-6142
49,-5909
50,-6412
51,-6860
52,-8131
53,-9010
54,-10561
55,-13367
56,-17030
57,-22660
58,-34425
59,-54573
60,-100838
61,-205458
62,-392433
63,-619873
64,-844197
65,-1064750
66,-1278372
67,-1485192
68,-1687242
69,-1884413
70,-2077998
71,-2269001
72,-2457692
73,-2644952
74,-2830869
75,-3015523
76,-3198827
77,-3377941
78,-3549560
79,-3649831
80,-3613649
81,-3444000
82,-3219132
83,-3001627
84,-2784844
85,-2571696
86,-2360871
87,-2152622
88,-1947064
89,-1743418
90,-1542565
91,-1343113
92,-1147197
93,-954513
94,-764060
95,-576607
96,-390936
97,-208369
98,-29031
99,148756
100,321394
101,493339
102,638895
103,744065
104,828590
105,900873
106,973507
107,1042964
108,1112460
109,1180509
110,1246428
111,1307500
112,1358565
113,1397919
114,1425476
115,1443550
116,1462438
117,1487243
118,1519094
119,1556732
120,1596110
121,1630836
122,1660836
123,1684874
124,1707988
125,1733060
126,1760824
127,1790609
128,1820390
129,1848400
130,1872071
131,1892762
132,1910115
133,1924874
134,1939103
135,1951218
136,1958508
137,1959669
138,1952302
139,1936343
140,1909347
141,1870770
142,1816373
143,1743328
144,1646675
145,1526914
146,1382535
147,1215167
148,1030226
149,833780
150,634119
151,441281
152,263859
153,112963
154,-5267
155,-82386
156,-115544
157,-104426
158,-52437
159,36577
160,155469
161,297170
162,453318
163,612478
164,764587
165,895582
166,993321
167,1043479
168,1033920
169,955250
170,798925
171,576316
172,337749
173,97484
174,-139544
175,-371663
176,-599817
177,-824192
178,-1043860
179,-1260116
180,-1472778
181,-1681262
182,-1886809
183,-2089747
184,-2288892
185,-2483188
186,-2665181
187,-2795080
188,-2831283
189,-2779353
190,-2637110
191,-2432948
192,-2223787
193,-2017635
194,-1813581
195,-1612464
196,-1413299
197,-1216918
198,-1022922
199,-830205
200,-640439
201,-452729
202,-267570
203,-84849
204,95753
205,273141
206,448188
207,620061
208,788850
209,955153
210,1119269
211,1279420
212,1437472
213,1592352
214,1745374
215,1895345
216,2042937
217,2187872
218,2330509
219,2470360
220,2608067
221,2742509
222,2874542
223,3005271
224,3132176
225,3258834
226,3371556
227,3438136
228,3461084
229,3447358
230,3399705
231,3324466
232,3225500
233,3108882
234,2980255
235,2845019
236,2706840
237,2569205
238,2436060
239,2309170
240,2190512
241,2079061
242,1977159
243,1881686
244,1792616
245,1708933
246,1628197
247,1549670
248,1470665
249,1390413
250,1306715
251,1218548
252,1126607
253,1029238
254,926304
255,819071
256,708403
257,596924
258,484764
259,375944
260,272258
261,177225
262,91580
263,19000
264,-40522
265,-85765
266,-117291
267,-136204
268,-142716
269,-140946
270,-131729
271,-118737
272,-103450
273,-90054
274,-79435
275,-74881
276,-76104
277,-85766
278,-103004
279,-129455
280,-164416
281,-207019
282,-255866
283,-310547
284,-369213
285,-430088
286,-490891
287,-548807
288,-601828
289,-648547
290,-685436
291,-710424
292,-720409
293,-715545
294,-691882
295,-650270
296,-587974
297,-505846
298,-402089
299,-278887
300,-134181
301,27899
302,203040
303,376975
304,548129
305,716726
306,882230
307,1045115
308,1204819
309,1362976
310,1516809
311,1669408
312,1818588
313,1966422
314,2110806
315,2253613
316,2393618
317,2530853
318,2666568
319,2799915
320,2931677
321,3060295
322,3188002
323,3312948
324,3435896
325,3556789
326,3675698
327,3782330
328,3880020
329,3967858
330,4045334
331,4112864
332,4169426
333,4216333
334,4252402
335,4276755
336,4288721
337,4290470
338,4278954
339,4256855
340,4222288
341,4175796
342,4119303
343,4051368
344,3973105
345,3885004
346,3788994
347,3682963
348,3570818
349,3449758
350,3323729
351,3190443
352,3051590
353,2907345
354,2758046
355,2604461
356,2447128
357,2286317
358,2122134
359,1955547
360,1787476
361,1618370
362,1448700
363,1279771
364,1112367
365,948895
366,788147
367,633771
368,484942
369,344195
370,212689
371,92223
372,-16965
373,-113747
374,-196685
375,-267165
376,-323300
377,-365941
378,-394544
379,-411880
380,-416141
381,-410563
382,-395729
383,-373824
384,-344827
385,-312968
386,-277122
387,-240384
388,-203851
389,-168738
390,-136934
391,-108845
392,-84711
393,-66125
394,-52157
395,-43463
396,-39929
397,-40268
398,-44976
399,-52922
400,-63260
401,-75028
402,-87539
403,-99784
404,-110980
405,-120566
406,-128839
407,-134008
408,-135959
409,-134503
410,-131014
411,-124822
412,-116095
413,-104369
414,-92676
415,-78905
416,-65639
417,-52591
418,-41705
419,-32092
420,-24944
421,-20165
422,-18490
423,-20600
424,-25685
425,-34674
426,-46494
427,-61648
428,-80425
429,-100023
430,-122803
431,-147124
432,-172386
433,-198509
434,-225212
435,-250417
436,-276394
437,-300752
438,-323532
439,-345196
440,-363834
441,-381470
442,-397335
443,-411367
444,-423172
445,-433313
446,-441956
447,-448734
448,-454679
449,-459535
450,-462415
451,-465647
452,-467454
453,-468453
454,-469676
455,-469778
456,-470201
457,-471384
458,-472158
459,-474292
460,-477626
461,-481464
462,-486973
463,-495162
464,-504933
465,-517296
466,-532657
467,-550680
468,-571020
469,-595591
470,-622526
471,-653178
472,-685234
473,-720991
474,-758646
475,-797690
476,-837912
477,-878658
478,-919695
479,-958631
480,-996834
481,-1031872
482,-1063906
483,-1092376
484,-1116427
485,-1135290
486,-1148648
487,-1156084
488,-1157198
489,-1151345
490,-1138717
491,-1119898
492,-1093257
493,-1060043
494,-1019986
495,-973997
496,-922359
497,-864574
498,-802260
499,-735794
500,-664665
501,-591615
502,-515103
503,-436848
504,-358187
505,-279111
506,-199837
507,-122141
508,-45310
509,29552
510,101476
511,169920
