# note,坏棒 总长 1000 任意重度敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,
# time,2026-07-30 17:48:41
# points,512
# state,INVALID
# confidence,NONE
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,500000
# peak_abs,8299746
index,raw24
0,-35358
1,-35434
2,-35525
3,-35393
4,-35157
5,-35832
6,-35980
7,-36111
8,-35827
9,-35759
10,-35642
11,-35702
12,-35753
13,-34877
14,-35513
15,-35508
16,-35832
17,-35740
18,-35943
19,-35755
20,-35855
21,-35866
22,-36326
23,-36041
24,-35653
25,-36313
26,-36484
27,-36464
28,-36475
29,-37031
30,-36954
31,-36654
32,-36817
33,-36997
34,-36704
35,-36996
36,-36879
37,-36723
38,-36790
39,-37234
40,-37549
41,-37360
42,-37276
43,-37503
44,-37587
45,-37542
46,-37410
47,-37125
48,-36984
49,-37212
50,-36847
51,-37171
52,-37310
53,-38098
54,-38157
55,-39624
56,-42227
57,-46846
58,-50857
59,-60370
60,-110131
61,-252598
62,-476055
63,-700765
64,-909423
65,-1112072
66,-1312472
67,-1507360
68,-1701480
69,-1888800
70,-2076770
71,-2256692
72,-2436601
73,-2612751
74,-2782112
75,-2653717
76,-2424249
77,-2216361
78,-2001146
79,-1796014
80,-1588195
81,-1386457
82,-1185471
83,-988487
84,-793214
85,-600909
86,-410428
87,-223530
88,-37126
89,142398
90,326741
91,442389
92,245839
93,3585
94,-234816
95,-408075
96,-293641
97,-103285
98,76399
99,254982
100,422343
101,508811
102,571477
103,699647
104,865218
105,1028608
106,1189187
107,1347426
108,1492037
109,1586831
110,1663557
111,1760970
112,1900571
113,2045195
114,2190233
115,2309014
116,2379676
117,2450930
118,2562743
119,2698430
120,2830676
121,2962571
122,3090577
123,3217432
124,3341975
125,3464143
126,3584816
127,3703603
128,3821718
129,3936164
130,4051203
131,4146877
132,4210523
133,4265225
134,4322840
135,4390856
136,4460304
137,4520272
138,4566160
139,4597602
140,4608385
141,4595239
142,4553190
143,4476450
144,4347415
145,4147285
146,3882882
147,3606232
148,3330296
149,3059002
150,2792036
151,2528175
152,2268875
153,2016822
154,1836440
155,1824791
156,1955873
157,2107978
158,2254776
159,2400613
160,2541960
161,2683594
162,2820106
163,2957466
164,3089257
165,3221592
166,3348319
167,3447718
168,3312793
169,3034932
170,2769970
171,2509600
172,2260237
173,2014210
174,1775156
175,1538387
176,1305903
177,1075000
178,845460
179,615533
180,384938
181,152571
182,-80376
183,-284078
184,-340515
185,-232658
186,-51309
187,128361
188,306513
189,480588
190,651921
191,820170
192,986590
193,1150189
194,1311441
195,1469801
196,1626205
197,1779511
198,1931205
199,2080418
200,2227372
201,2371356
202,2514322
203,2654951
204,2792739
205,2929702
206,3063753
207,3196267
208,3327069
209,3455494
210,3582145
211,3707035
212,3829919
213,3951051
214,4071409
215,4189328
216,4305280
217,4418499
218,4531072
219,4639902
220,4748928
221,4852460
222,4957412
223,5054983
224,5154358
225,5118048
226,4863392
227,4567462
228,4278960
229,4000118
230,3725246
231,3458383
232,3194257
233,2935827
234,2679397
235,2425917
236,2174757
237,1924988
238,1677489
239,1430116
240,1184645
241,942173
242,739882
243,661215
244,714295
245,867959
246,1033301
247,1196103
248,1356037
249,1513392
250,1668207
251,1820195
252,1969949
253,2117077
254,2261362
255,2402518
256,2541665
257,2676987
258,2805132
259,2872965
260,2876855
261,2830439
262,2749150
263,2647222
264,2538931
265,2436021
266,2348732
267,2285549
268,2252422
269,2252915
270,2286440
271,2350521
272,2440858
273,2552904
274,2678992
275,2809649
276,2939738
277,3063404
278,3173734
279,3269378
280,3349683
281,3415186
282,3469113
283,3517522
284,3569620
285,3630785
286,3708429
287,3809057
288,3924760
289,4040328
290,4153371
291,4266208
292,4376055
293,4485497
294,4592430
295,4699253
296,4802847
297,4906301
298,5007622
299,5107811
300,5206099
301,5302840
302,5398568
303,5491261
304,5584559
305,5675437
306,5765057
307,5852865
308,5940606
309,6025345
310,6108866
311,6192264
312,6273924
313,6355198
314,6434454
315,6514213
316,6591570
317,6668557
318,6744431
319,6820024
320,6893543
321,6966734
322,7039091
323,7110600
324,7180924
325,7249119
326,7320042
327,7385725
328,7453207
329,7519129
330,7584019
331,7647462
332,7709928
333,7772659
334,7833342
335,7893762
336,7952206
337,8011716
338,8067874
339,8124137
340,8179705
341,8234818
342,8284581
343,8299746
344,8271589
345,8204227
346,8100130
347,7960453
348,7789937
349,7587178
350,7358548
351,7102682
352,6824623
353,6527781
354,6228745
355,5931176
356,5635436
357,5341924
358,5049656
359,4760704
360,4474835
361,4194104
362,3915808
363,3642954
364,3372646
365,3105770
366,2844143
367,2589227
368,2341839
369,2105402
370,1908768
371,1768383
372,1685624
373,1663882
374,1700711
375,1796471
376,1936460
377,2083815
378,2227937
379,2369969
380,2509248
381,2647397
382,2783170
383,2915974
384,3046738
385,3175823
386,3302747
387,3427192
388,3549365
389,3669132
390,3787612
391,3903686
392,4012041
393,4086263
394,4128837
395,4143477
396,4136083
397,4111962
398,4077652
399,4039338
400,4001997
401,3972548
402,3955800
403,3958029
404,3981481
405,4031203
406,4109895
407,4213218
408,4325351
409,4434263
410,4542570
411,4648303
412,4753528
413,4855652
414,4957547
415,5057574
416,5156580
417,5253607
418,5349430
419,5444065
420,5536304
421,5628772
422,5718029
423,5807555
424,5893998
425,5980343
426,6064221
427,6148120
428,6229130
429,6309001
430,6366879
431,6400630
432,6416169
433,6414257
434,6401002
435,6375749
436,6345395
437,6310108
438,6274218
439,6241380
440,6211618
441,6188388
442,6172984
443,6166183
444,6168190
445,6179349
446,6198755
447,6227646
448,6262302
449,6304761
450,6351488
451,6401840
452,6454667
453,6506463
454,6558069
455,6605308
456,6649694
457,6685634
458,6715386
459,6734878
460,6744000
461,6739513
462,6721906
463,6688773
464,6637573
465,6569723
466,6481617
467,6377121
468,6251119
469,6106964
470,5943610
471,5764397
472,5569397
473,5361029
474,5142471
475,4914371
476,4682259
477,4447152
478,4214073
479,3984094
480,3762384
481,3549885
482,3351347
483,3166546
484,2999960
485,2852817
486,2725037
487,2619816
488,2535553
489,2474427
490,2434461
491,2416172
492,2418117
493,2439598
494,2478196
495,2532845
496,2602960
497,2683482
498,2777051
499,2877872
500,2987937
501,3103180
502,3223641
503,3345575
504,3467023
505,3588608
506,3706306
507,3823797
508,3938402
509,4052282
510,4163395
511,4273519
