# note,坏棒 总长 1000 任意重度敲 铁头 800
# rod_len_mm,
# defect_true_mm,800
# err_mm,5
# time,2026-07-30 17:39:01
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,91
# bottom_index,114
# distance_mm,805
# threshold,500000
# peak_abs,5165745
index,raw24
0,-9530
1,-9561
2,-9223
3,-9454
4,-9485
5,-9364
6,-9627
7,-9706
8,-9936
9,-9743
10,-9686
11,-9485
12,-9628
13,-9898
14,-9905
15,-9536
16,-9623
17,-10238
18,-9948
19,-10179
20,-10186
21,-10129
22,-10439
23,-9990
24,-10269
25,-10100
26,-9970
27,-10313
28,-9696
29,-10223
30,-9845
31,-9988
32,-10243
33,-10114
34,-10616
35,-10823
36,-11254
37,-10964
38,-10859
39,-11154
40,-11560
41,-11799
42,-11613
43,-11660
44,-12026
45,-11729
46,-12456
47,-12614
48,-13076
49,-13011
50,-13489
51,-13496
52,-14374
53,-15508
54,-17618
55,-20168
56,-22670
57,-27203
58,-32055
59,-47716
60,-104982
61,-250473
62,-471802
63,-699793
64,-922339
65,-1133579
66,-1336704
67,-1532021
68,-1722962
69,-1911208
70,-2094030
71,-2277463
72,-2450841
73,-2632998
74,-2801116
75,-2996750
76,-2964608
77,-2729342
78,-2522225
79,-2302301
80,-2095268
81,-1884316
82,-1680078
83,-1475953
84,-1277101
85,-1079569
86,-885621
87,-693233
88,-504565
89,-320183
90,-138768
91,39481
92,215308
93,388514
94,558730
95,725966
96,890750
97,1048169
98,1166713
99,1266530
100,1365608
101,1480849
102,1611724
103,1739336
104,1846347
105,1933746
106,2001238
107,2065817
108,2130501
109,2192817
110,2250133
111,2294411
112,2319155
113,2328768
114,2330395
115,2336151
116,2358842
117,2400410
118,2453853
119,2512881
120,2568334
121,2624789
122,2683284
123,2748085
124,2819413
125,2892885
126,2960484
127,3018586
128,3062178
129,3092284
130,3112811
131,3126039
132,3134169
133,3137482
134,3132667
135,3119837
136,3100440
137,3074862
138,3046206
139,3013474
140,2973699
141,2919840
142,2842451
143,2735216
144,2590618
145,2404934
146,2176208
147,1929111
148,1681355
149,1433030
150,1186519
151,944062
152,708299
153,494884
154,371128
155,369211
156,495694
157,670385
158,837623
159,1004945
160,1167502
161,1329232
162,1486157
163,1641752
164,1792000
165,1943397
166,2061752
167,2012436
168,1789302
169,1530924
170,1280169
171,1035597
172,797022
173,564917
174,335504
175,110631
176,-111415
177,-332153
178,-551632
179,-770253
180,-988159
181,-1206350
182,-1374043
183,-1341323
184,-1157096
185,-962442
186,-769117
187,-579111
188,-390608
189,-204993
190,-21272
191,159083
192,336792
193,511622
194,683296
195,851277
196,1017061
197,1179672
198,1339040
199,1496021
200,1650446
201,1802773
202,1952913
203,2100266
204,2244906
205,2387776
206,2528268
207,2667160
208,2802810
209,2936868
210,3067997
211,3197463
212,3325097
213,3449907
214,3572614
215,3694273
216,3812606
217,3928965
218,4043709
219,4155624
220,4266300
221,4373172
222,4444638
223,4465183
224,4448174
225,4394415
226,4312295
227,4204704
228,4076207
229,3931845
230,3775261
231,3613065
232,3449640
233,3292050
234,3146769
235,3017816
236,2911984
237,2830789
238,2776083
239,2745488
240,2736409
241,2741483
242,2756012
243,2770932
244,2779793
245,2773726
246,2748756
247,2698636
248,2622627
249,2519602
250,2392455
251,2244203
252,2080745
253,1908723
254,1734394
255,1566254
256,1411263
257,1274915
258,1163199
259,1080129
260,1028341
261,1009679
262,1022396
263,1064935
264,1133789
265,1224803
266,1330477
267,1447019
268,1565098
269,1677803
270,1780206
271,1864629
272,1924770
273,1956823
274,1957424
275,1925393
276,1859958
277,1763723
278,1638443
279,1490363
280,1323277
281,1144860
282,962648
283,783242
284,613627
285,461888
286,332136
287,230831
288,162291
289,128671
290,133455
291,176903
292,258793
293,378522
294,532715
295,701562
296,867157
297,1031187
298,1191445
299,1349252
300,1504591
301,1657863
302,1808261
303,1955656
304,2101337
305,2244089
306,2384719
307,2523556
308,2659872
309,2793955
310,2925790
311,3055153
312,3183188
313,3309271
314,3432459
315,3554400
316,3674606
317,3792870
318,3908791
319,4023649
320,4136102
321,4247357
322,4356239
323,4463619
324,4569762
325,4673860
326,4776762
327,4874579
328,4959096
329,5028778
330,5084876
331,5126280
332,5153718
333,5165745
334,5163002
335,5144428
336,5110480
337,5062200
338,4998222
339,4921780
340,4830531
341,4728981
342,4614628
343,4491921
344,4360196
345,4222416
346,4078285
347,3930603
348,3779515
349,3625662
350,3470203
351,3313299
352,3155823
353,2996182
354,2836312
355,2673646
356,2509847
357,2343373
358,2175207
359,2003917
360,1831377
361,1657601
362,1483775
363,1312426
364,1144657
365,983678
366,830566
367,689544
368,562372
369,452983
370,360640
371,289692
372,240017
373,213139
374,208025
375,224576
376,261244
377,315173
378,383614
379,464407
380,553511
381,647747
382,742476
383,835225
384,922851
385,1001443
386,1070120
387,1125678
388,1168508
389,1196086
390,1210668
391,1211616
392,1201580
393,1181089
394,1153193
395,1120092
396,1083931
397,1048095
398,1014503
399,985563
400,962595
401,947869
402,941434
403,943879
404,956043
405,976751
406,1007008
407,1044461
408,1088365
409,1138520
410,1193117
411,1251028
412,1310611
413,1370691
414,1431627
415,1490189
416,1548039
417,1601618
418,1652038
419,1698749
420,1740349
421,1778505
422,1810856
423,1839075
424,1862634
425,1881799
426,1896817
427,1908481
428,1916376
429,1921902
430,1924972
431,1925873
432,1925718
433,1923515
434,1921136
435,1916101
436,1910835
437,1904074
438,1895610
439,1885186
440,1872700
441,1857103
442,1839685
443,1818380
444,1793558
445,1766139
446,1734772
447,1699968
448,1662880
449,1622813
450,1580799
451,1536758
452,1492011
453,1447268
454,1401236
455,1356121
456,1310931
457,1265659
458,1221881
459,1176739
460,1132572
461,1086793
462,1039445
463,990278
464,939037
465,883842
466,824758
467,762106
468,694253
469,624000
470,549076
471,471017
472,390559
473,308456
474,225730
475,143934
476,65133
477,-10483
478,-80298
479,-142808
480,-198223
481,-244254
482,-280913
483,-305294
484,-319569
485,-320890
486,-311283
487,-290909
488,-258713
489,-216178
490,-164071
491,-103171
492,-33871
493,41630
494,123904
495,210529
496,301472
497,394315
498,489179
499,583943
500,679504
501,772861
502,865238
503,954557
504,1041072
505,1123689
506,1202432
507,1276509
508,1346201
509,1411733
510,1471808
511,1528173
