# note,坏棒 总长1000mm 塑料头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,37
# time,2026-07-30 17:53:07
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,24
# bottom_index,112
# distance_mm,237
# threshold,500000
# peak_abs,5182830
index,raw24
0,-3757
1,-4237
2,-4316
3,-4372
4,-4539
5,-3931
6,-4554
7,-4130
8,-4473
9,-4360
10,-4512
11,-4207
12,-3863
13,-4238
14,-3870
15,-4205
16,-4181
17,-4020
18,-4220
19,-3571
20,-3499
21,-3762
22,-4194
23,-3417
24,-4121
25,-3976
26,-3896
27,-3535
28,-3735
29,-3974
30,-3678
31,-4285
32,-5117
33,-5652
34,-6068
35,-6443
36,-5994
37,-6177
38,-6864
39,-8168
40,-8687
41,-9990
42,-9708
43,-9107
44,-8626
45,-8665
46,-8880
47,-9903
48,-11158
49,-12588
50,-13547
51,-15169
52,-17751
53,-20253
54,-26354
55,-33519
56,-44275
57,-60174
58,-81318
59,-112548
60,-166639
61,-258378
62,-425243
63,-653175
64,-888383
65,-1118955
66,-1342866
67,-1561310
68,-1770911
69,-1976359
70,-2175830
71,-2374084
72,-2569595
73,-2766153
74,-2959511
75,-3152574
76,-3342429
77,-3529725
78,-3713374
79,-3893737
80,-4072134
81,-4246908
82,-4420574
83,-4590930
84,-4758266
85,-4918197
86,-5049205
87,-5067012
88,-4913098
89,-4669778
90,-4434840
91,-4200051
92,-3970106
93,-3742653
94,-3518124
95,-3297311
96,-3079148
97,-2863764
98,-2650719
99,-2440043
100,-2232249
101,-2027857
102,-1825753
103,-1626466
104,-1430284
105,-1236213
106,-1045070
107,-855135
108,-668582
109,-483749
110,-301466
111,-120461
112,57594
113,233763
114,406310
115,577165
116,745238
117,909459
118,1072260
119,1230297
120,1386683
121,1539370
122,1690166
123,1819183
124,1922529
125,2008583
126,2079361
127,2130916
128,2165128
129,2197063
130,2238435
131,2302178
132,2387457
133,2485053
134,2573862
135,2638772
136,2660538
137,2636469
138,2564043
139,2448506
140,2297367
141,2119951
142,1919636
143,1708561
144,1489481
145,1274163
146,1069079
147,880989
148,715241
149,578778
150,472331
151,400554
152,360641
153,348085
154,356914
155,378343
156,404648
157,430399
158,452778
159,467499
160,472026
161,461432
162,428120
163,363612
164,258807
165,106536
166,-100749
167,-334433
168,-571584
169,-806354
170,-1037992
171,-1263089
172,-1483607
173,-1699602
174,-1909482
175,-2115697
176,-2315703
177,-2513244
178,-2706961
179,-2897543
180,-3084933
181,-3271021
182,-3454285
183,-3636288
184,-3815108
185,-3993410
186,-4169843
187,-4343454
188,-4516507
189,-4683508
190,-4842632
191,-4955273
192,-4980124
193,-4913076
194,-4749364
195,-4517233
196,-4282953
197,-4051742
198,-3823368
199,-3598133
200,-3375758
201,-3155754
202,-2937912
203,-2724114
204,-2511637
205,-2302659
206,-2095130
207,-1891746
208,-1689699
209,-1490989
210,-1293870
211,-1100081
212,-908650
213,-719123
214,-532235
215,-347074
216,-164664
217,15556
218,193098
219,367931
220,540550
221,709660
222,876165
223,1040994
224,1202011
225,1360184
226,1516098
227,1668825
228,1818581
229,1966583
230,2112135
231,2254461
232,2395410
233,2532126
234,2668481
235,2801379
236,2932349
237,3061727
238,3188473
239,3311820
240,3410592
241,3482511
242,3528278
243,3548623
244,3543286
245,3513278
246,3459297
247,3383171
248,3285206
249,3171149
250,3041305
251,2901582
252,2754516
253,2604572
254,2456070
255,2311082
256,2174304
257,2048486
258,1937612
259,1841984
260,1765031
261,1707743
262,1670559
263,1653307
264,1655881
265,1677399
266,1716498
267,1770753
268,1837888
269,1915408
270,1999638
271,2088298
272,2176291
273,2259929
274,2335198
275,2395793
276,2438900
277,2458666
278,2451046
279,2411443
280,2337445
281,2223927
282,2071824
283,1877283
284,1643558
285,1393005
286,1141539
287,888032
288,634963
289,385318
290,137919
291,-106346
292,-347741
293,-585235
294,-819915
295,-1049447
296,-1275903
297,-1498435
298,-1717196
299,-1928787
300,-2133095
301,-2326579
302,-2485511
303,-2585392
304,-2624708
305,-2598755
306,-2509142
307,-2353852
308,-2150397
309,-1945326
310,-1742049
311,-1542308
312,-1344248
313,-1148860
314,-955479
315,-764195
316,-575093
317,-388399
318,-204568
319,-21927
320,157380
321,333457
322,507952
323,678794
324,847887
325,1013512
326,1175508
327,1335788
328,1492897
329,1648251
330,1799682
331,1949542
332,2095768
333,2239872
334,2382039
335,2521732
336,2658704
337,2792916
338,2926375
339,3055945
340,3185452
341,3311136
342,3435347
343,3556400
344,3676870
345,3793957
346,3911198
347,4016120
348,4089446
349,4136899
350,4158650
351,4157926
352,4133899
353,4089994
354,4024551
355,3940899
356,3839842
357,3722302
358,3589007
359,3442785
360,3283653
361,3115084
362,2938696
363,2755753
364,2570712
365,2382543
366,2196356
367,2013592
368,1837650
369,1668922
370,1511622
371,1365917
372,1233814
373,1117744
374,1017943
375,936051
376,871433
377,825918
378,797410
379,787992
380,795120
381,818223
382,856419
383,907010
384,969372
385,1040725
386,1118982
387,1202622
388,1288427
389,1375238
390,1459390
391,1540636
392,1614735
393,1680722
394,1737005
395,1782273
396,1814719
397,1833458
398,1836946
399,1826906
400,1800411
401,1758807
402,1703328
403,1633344
404,1551601
405,1458492
406,1355666
407,1245252
408,1129876
409,1010802
410,890767
411,772690
412,660772
413,553323
414,457343
415,372751
416,301850
417,247101
418,210719
419,193429
420,196766
421,221453
422,268546
423,338314
424,429872
425,544516
426,680057
427,835206
428,998552
429,1159734
430,1319105
431,1474576
432,1628396
433,1779885
434,1927852
435,2074176
436,2218187
437,2359756
438,2498820
439,2636555
440,2771097
441,2904095
442,3034845
443,3163818
444,3290112
445,3415190
446,3538373
447,3658581
448,3778535
449,3895441
450,4011014
451,4124988
452,4236965
453,4346751
454,4454917
455,4562061
456,4666152
457,4770006
458,4870752
459,4971734
460,5058199
461,5121261
462,5162372
463,5182830
464,5181733
465,5160085
466,5117719
467,5054470
468,4971029
469,4867614
470,4746916
471,4608424
472,4453158
473,4281758
474,4099052
475,3902103
476,3696011
477,3481336
478,3260295
479,3033369
480,2803470
481,2573976
482,2343534
483,2117352
484,1895277
485,1680062
486,1471625
487,1273453
488,1086706
489,911933
490,749750
491,603234
492,470977
493,355639
494,255388
495,172412
496,105863
497,55778
498,21260
499,1953
500,-2807
501,4737
502,25064
503,55957
504,96591
505,144067
506,198705
507,257881
508,320673
509,384578
510,450139
511,514660
