# note,坏棒 总长1000mm 塑料头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,
# time,2026-07-30 17:53:17
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,112
# distance_mm,0
# threshold,500000
# peak_abs,5653483
index,raw24
0,-73430
1,-74101
2,-75020
3,-75475
4,-76098
5,-76624
6,-77247
7,-77821
8,-78380
9,-79122
10,-79177
11,-80063
12,-80573
13,-81251
14,-81865
15,-81591
16,-82085
17,-82619
18,-83057
19,-83103
20,-83533
21,-83787
22,-84345
23,-84070
24,-84172
25,-84218
26,-84535
27,-85013
28,-84363
29,-84368
30,-84302
31,-83908
32,-84217
33,-83151
34,-82973
35,-82971
36,-82561
37,-82463
38,-82133
39,-81691
40,-81385
41,-80063
42,-79901
43,-79035
44,-78385
45,-77520
46,-77046
47,-76245
48,-75524
49,-74618
50,-73193
51,-71952
52,-70487
53,-70535
54,-69214
55,-69774
56,-68333
57,-69917
58,-69428
59,-70316
60,-71219
61,-211970
62,-459201
63,-687737
64,-911461
65,-1122637
66,-1330980
67,-1535362
68,-1736430
69,-1933242
70,-2126918
71,-2317563
72,-2504944
73,-2690694
74,-2878221
75,-3067462
76,-3256952
77,-3445226
78,-3621229
79,-3711179
80,-3669078
81,-3474398
82,-3249070
83,-3029770
84,-2812232
85,-2597337
86,-2385011
87,-2174208
88,-1967503
89,-1760919
90,-1557984
91,-1357434
92,-1158756
93,-963126
94,-770297
95,-580355
96,-392700
97,-208756
98,-28266
99,148929
100,322983
101,494199
102,663243
103,830146
104,994045
105,1155219
106,1313158
107,1468478
108,1621571
109,1772989
110,1921948
111,2069698
112,2213757
113,2355935
114,2494831
115,2631663
116,2764925
117,2895940
118,3025114
119,3153113
120,3279512
121,3404400
122,3527568
123,3647466
124,3766700
125,3882601
126,3997615
127,4109647
128,4220969
129,4288006
130,4294114
131,4249510
132,4159375
133,4034779
134,3887175
135,3727652
136,3563253
137,3403490
138,3247379
139,3099974
140,2958716
141,2827971
142,2706290
143,2596615
144,2501818
145,2426065
146,2369585
147,2331159
148,2305011
149,2281169
150,2255867
151,2228992
152,2205415
153,2189746
154,2190759
155,2210307
156,2247046
157,2293419
158,2340443
159,2380446
160,2407787
161,2416709
162,2402414
163,2354233
164,2258017
165,2091678
166,1850342
167,1586997
168,1327891
169,1072177
170,824974
171,583489
172,348402
173,117135
174,-108007
175,-331426
176,-550321
177,-766014
178,-977929
179,-1186881
180,-1393056
181,-1596206
182,-1798835
183,-2000464
184,-2203772
185,-2405991
186,-2609617
187,-2749866
188,-2686579
189,-2481179
190,-2270868
191,-2061303
192,-1855443
193,-1651328
194,-1450607
195,-1250302
196,-1053661
197,-858780
198,-666188
199,-475490
200,-288408
201,-103077
202,79784
203,259662
204,436854
205,609737
206,781574
207,949191
208,1114323
209,1275619
210,1435335
211,1590832
212,1744998
213,1895665
214,2044121
215,2190232
216,2333980
217,2474960
218,2614145
219,2751202
220,2885938
221,3018786
222,3148170
223,3276585
224,3402089
225,3526522
226,3648155
227,3767302
228,3886034
229,4001440
230,4115607
231,4227105
232,4337613
233,4446035
234,4553877
235,4658961
236,4762608
237,4864803
238,4965329
239,5064467
240,5160808
241,5257962
242,5339761
243,5386069
244,5398819
245,5379080
246,5327336
247,5246461
248,5138965
249,5008801
250,4859494
251,4694109
252,4517504
253,4331608
254,4142151
255,3951518
256,3764291
257,3583256
258,3414050
259,3260274
260,3127796
261,3021110
262,2945701
263,2904989
264,2902059
265,2939689
266,3016986
267,3132649
268,3263019
269,3390069
270,3516079
271,3639954
272,3761989
273,3880866
274,4000032
275,4113864
276,4229362
277,4323245
278,4356998
279,4326466
280,4225810
281,4053014
282,3806007
283,3525374
284,3242592
285,2961228
286,2685195
287,2413419
288,2146588
289,1883078
290,1622928
291,1367050
292,1113139
293,862411
294,614146
295,368007
296,124506
297,-117893
298,-353991
299,-577387
300,-752853
301,-841001
302,-844970
303,-762347
304,-601046
305,-412101
306,-228298
307,-45279
308,133191
309,310935
310,484433
311,657086
312,826061
313,991753
314,1155639
315,1315450
316,1473994
317,1628406
318,1781583
319,1931942
320,2079602
321,2224684
322,2367540
323,2508835
324,2647473
325,2784182
326,2917410
327,3050166
328,3179105
329,3308405
330,3433537
331,3557566
332,3678796
333,3799547
334,3917219
335,4033429
336,4147704
337,4260382
338,4371222
339,4480176
340,4587758
341,4692301
342,4797673
343,4899471
344,5000465
345,5099998
346,5197928
347,5294117
348,5388135
349,5481637
350,5563160
351,5610841
352,5627884
353,5616421
354,5575216
355,5506807
356,5411279
357,5289650
358,5143924
359,4975552
360,4786969
361,4578881
362,4355650
363,4118294
364,3872239
365,3619487
366,3364957
367,3110554
368,2863998
369,2625777
370,2403352
371,2199211
372,2018558
373,1864840
374,1742156
375,1653271
376,1600366
377,1584994
378,1607297
379,1666925
380,1761457
381,1888322
382,2034355
383,2179595
384,2322073
385,2462510
386,2601105
387,2736867
388,2870469
389,3001727
390,3131120
391,3258050
392,3383677
393,3491087
394,3559645
395,3593339
396,3588948
397,3550038
398,3474829
399,3366012
400,3227138
401,3061712
402,2872570
403,2665195
404,2444894
405,2215139
406,1981733
407,1749003
408,1522933
409,1307612
410,1106852
411,925085
412,765380
413,631774
414,524585
415,447737
416,402195
417,389137
418,409690
419,463144
420,550551
421,670460
422,822090
423,985246
424,1145582
425,1304058
426,1460019
427,1613120
428,1763395
429,1911788
430,2058179
431,2201855
432,2343195
433,2482405
434,2619030
435,2754694
436,2887142
437,3018485
438,3146805
439,3274485
440,3399597
441,3523030
442,3644304
443,3763107
444,3881032
445,3996798
446,4111342
447,4223312
448,4334484
449,4443179
450,4550813
451,4656449
452,4760609
453,4862828
454,4964226
455,5063748
456,5161018
457,5257324
458,5351482
459,5444789
460,5535836
461,5606176
462,5643236
463,5653483
464,5634657
465,5587993
466,5514663
467,5413798
468,5287513
469,5135916
470,4962097
471,4766491
472,4552077
473,4320121
474,4074298
475,3816384
476,3551519
477,3284725
478,3020148
479,2758883
480,2501515
481,2247665
482,1999687
483,1763427
484,1542571
485,1341887
486,1162371
487,1006685
488,876211
489,771336
490,692785
491,640517
492,615159
493,614563
494,637712
495,683083
496,747559
497,830300
498,926926
499,1035917
500,1153063
501,1277690
502,1405118
503,1533715
504,1660943
505,1785437
506,1904331
507,2016322
508,2120300
509,2215545
510,2300963
511,2375114
