# note,坏棒 总长1000mm 塑料头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,-6
# time,2026-07-30 17:54:48
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,22
# bottom_index,124
# distance_mm,194
# threshold,500000
# peak_abs,5773345
index,raw24
0,-6965
1,-7020
2,-6691
3,-6683
4,-6922
5,-6537
6,-6736
7,-6503
8,-6486
9,-6494
10,-7005
11,-6508
12,-6931
13,-6826
14,-7185
15,-6784
16,-6952
17,-7111
18,-6526
19,-6629
20,-6588
21,-6763
22,-6603
23,-6282
24,-6393
25,-6664
26,-6111
27,-6335
28,-6478
29,-6389
30,-6092
31,-6411
32,-6051
33,-6138
34,-5569
35,-6032
36,-6264
37,-5583
38,-5678
39,-5742
40,-5693
41,-5396
42,-5787
43,-5299
44,-5762
45,-5705
46,-5625
47,-5696
48,-5159
49,-4695
50,-4678
51,-4701
52,-3693
53,-3228
54,16588
55,79394
56,176552
57,286291
58,339784
59,266190
60,50854
61,-197976
62,-438824
63,-674643
64,-903888
65,-1129346
66,-1351040
67,-1570659
68,-1787483
69,-1999705
70,-2208189
71,-2411511
72,-2611921
73,-2808266
74,-3002203
75,-3192541
76,-3380999
77,-3565426
78,-3748407
79,-3927622
80,-4106398
81,-4281249
82,-4441462
83,-4547376
84,-4589053
85,-4585221
86,-4531389
87,-4420996
88,-4228272
89,-3998540
90,-3771820
91,-3547567
92,-3327030
93,-3108448
94,-2893533
95,-2681227
96,-2471204
97,-2264182
98,-2059706
99,-1857623
100,-1658876
101,-1461753
102,-1267775
103,-1074540
104,-884281
105,-695517
106,-507952
107,-324290
108,-141354
109,38191
110,215930
111,390048
112,562416
113,730940
114,896170
115,1058757
116,1218028
117,1375175
118,1528999
119,1680908
120,1830431
121,1976808
122,2121622
123,2263907
124,2403863
125,2539706
126,2674484
127,2782413
128,2850217
129,2894597
130,2903876
131,2867914
132,2775483
133,2631705
134,2453943
135,2268516
136,2094943
137,1945535
138,1817714
139,1700428
140,1581964
141,1450427
142,1304146
143,1148731
144,993214
145,847413
146,716294
147,598494
148,493269
149,396257
150,304561
151,215587
152,129569
153,44249
154,-37604
155,-115360
156,-191513
157,-270618
158,-362529
159,-480997
160,-643698
161,-853387
162,-1078395
163,-1304640
164,-1526848
165,-1744942
166,-1957609
167,-2165226
168,-2368058
169,-2565992
170,-2759799
171,-2949630
172,-3135542
173,-3318183
174,-3498458
175,-3676391
176,-3851207
177,-4025088
178,-4197093
179,-4366269
180,-4535376
181,-4702046
182,-4867816
183,-5030294
184,-5192232
185,-5350006
186,-5501625
187,-5630409
188,-5690954
189,-5667691
190,-5562055
191,-5370776
192,-5127281
193,-4887031
194,-4648114
195,-4414595
196,-4181792
197,-3953690
198,-3726255
199,-3504136
200,-3284052
201,-3065683
202,-2852021
203,-2639401
204,-2430343
205,-2223118
206,-2019271
207,-1816496
208,-1617066
209,-1419597
210,-1224176
211,-1032098
212,-840836
213,-652670
214,-466238
215,-282693
216,-100258
217,78978
218,256112
219,429833
220,601660
221,769963
222,935365
223,1098459
224,1258717
225,1415443
226,1570126
227,1721967
228,1871372
229,2018536
230,2162441
231,2305009
232,2444488
233,2582598
234,2717122
235,2850599
236,2979771
237,3108591
238,3233763
239,3357345
240,3443927
241,3485930
242,3492089
243,3465487
244,3413232
245,3340855
246,3254303
247,3156634
248,3055568
249,2953227
250,2852811
251,2758207
252,2671766
253,2596120
254,2533203
255,2484718
256,2451590
257,2437803
258,2441113
259,2464983
260,2507051
261,2566640
262,2641455
263,2729269
264,2826256
265,2925902
266,3024561
267,3111648
268,3184108
269,3233776
270,3253701
271,3236784
272,3178516
273,3075600
274,2923969
275,2722620
276,2475376
277,2212929
278,1949363
279,1684573
280,1422680
281,1164642
282,910076
283,658645
284,408796
285,163186
286,-80514
287,-320432
288,-557265
289,-790717
290,-1020548
291,-1246543
292,-1470175
293,-1688004
294,-1903878
295,-2115597
296,-2318955
297,-2515048
298,-2693285
299,-2822556
300,-2887699
301,-2893827
302,-2835322
303,-2716360
304,-2534228
305,-2325015
306,-2118051
307,-1913304
308,-1711151
309,-1511678
310,-1314269
311,-1118989
312,-926380
313,-735235
314,-546985
315,-360182
316,-176650
317,5155
318,184402
319,361132
320,534848
321,705943
322,873464
323,1039022
324,1201135
325,1361172
326,1518958
327,1672869
328,1824400
329,1974322
330,2121177
331,2264590
332,2406737
333,2545747
334,2683157
335,2817805
336,2950125
337,3080797
338,3208733
339,3334757
340,3458510
341,3581400
342,3700987
343,3818775
344,3934381
345,4047908
346,4158502
347,4241691
348,4290189
349,4310801
350,4303651
351,4271701
352,4216892
353,4140097
354,4046048
355,3934458
356,3809474
357,3672393
358,3526736
359,3373090
360,3215134
361,3054829
362,2893673
363,2735495
364,2581137
365,2432990
366,2292629
367,2163053
368,2044653
369,1940300
370,1849623
371,1774173
372,1714252
373,1670635
374,1642775
375,1629479
376,1630696
377,1644777
378,1669456
379,1703652
380,1746004
381,1792935
382,1842012
383,1892819
384,1942676
385,1988719
386,2029852
387,2064316
388,2091120
389,2108801
390,2116848
391,2114581
392,2101539
393,2078155
394,2043685
395,2000003
396,1945951
397,1882994
398,1812444
399,1734095
400,1649827
401,1560905
402,1468027
403,1373512
404,1277176
405,1181388
406,1088188
407,997983
408,912197
409,832486
410,760568
411,697771
412,644878
413,603975
414,576326
415,562783
416,564491
417,583366
418,619534
419,674195
420,747888
421,841045
422,954254
423,1086690
424,1236573
425,1393950
426,1548308
427,1701631
428,1850967
429,1998629
430,2143745
431,2287148
432,2427980
433,2566132
434,2702115
435,2836593
436,2968895
437,3098828
438,3227314
439,3353728
440,3477703
441,3599542
442,3720327
443,3838856
444,3956036
445,4070961
446,4184400
447,4295625
448,4405477
449,4513907
450,4619628
451,4725008
452,4827431
453,4929154
454,5029200
455,5127418
456,5224576
457,5319626
458,5413905
459,5505604
460,5596836
461,5676633
462,5731532
463,5763488
464,5773345
465,5758880
466,5723793
467,5666342
468,5588410
469,5489392
470,5371962
471,5237346
472,5085779
473,4920070
474,4740270
475,4550939
476,4351591
477,4146060
478,3934530
479,3721050
480,3505947
481,3291943
482,3080814
483,2873486
484,2673719
485,2479080
486,2295026
487,2119378
488,1955351
489,1801568
490,1660172
491,1530585
492,1413631
493,1309122
494,1216866
495,1136390
496,1067307
497,1009233
498,961877
499,924640
500,895543
501,875282
502,862271
503,856166
504,856341
505,860565
506,869595
507,881897
508,896198
509,913672
510,931689
511,950719
