hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,17:52:33,hit_001_20260730_175233.csv,512,DEFECT,HIGH,0,24,112,237,500000,6510912,6510912,-5445465,893125.1,,200,37,坏棒 总长1000mm 塑料头 200
2,17:52:34,hit_002_20260730_175234.csv,512,DEFECT,HIGH,0,31,113,303,500000,5387626,4433823,-5387626,267920.1,,200,103,坏棒 总长1000mm 塑料头 200
3,17:52:34,hit_003_20260730_175234.csv,512,DEFECT,HIGH,0,32,115,307,500000,5088669,3460769,-5088669,162529.4,,200,107,坏棒 总长1000mm 塑料头 200
4,17:52:34,hit_004_20260730_175234.csv,512,DEFECT,HIGH,0,23,113,225,500000,4720733,4720733,-4707110,698915.9,,200,25,坏棒 总长1000mm 塑料头 200
5,17:52:36,hit_005_20260730_175236.csv,512,NORMAL,HIGH,0,0,113,0,500000,4868791,4868791,-3964852,1367739.8,,200,,坏棒 总长1000mm 塑料头 200
6,17:52:36,hit_006_20260730_175236.csv,512,DEFECT,HIGH,0,22,116,209,500000,4358800,3693858,-4358800,491889.3,,200,9,坏棒 总长1000mm 塑料头 200
7,17:52:36,hit_007_20260730_175236.csv,512,NORMAL,HIGH,0,0,114,0,500000,4368571,4198712,-4368571,837834.5,,200,,坏棒 总长1000mm 塑料头 200
8,17:52:36,hit_008_20260730_175236.csv,512,DEFECT,HIGH,0,21,114,203,500000,4492813,4492813,-4403028,847436.0,,200,3,坏棒 总长1000mm 塑料头 200
9,17:52:37,hit_009_20260730_175237.csv,512,DEFECT,HIGH,0,22,115,211,500000,4652244,3907377,-4652244,622497.9,,200,11,坏棒 总长1000mm 塑料头 200
10,17:52:37,hit_010_20260730_175237.csv,512,DEFECT,HIGH,0,23,114,223,500000,4971584,4971584,-4840365,807013.4,,200,23,坏棒 总长1000mm 塑料头 200
11,17:52:37,hit_011_20260730_175237.csv,512,DEFECT,HIGH,0,23,114,223,500000,4929538,4609626,-4929538,599102.2,,200,23,坏棒 总长1000mm 塑料头 200
