# note,坏棒 总长 1000mm 铁头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,
# time,2026-07-30 17:55:39
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,110
# distance_mm,0
# threshold,500000
# peak_abs,5505043
index,raw24
0,2298
1,3218
2,2641
3,2673
4,2441
5,2944
6,2656
7,2184
8,2303
9,2175
10,2423
11,2550
12,2078
13,2542
14,2469
15,2341
16,2173
17,1981
18,1628
19,2052
20,1764
21,1524
22,1939
23,1683
24,1603
25,1219
26,1755
27,970
28,1466
29,1330
30,1210
31,602
32,738
33,1098
34,801
35,497
36,865
37,705
38,857
39,713
40,385
41,353
42,705
43,449
44,944
45,-304
46,32
47,-200
48,-256
49,-408
50,48
51,-288
52,-39
53,-335
54,-271
55,-223
56,369
57,1905
58,1048
59,-20616
60,-81453
61,-226147
62,-456656
63,-695208
64,-925035
65,-1144274
66,-1355662
67,-1560825
68,-1761234
69,-1957923
70,-2151292
71,-2343310
72,-2533768
73,-2726642
74,-2920229
75,-3116001
76,-3232829
77,-3118042
78,-2897421
79,-2683036
80,-2469500
81,-2260407
82,-2053139
83,-1848632
84,-1646486
85,-1446509
86,-1248717
87,-1052724
88,-858876
89,-668411
90,-480353
91,-294983
92,-111299
93,68691
94,247155
95,422188
96,594801
97,763640
98,929771
99,1092193
100,1252868
101,1408507
102,1562447
103,1712704
104,1860343
105,1992500
106,2115033
107,2237583
108,2365838
109,2503293
110,2638859
111,2773865
112,2905462
113,3035996
114,3163889
115,3290487
116,3414493
117,3535964
118,3656037
119,3772694
120,3890530
121,3983951
122,4006881
123,3947312
124,3809414
125,3606109
126,3360452
127,3096986
128,2835744
129,2592278
130,2385297
131,2223822
132,2110863
133,2040749
134,1999036
135,1972520
136,1946999
137,1916081
138,1876408
139,1830442
140,1779979
141,1723962
142,1663751
143,1597172
144,1524233
145,1444895
146,1365199
147,1291680
148,1235674
149,1202811
150,1198521
151,1223374
152,1273649
153,1347333
154,1435769
155,1534602
156,1636902
157,1734006
158,1817523
159,1877045
160,1900744
161,1872160
162,1778259
163,1601018
164,1354831
165,1095753
166,838451
167,588133
168,343045
169,103675
170,-129497
171,-358393
172,-582606
173,-802591
174,-1018357
175,-1230400
176,-1438634
177,-1645698
178,-1850826
179,-2055688
180,-2261285
181,-2466225
182,-2644036
183,-2653289
184,-2474781
185,-2261607
186,-2054619
187,-1848888
188,-1645510
189,-1444453
190,-1246757
191,-1050165
192,-856676
193,-664588
194,-476395
195,-289305
196,-105485
197,75696
198,253934
199,429775
200,602875
201,773049
202,940059
203,1103936
204,1265553
205,1423751
206,1579633
207,1732816
208,1883149
209,2031167
210,2177023
211,2319789
212,2460226
213,2598646
214,2734264
215,2868163
216,2999565
217,3127878
218,3255400
219,3381147
220,3504094
221,3625451
222,3744504
223,3861327
224,3977224
225,4090994
226,4202751
227,4312598
228,4420151
229,4524924
230,4609539
231,4674416
232,4727462
233,4768533
234,4801031
235,4821868
236,4830000
237,4822778
238,4795454
239,4745988
240,4668681
241,4562319
242,4425650
243,4261022
244,4068421
245,3852229
246,3616727
247,3369101
248,3115482
249,2864493
250,2623624
251,2400359
252,2202706
253,2037662
254,1911901
255,1828355
256,1791540
257,1802873
258,1862685
259,1969538
260,2110466
261,2256536
262,2399044
263,2539536
264,2677505
265,2813419
266,2946995
267,3079083
268,3208316
269,3334300
270,3459485
271,3577671
272,3648266
273,3652076
274,3590175
275,3457256
276,3253002
277,2989485
278,2715656
279,2440061
280,2169003
281,1901634
282,1638562
283,1378690
284,1123530
285,870840
286,621342
287,373562
288,129749
289,-112267
290,-352702
291,-588778
292,-816611
293,-1027503
294,-1177889
295,-1247002
296,-1239257
297,-1156674
298,-1005101
299,-814354
300,-625463
301,-438026
302,-254181
303,-71022
304,108139
305,285870
306,460803
307,632050
308,800517
309,966972
310,1129797
311,1289708
312,1447326
313,1601997
314,1754114
315,1904244
316,2051723
317,2196625
318,2339197
319,2479287
320,2616784
321,2752641
322,2885745
323,3017441
324,3145840
325,3273384
326,3398129
327,3521466
328,3642132
329,3760919
330,3878276
331,3994555
332,4107595
333,4219350
334,4329219
335,4437066
336,4543892
337,4648490
338,4743082
339,4805631
340,4843733
341,4856493
342,4846101
343,4815981
344,4767825
345,4702195
346,4622173
347,4529201
348,4424880
349,4310652
350,4186374
351,4053870
352,3912776
353,3764290
354,3608534
355,3445886
356,3276857
357,3102209
358,2923486
359,2741002
360,2557467
361,2372987
362,2191057
363,2014014
364,1846128
365,1687606
366,1543880
367,1417292
368,1310775
369,1227831
370,1169433
371,1137482
372,1134359
373,1158909
374,1211607
375,1291091
376,1394974
377,1519675
378,1662994
379,1812167
