# note,坏棒 总长 1000mm 铁头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,
# time,2026-07-30 17:56:15
# points,512
# state,INVALID
# confidence,NONE
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,500000
# peak_abs,8360518
index,raw24
0,-4441
1,-4688
2,-4943
3,-4951
4,-5182
5,-4925
6,-5333
7,-5532
8,-5076
9,-5267
10,-5074
11,-5434
12,-5073
13,-5576
14,-5472
15,-5663
16,-5422
17,-5774
18,-5789
19,-5580
20,-5987
21,-6027
22,-5994
23,-5657
24,-5752
25,-5624
26,-5967
27,-5550
28,-6278
29,-6429
30,-6276
31,-6835
32,-6618
33,-6786
34,-6849
35,-6616
36,-6583
37,-6518
38,-6685
39,-7221
40,-6980
41,-6755
42,-6874
43,-6889
44,-7328
45,-7447
46,-7422
47,-7542
48,-7541
49,-7972
50,-7395
51,-7410
52,-7881
53,-7600
54,-8463
55,-8894
56,-9949
57,-11364
58,-11130
59,-13521
60,-25175
61,-78628
62,-297370
63,-526150
64,-744430
65,-961267
66,-1170646
67,-1381143
68,-1582574
69,-1786765
70,-1978107
71,-2163945
72,-2046569
73,-1820655
74,-1620729
75,-1412163
76,-1214511
77,-1013915
78,-821983
79,-624066
80,-440630
81,-235712
82,-165292
83,-400231
84,-611391
85,-839356
86,-1037973
87,-1272759
88,-1355739
89,-1151822
90,-959201
91,-759772
92,-569143
93,-379570
94,-187332
95,-64925
96,-271645
97,-506572
98,-728206
99,-949477
100,-1165153
101,-1398435
102,-1506568
103,-1328536
104,-1133014
105,-934451
106,-743649
107,-550663
108,-363779
109,-175407
110,6959
111,188886
112,366631
113,540122
114,710792
115,876177
116,1039998
117,1193503
118,1316149
119,1430069
120,1540558
121,1639418
122,1730218
123,1810935
124,1878778
125,1954932
126,2049518
127,2174308
128,2315818
129,2455503
130,2592732
131,2728103
132,2861234
133,2993029
134,3121815
135,3249234
136,3373150
137,3496314
138,3616383
139,3736182
140,3832606
141,3843810
142,3775452
143,3638208
144,3464411
145,3290797
146,3155627
147,3095946
148,3142032
149,3266032
150,3393745
151,3521003
152,3644397
153,3767296
154,3886221
155,4004578
156,4118945
157,4232282
158,4341230
159,4451876
160,4541292
161,4579002
162,4552027
163,4442015
164,4220321
165,3929822
166,3640486
167,3355914
168,3082640
169,2815552
170,2557272
171,2303224
172,2056079
173,1808092
174,1568135
175,1325712
176,1093582
177,853496
178,626952
179,367915
180,323295
181,514191
182,681056
183,859973
184,1026132
185,1196455
186,1358549
187,1520943
188,1679101
189,1835536
190,1988136
191,2138277
192,2285640
193,2428241
194,2567025
195,2703880
196,2837534
197,2969595
198,3100129
199,3229486
200,3357196
201,3483690
202,3608113
203,3731312
204,3853681
205,3972722
206,4090245
207,4205818
208,4319017
209,4429345
210,4538557
211,4645147
212,4749924
213,4853336
214,4955039
215,5055394
216,5154945
217,5252820
218,5349739
219,5445694
220,5539773
221,5633729
222,5724961
223,5815262
224,5903312
225,5990528
226,6075548
227,6159639
228,6242391
229,6323773
230,6402897
231,6479747
232,6557820
233,6633892
234,6710370
235,6785487
236,6859530
237,6933621
238,7005935
239,7078167
240,7148567
241,7219191
242,7287149
243,7355644
244,7419898
245,7486664
246,7517390
247,7484377
248,7400927
249,7276480
250,7120783
251,6945562
252,6761050
253,6573705
254,6395358
255,6231786
256,6092417
257,5980377
258,5904455
259,5872510
260,5889626
261,5959899
262,6050411
263,6139192
264,6226475
265,6313443
266,6398736
267,6483939
268,6567020
269,6649074
270,6729966
271,6808865
272,6886730
273,6962297
274,7036575
275,7109412
276,7167632
277,7126373
278,6978671
279,6722155
280,6405719
281,6084225
282,5767002
283,5455890
284,5149752
285,4850035
286,4552643
287,4260864
288,3972719
289,3697834
290,3482919
291,3381182
292,3389369
293,3493971
294,3621769
295,3744775
296,3867910
297,3987045
298,4105463
299,4221801
300,4336158
301,4448869
302,4559918
303,4669321
304,4776191
305,4881920
306,4985124
307,5087731
308,5188062
309,5288373
310,5385687
311,5483062
312,5578553
313,5672864
314,5765859
315,5856771
316,5947752
317,6035746
318,6123586
319,6209438
320,6294408
321,6377376
322,6459837
323,6540889
324,6620002
325,6698642
326,6775672
327,6852397
328,6926721
329,7001195
330,7073892
331,7146437
332,7216196
333,7287148
334,7354698
335,7422504
336,7489278
337,7554260
338,7618554
339,7680712
340,7743990
341,7804149
342,7864332
343,7923412
344,7981613
345,8038463
346,8095337
347,8150997
348,8205362
349,8259360
350,8312144
351,8353857
352,8360518
353,8337569
354,8275431
355,8177709
356,8040799
357,7867929
358,7663025
359,7430761
360,7179390
361,6913890
362,6645134
363,6379339
364,6127768
365,5896612
366,5696444
367,5532325
368,5411937
369,5339829
370,5319609
371,5354360
372,5437642
373,5535954
374,5630350
375,5724951
376,5816572
377,5908254
378,5998445
379,6087049
380,6174714
381,6260328
382,6344980
383,6427493
384,6510212
385,6589202
386,6668877
387,6745111
388,6821808
389,6882791
390,6888127
391,6841678
392,6746403
393,6612155
394,6441820
395,6247050
396,6033399
397,5811255
398,5586785
399,5367591
400,5159328
401,4968194
402,4798068
403,4652034
404,4533690
405,4442393
406,4381282
407,4348723
408,4346225
409,4370254
410,4421609
411,4496893
412,4594056
413,4701095
414,4806185
415,4910046
416,5011679
417,5112843
418,5211195
419,5309319
420,5405223
421,5500235
422,5594132
423,5685385
424,5776651
425,5865633
426,5954101
427,6040959
428,6126541
429,6210785
430,6294155
431,6375555
432,6456616
433,6535860
434,6613590
435,6691855
436,6767094
437,6842892
438,6915577
439,6988109
440,7059648
441,7130082
442,7199419
443,7267869
444,7334997
445,7401814
446,7467022
447,7530951
448,7594511
449,7656648
450,7718082
451,7775500
452,7817366
453,7842332
454,7854639
455,7853504
456,7838777
457,7812620
458,7772915
459,7722326
460,7656407
461,7578360
462,7485227
463,7379642
464,7259261
465,7125271
466,6979665
467,6821109
468,6654596
