# note,坏棒 总长 1000mm 铁头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,-4
# time,2026-07-30 17:56:19
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,21
# bottom_index,117
# distance_mm,196
# threshold,500000
# peak_abs,5502387
index,raw24
0,-14234
1,-14584
2,-13702
3,-14140
4,-14139
5,-14393
6,-13991
7,-13965
8,-14444
9,-14682
10,-14504
11,-14822
12,-13924
13,-14531
14,-15297
15,-14919
16,-14997
17,-14243
18,-14914
19,-14800
20,-14950
21,-16060
22,-15402
23,-15240
24,-15358
25,-14917
26,-15563
27,-15441
28,-15839
29,-16165
30,-15963
31,-16729
32,-16119
33,-16133
34,-16283
35,-16729
36,-16503
37,-16509
38,-16411
39,-16585
40,-16743
41,-16789
42,-17035
43,-16961
44,-17454
45,-17188
46,-17850
47,-17592
48,-17430
49,-17172
50,-17042
51,-17015
52,-16821
53,-17435
54,-17617
55,-17855
56,-18581
57,-20810
58,-26424
59,-48061
60,-112223
61,-235457
62,-451916
63,-694301
64,-923176
65,-1142704
66,-1351124
67,-1556023
68,-1754993
69,-1953731
70,-2145420
71,-2336279
72,-2519417
73,-2718374
74,-2850146
75,-2670446
76,-2451432
77,-2238117
78,-2028644
79,-1820316
80,-1616958
81,-1415592
82,-1217819
83,-1022871
84,-830786
85,-641476
86,-454918
87,-270727
88,-89406
89,91021
90,268554
91,443361
92,615859
93,785304
94,950512
95,1114044
96,1273428
97,1430001
98,1582602
99,1734097
100,1863565
101,1914106
102,1922840
103,1931965
104,1958802
105,1990266
106,1999135
107,1987315
108,1990385
109,2073686
110,2217273
111,2359370
112,2499642
113,2637889
114,2773551
115,2907148
116,3036409
117,3166263
118,3263732
119,3258078
120,3189416
121,3087323
122,2977058
123,2860222
124,2736569
125,2596419
126,2433758
127,2246021
128,2040051
129,1829858
130,1644458
131,1514458
132,1465361
133,1507422
134,1631070
135,1783951
136,1932301
137,2080945
138,2208067
139,2269813
140,2265248
141,2205652
142,2109199
143,1990845
144,1866298
145,1746334
146,1638633
147,1548689
148,1480748
149,1440655
150,1432223
151,1459672
152,1523886
153,1624124
154,1751430
155,1896416
156,2043241
157,2187463
158,2328972
159,2445032
160,2516701
161,2535242
162,2485173
163,2353669
164,2127798
165,1860954
166,1594271
167,1332716
168,1077250
169,828606
170,585537
171,347938
172,114895
173,-114919
174,-340177
175,-563135
176,-780859
177,-998907
178,-1213249
179,-1431805
180,-1649031
181,-1833709
182,-1766909
183,-1559638
184,-1362359
185,-1162033
186,-967451
187,-772213
188,-581623
189,-392560
190,-206896
191,-22206
192,158692
193,337393
194,512000
195,683377
196,850630
197,1016174
198,1177850
199,1336682
200,1492871
201,1646977
202,1798224
203,1947460
204,2094350
205,2238335
206,2380853
207,2520507
208,2658719
209,2792674
210,2925926
211,3055520
212,3183483
213,3309743
214,3433403
215,3555088
216,3674510
217,3792917
218,3908526
219,4023041
220,4135862
221,4247605
222,4355910
223,4464067
224,4569426
225,4674132
226,4776201
227,4877274
228,4976783
229,5051023
230,5092303
231,5110817
