# note,坏棒 总长 1000mm 铁头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,218
# time,2026-07-30 17:56:20
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,46
# bottom_index,121
# distance_mm,418
# threshold,500000
# peak_abs,5823513
index,raw24
0,-11484
1,-11763
2,-11666
3,-11952
4,-12167
5,-11973
6,-11500
7,-11786
8,-12377
9,-12167
10,-12262
11,-11740
12,-12011
13,-11881
14,-11560
15,-11671
16,-11645
17,-11484
18,-11010
19,-11545
20,-11271
21,-10990
22,-11421
23,-11067
24,-10650
25,-10409
26,-11255
27,-10902
28,-10733
29,-10747
30,-10210
31,-9937
32,-10703
33,-10854
34,-10357
35,-10436
36,-10074
37,-9793
38,-9848
39,-9879
40,-10197
41,-10156
42,-10099
43,-10090
44,-10232
45,-10159
46,-10326
47,-10413
48,-11603
49,-12370
50,-12968
51,-13831
52,-13429
53,-13539
54,-15242
55,-25280
56,-37005
57,-54256
58,-71066
59,-95049
60,-130405
61,-263981
62,-505493
63,-735823
64,-959062
65,-1168688
66,-1377362
67,-1579498
68,-1781457
69,-1974935
70,-2170270
71,-2355045
72,-2546998
73,-2726479
74,-2935250
75,-2965380
76,-2741178
77,-2532035
78,-2312590
79,-2104484
80,-1892939
81,-1689084
82,-1484021
83,-1284744
84,-1085523
85,-890903
86,-697626
87,-509413
88,-322967
89,-141007
90,38402
91,215069
92,389035
93,560035
94,728079
95,894110
96,1057273
97,1217144
98,1375603
99,1530499
100,1683297
101,1830955
102,1975467
103,2018170
104,1917188
105,1724250
106,1485343
107,1266826
108,1101607
109,1022777
110,1040340
111,1155085
112,1315224
113,1471511
114,1627284
115,1779037
116,1929428
117,2076952
118,2221931
119,2363740
120,2503851
121,2639097
122,2772967
123,2849757
124,2831641
125,2743703
126,2600544
127,2424667
128,2228131
129,2032171
130,1847435
131,1687425
132,1563619
133,1482940
134,1445391
135,1447743
136,1482782
137,1539481
138,1609773
139,1684616
140,1759051
141,1830444
142,1894389
143,1952917
144,2004735
145,2048210
146,2082752
147,2107690
148,2121769
149,2126422
150,2121970
151,2114191
152,2103845
153,2096612
154,2097236
155,2107444
156,2130411
157,2164479
158,2210439
159,2262321
160,2318548
161,2372209
162,2415432
163,2439881
164,2432463
165,2382302
166,2275651
167,2094566
168,1844382
169,1580469
170,1317748
171,1060323
172,808985
173,563055
174,321570
175,84715
176,-147040
177,-374942
178,-600160
179,-821527
180,-1040946
181,-1257843
182,-1476546
183,-1692685
184,-1905663
185,-2001542
186,-1866178
187,-1660230
188,-1459331
189,-1260089
190,-1063023
191,-868118
192,-676820
193,-487065
194,-299045
195,-113625
196,68557
197,248341
198,424398
199,597258
200,766762
201,933484
202,1096962
203,1258516
204,1415402
205,1571550
206,1724158
207,1874699
208,2022662
209,2168519
210,2311919
211,2452684
212,2591033
213,2727221
214,2860672
215,2991811
216,3121653
217,3248376
218,3373876
219,3496152
220,3617581
221,3735748
222,3853043
223,3968029
224,4081401
225,4193143
226,4302935
227,4411273
228,4517471
229,4622831
230,4725627
231,4826458
232,4905413
233,4963918
234,5002152
235,5023926
236,5031416
237,5028714
238,5021108
239,5010327
240,5002660
241,4999505
242,5004783
243,5018868
244,5043735
245,5077439
246,5119060
247,5165475
248,5213236
249,5258304
250,5295502
251,5318991
252,5324174
253,5308132
254,5265100
255,5195185
256,5096295
257,4970849
258,4820578
259,4651734
260,4469734
261,4283324
262,4099873
263,3927885
264,3777165
265,3654336
266,3566282
267,3518615
268,3513273
269,3551821
270,3632139
271,3745872
272,3867174
273,3986582
274,4103088
275,4218659
276,4331416
277,4442327
278,4551753
279,4650397
280,4701789
281,4702327
282,4648457
283,4539218
284,4377160
285,4164585
286,3908701
287,3630816
288,3354813
289,3079027
290,2806371
291,2537213
292,2273415
293,2013089
294,1759684
295,1512989
296,1286572
297,1100767
298,958705
299,861476
300,807954
301,798680
302,829726
303,900193
304,1005235
305,1145464
306,1303044
307,1459173
308,1613915
309,1765038
310,1914015
311,2061021
312,2204777
313,2347484
314,2486942
315,2625038
316,2760398
317,2894061
318,3025443
319,3154882
320,3281377
321,3407536
322,3531120
323,3652201
324,3772596
325,3889751
326,4006404
327,4120211
328,4233164
329,4343799
330,4452765
331,4560470
332,4666257
333,4770535
334,4873033
335,4974326
336,5073407
337,5171363
338,5267476
339,5362689
340,5455610
341,5547601
342,5636995
343,5709155
344,5762282
345,5798075
346,5818471
347,5823513
348,5817050
349,5796884
350,5766088
351,5723832
352,5672326
353,5610385
354,5539564
355,5458024
356,5364934
357,5262079
358,5146564
359,5019528
360,4879915
361,4729232
362,4567406
363,4396209
364,4216248
365,4032038
366,3844089
367,3658076
368,3474853
369,3298933
370,3134667
371,2984076
372,2851432
373,2738852
374,2649285
375,2584026
376,2544606
377,2530928
378,2541923
379,2577148
380,2633978
381,2708992
382,2798094
383,2898808
384,3004062
385,3112087
386,3215860
387,3312443
388,3397095
389,3465288
390,3514897
391,3541956
392,3547123
393,3525946
394,3481580
395,3412163
396,3320490
397,3208229
398,3077133
399,2930782
400,2772184
401,2605214
402,2432648
403,2259071
404,2086459
405,1919308
406,1758714
407,1609203
408,1470511
409,1346883
410,1237495
411,1144552
412,1068572
413,1011081
414,972302
415,951119
416,948891
417,965727
418,1000273
419,1053151
420,1122511
421,1209598
422,1311338
423,1427682
424,1557876
425,1699925
426,1846862
427,1993012
428,2136105
429,2277836
430,2416590
431,2553127
432,2688424
433,2820535
434,2951303
435,3080135
436,3206519
437,3330791
438,3453945
439,3574323
440,3693247
441,3810188
442,3925459
443,4039812
444,4151191
445,4261828
446,4369700
447,4477142
448,4581196
449,4673220
450,4748642
451,4808742
452,4852947
453,4881259
454,4893343
455,4888801
456,4868437
457,4831994
458,4782037
459,4715365
460,4637197
461,4544887
462,4441188
463,4326678
464,4202462
465,4069669
466,3928004
467,3780189
468,3626055
469,3467772
470,3305677
471,3142130
472,2975946
473,2810855
474,2647816
475,2487476
476,2332573
477,2184136
478,2044125
479,1912908
480,1793202
481,1684839
482,1589666
483,1508616
484,1441959
485,1390727
486,1353582
487,1331872
488,1323734
489,1329236
490,1347210
491,1376405
492,1415349
493,1461953
494,1515942
495,1573885
496,1635325
497,1698877
498,1761206
499,1822303
500,1880297
501,1933939
502,1983143
503,2025493
504,2061334
505,2091706
506,2114275
507,2130568
508,2139284
509,2142519
510,2140394
511,2132596
