hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,17:55:28,hit_001_20260730_175528.csv,512,DEFECT,HIGH,0,68,117,527,500000,6690203,6690203,-2549723,2391563.6,,200,327,坏棒 总长 1000mm 铁头 200
2,17:55:28,hit_002_20260730_175528.csv,512,NORMAL,HIGH,0,0,118,0,500000,6499446,6499446,-2778333,2387843.3,,200,,坏棒 总长 1000mm 铁头 200
3,17:55:28,hit_003_20260730_175528.csv,512,NORMAL,HIGH,0,0,111,0,500000,5860438,5860438,-3249397,1912623.6,,200,,坏棒 总长 1000mm 铁头 200
4,17:55:29,hit_004_20260730_175529.csv,512,NORMAL,HIGH,0,0,119,0,500000,6225887,6225887,-2935845,2489971.8,,200,,坏棒 总长 1000mm 铁头 200
5,17:55:29,hit_005_20260730_175529.csv,512,DEFECT,HIGH,0,70,119,546,500000,6579297,6579297,-2814684,2159229.0,,200,346,坏棒 总长 1000mm 铁头 200
6,17:55:29,hit_006_20260730_175529.csv,512,DEFECT,HIGH,0,23,108,237,500000,6198436,6198436,-3227128,1656363.8,,200,37,坏棒 总长 1000mm 铁头 200
7,17:55:29,hit_007_20260730_175529.csv,512,NORMAL,HIGH,0,0,109,0,500000,6131008,6131008,-3010094,1720185.7,,200,,坏棒 总长 1000mm 铁头 200
8,17:55:30,hit_008_20260730_175530.csv,512,NORMAL,HIGH,0,0,111,0,500000,5569227,5569227,-3388797,1494602.3,,200,,坏棒 总长 1000mm 铁头 200
9,17:55:30,hit_009_20260730_175530.csv,512,NORMAL,HIGH,0,0,111,0,500000,5604732,5604732,-3242074,1576306.4,,200,,坏棒 总长 1000mm 铁头 200
10,17:55:30,hit_010_20260730_175530.csv,512,NORMAL,HIGH,0,0,110,0,500000,5750422,5750422,-3013530,2070337.8,,200,,坏棒 总长 1000mm 铁头 200
11,17:55:30,hit_011_20260730_175530.csv,512,NORMAL,HIGH,0,0,109,0,500000,6020433,6020433,-3093397,1771369.1,,200,,坏棒 总长 1000mm 铁头 200
12,17:55:31,hit_012_20260730_175531.csv,512,NORMAL,HIGH,0,0,112,0,500000,5542040,5542040,-3553532,1564146.0,,200,,坏棒 总长 1000mm 铁头 200
13,17:55:31,hit_013_20260730_175531.csv,512,DEFECT,HIGH,0,25,109,255,500000,6223613,6223613,-3119329,1860958.0,,200,55,坏棒 总长 1000mm 铁头 200
14,17:55:31,hit_014_20260730_175531.csv,512,DEFECT,HIGH,0,23,118,203,500000,5615483,5615483,-3452399,1386320.0,,200,3,坏棒 总长 1000mm 铁头 200
15,17:55:31,hit_015_20260730_175531.csv,512,NORMAL,HIGH,0,0,108,0,500000,5471591,5471591,-3267565,1483719.7,,200,,坏棒 总长 1000mm 铁头 200
16,17:55:32,hit_016_20260730_175532.csv,512,DEFECT,HIGH,0,69,108,597,500000,5956455,5956455,-3140112,1653116.0,,200,397,坏棒 总长 1000mm 铁头 200
17,17:55:34,hit_017_20260730_175534.csv,512,DEFECT,HIGH,0,44,110,444,500000,6975842,6975842,-3558805,1485885.6,,200,244,坏棒 总长 1000mm 铁头 200
18,17:55:34,hit_018_20260730_175534.csv,512,DEFECT,HIGH,0,65,114,495,500000,7787827,7787827,-3176048,1837922.4,,200,295,坏棒 总长 1000mm 铁头 200
19,17:55:34,hit_019_20260730_175534.csv,512,DEFECT,HIGH,0,67,116,518,500000,7454468,7454468,-2550074,2388270.1,,200,318,坏棒 总长 1000mm 铁头 200
20,17:55:35,hit_020_20260730_175535.csv,512,DEFECT,HIGH,0,68,118,532,500000,7406626,7406626,-2977286,1898947.4,,200,332,坏棒 总长 1000mm 铁头 200
21,17:55:35,hit_021_20260730_175535.csv,512,DEFECT,HIGH,0,66,117,532,500000,7610779,7610779,-2609070,2391420.5,,200,332,坏棒 总长 1000mm 铁头 200
22,17:55:35,hit_022_20260730_175535.csv,512,DEFECT,HIGH,0,68,117,527,500000,7710808,7710808,-2592137,2387312.3,,200,327,坏棒 总长 1000mm 铁头 200
23,17:55:36,hit_023_20260730_175536.csv,512,DEFECT,HIGH,0,25,118,233,500000,7196952,7196952,-2831200,2479618.5,,200,33,坏棒 总长 1000mm 铁头 200
24,17:55:36,hit_024_20260730_175536.csv,512,DEFECT,HIGH,0,45,110,454,500000,6778072,6778072,-3547187,1368796.6,,200,254,坏棒 总长 1000mm 铁头 200
25,17:55:36,hit_025_20260730_175536.csv,512,NORMAL,HIGH,0,0,111,0,500000,5681238,5681238,-3082969,2047562.1,,200,,坏棒 总长 1000mm 铁头 200
26,17:55:37,hit_026_20260730_175537.csv,512,DEFECT,HIGH,0,44,110,444,500000,6722869,6722869,-3414684,1459618.6,,200,244,坏棒 总长 1000mm 铁头 200
27,17:55:37,hit_027_20260730_175537.csv,512,DEFECT,HIGH,0,69,110,585,500000,6598926,6598926,-3600433,1293486.7,,200,385,坏棒 总长 1000mm 铁头 200
