# note,坏棒 总长1000m 铁头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,
# time,2026-07-31 21:37:21
# points,512
# state,NORMAL
# confidence,LOW
# result_ready,1
# impact_index,80
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,0
# peak_abs,953577
index,raw24
0,-248764
1,-244166
2,-239120
3,-232603
4,-226230
5,-218507
6,-210784
7,-201990
8,-192662
9,-182598
10,-172576
11,-162299
12,-150623
13,-138756
14,-126995
15,-114572
16,-102310
17,-89025
18,-76015
19,-62349
20,-48374
21,-33712
22,-19124
23,-5273
24,9935
25,24670
26,38819
27,53270
28,67368
29,82008
30,96158
31,110298
32,124260
33,138693
34,152420
35,166570
36,179981
37,194119
38,207104
39,221214
40,234219
41,247047
42,259936
43,272641
44,284391
45,296717
46,307136
47,318723
48,329540
49,340380
50,350874
51,361431
52,371019
53,380862
54,388863
55,398392
56,406743
57,415646
58,423787
59,432383
60,440346
61,448845
62,457078
63,465326
64,472605
65,479675
66,487649
67,494933
68,501641
69,508492
70,514254
71,520535
72,526247
73,531199
74,535646
75,539605
76,543147
77,545040
78,546198
79,546499
80,546025
81,545334
82,543203
83,541409
84,538295
85,534989
86,531612
87,527667
88,522914
89,517451
90,511491
91,504357
92,497599
93,489179
94,481167
95,472364
96,462922
97,452930
98,442963
99,432293
100,420728
101,409220
102,396682
103,384010
104,370779
105,356342
106,342330
107,327872
108,312584
109,296898
110,281158
111,265892
112,250763
113,234965
114,219976
115,204517
116,189380
117,174637
118,160800
119,146908
120,133242
121,120114
122,106875
123,94630
124,82770
125,70944
126,59528
127,49216
128,38298
129,28646
130,18994
131,9560
132,327
133,-8042
134,-17113
135,-25454
136,-32987
137,-40223
138,-47530
139,-54285
140,-59998
141,-64863
142,-69463
143,-74030
144,-76821
145,-79276
146,-80802
147,-81432
148,-82470
149,-81748
150,-81306
151,-79368
152,-77382
153,-75069
154,-72276
155,-68107
156,-65354
157,-61146
158,-57507
159,-52908
160,-47846
161,-43080
162,-38042
163,-32814
164,-27266
165,-22158
166,-17100
167,-12082
168,-7144
169,-2343
170,2129
171,6993
172,10808
173,14983
174,18941
175,22418
176,25488
177,28741
178,30177
179,32901
180,34841
181,35789
182,37425
183,38844
184,38919
185,39531
186,39574
187,39969
188,39444
189,38903
190,38242
191,37590
192,36161
193,34861
194,33696
195,32484
196,30288
197,28133
198,25209
199,22718
200,20179
201,18129
202,15863
203,12885
204,9643
205,7258
206,4017
207,616
208,-2968
209,-6159
210,-8894
211,-12477
212,-14932
213,-17114
214,-19504
215,-21870
216,-23963
217,-26056
218,-28061
219,-29697
220,-31398
221,-32450
222,-34310
223,-35482
224,-36341
225,-37825
226,-38540
227,-38855
228,-39235
229,-39222
230,-39209
231,-38692
232,-37688
233,-37099
234,-36014
235,-35170
236,-32766
237,-31298
238,-28622
239,-25570
240,-23191
241,-19628
242,-16250
243,-12032
244,-7686
245,-3557
246,299
247,4987
248,8618
249,11721
250,15640
251,18646
252,21964
253,24521
254,27334
255,29811
256,32055
257,34371
258,36575
259,38978
260,41085
261,42448
262,43715
263,45902
264,47272
265,48842
266,49797
267,51782
268,52288
269,53690
270,54923
271,55748
272,56902
273,57535
274,59088
275,59680
276,60345
277,61322
278,62706
279,63915
280,64411
281,66275
282,66763
283,68779
284,69538
285,70570
286,71185
287,72088
288,72704
289,72007
290,71790
291,71197
292,70540
293,69500
294,68115
295,66923
296,64715
297,63275
298,61363
299,60060
300,58732
301,57453
302,55694
303,53527
304,51185
305,49274
306,47092
307,43839
308,41345
309,38260
310,35183
311,32115
312,27503
313,23620
314,18953
315,14223
316,8909
317,3372
318,-2845
319,-8140
320,-13963
321,-19866
322,-25943
323,-31524
324,-37248
325,-41844
326,-47294
327,-52297
328,-57250
329,-61939
330,-67308
331,-72043
332,-77627
333,-81561
334,-85879
335,-90333
336,-93802
337,-97070
338,-98746
339,-100350
340,-100858
341,-101062
342,-99545
343,-98133
344,-95353
345,-91822
346,-87890
347,-82888
348,-77941
349,-71868
350,-64971
351,-57355
352,-48468
353,-38086
354,-27506
355,-15830
356,-3100
357,10844
358,24947
359,39864
360,55411
361,71140
362,87331
363,104513
364,121524
365,138277
366,156380
367,173585
368,191228
369,208677
370,226051
371,242703
372,259474
373,275090
374,290056
375,305413
376,319592
377,333273
378,345728
379,357446
380,369018
381,379085
382,388263
383,397279
384,405887
385,413053
386,419955
387,426184
388,431460
389,435623
390,439082
391,441580
392,442582
393,443488
394,443090
395,441860
396,439438
397,435936
398,431283
399,427134
400,420450
401,413015
402,405204
403,395819
404,385595
405,374372
406,362718
407,349626
408,335695
409,321006
410,305623
411,289545
412,273054
413,255885
414,238477
415,219792
416,201021
417,181629
418,161887
419,140827
420,120522
421,98867
422,76919
423,54965
424,32631
425,9795
426,-12855
427,-35669
428,-59041
429,-82913
430,-106575
431,-129978
432,-153530
433,-177208
434,-200818
435,-224033
436,-247982
437,-270824
438,-294247
439,-316931
440,-341020
441,-363578
442,-386206
443,-409223
444,-431493
445,-453440
446,-474769
447,-496615
448,-517946
449,-539259
450,-559953
451,-580429
452,-600622
453,-620244
454,-640529
455,-658827
456,-678354
