# note,坏棒 总长1000m 铁头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,505
# time,2026-07-31 21:39:36
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,83
# defect_index,0
# bottom_index,0
# distance_mm,705
# threshold,0
# peak_abs,4498120
index,raw24
0,10712
1,11023
2,11549
3,11004
4,11058
5,10689
6,11152
7,11078
8,11109
9,11196
10,11450
11,11489
12,11039
13,11102
14,11221
15,11467
16,11050
17,11081
18,11023
19,10814
20,11244
21,11139
22,10922
23,11280
24,11183
25,11366
26,11540
27,11419
28,11473
29,11856
30,11070
31,11613
32,11700
33,12074
34,11353
35,11967
36,12142
37,11868
38,12347
39,11753
40,12096
41,11886
42,12117
43,11827
44,11898
45,11865
46,11407
47,11574
48,11396
49,10907
50,11393
51,11840
52,11903
53,12053
54,11476
55,11690
56,11513
57,10727
58,10542
59,14437
60,14187
61,-67991
62,-283606
63,-525868
64,-758828
65,-982327
66,-1197655
67,-1406653
68,-1610657
69,-1811388
70,-2008575
71,-2204482
72,-2397493
73,-2588464
74,-2777660
75,-2964737
76,-3149687
77,-3332847
78,-3515024
79,-3695635
80,-3875000
81,-4039743
82,-4094338
83,-3991662
84,-3778926
85,-3550057
86,-3326592
87,-3105362
88,-2886111
89,-2670078
90,-2456616
91,-2246012
92,-2037170
93,-1831578
94,-1628570
95,-1429491
96,-1231925
97,-1037246
98,-844680
99,-654904
100,-467185
101,-281607
102,-98941
103,80903
104,257901
105,431502
106,601665
107,769631
108,934289
109,1097239
110,1257257
111,1414528
112,1569067
113,1721732
114,1871386
115,2019229
116,2164079
117,2307470
118,2448229
119,2585426
120,2721678
121,2854618
122,2986533
123,3115681
124,3243397
125,3367777
126,3491293
127,3593259
128,3656917
129,3689774
130,3678300
131,3620003
132,3513849
133,3371516
134,3208048
135,3040937
136,2878885
137,2724158
138,2571385
139,2415136
140,2256393
141,2099253
142,1951149
143,1817391
144,1700113
145,1599081
146,1513902
147,1444469
148,1391005
149,1349987
150,1317238
151,1289166
152,1262048
153,1238030
154,1215655
155,1198443
156,1186848
157,1185919
158,1196591
159,1218732
160,1247776
161,1277159
162,1301267
163,1310965
164,1297909
165,1252486
166,1162757
167,1019287
168,810907
169,566680
170,319387
171,72916
172,-168197
173,-404865
174,-635935
175,-862506
176,-1082904
177,-1299676
178,-1512573
179,-1721197
180,-1926219
181,-2129144
182,-2329564
183,-2527919
184,-2725291
185,-2920502
186,-3114121
187,-3286341
188,-3351420
189,-3257603
190,-3051125
191,-2831617
192,-2616871
193,-2403800
194,-2194290
195,-1986070
196,-1781156
197,-1578970
198,-1377386
199,-1179314
200,-982970
201,-790562
202,-599225
203,-411416
204,-225302
205,-41762
206,139531
207,317306
208,493683
209,665863
210,835326
211,1001872
212,1166077
213,1327327
214,1485445
215,1640952
216,1793951
217,1944020
218,2091759
219,2236888
220,2379887
221,2520964
222,2658688
223,2794420
224,2928039
225,3058721
226,3188652
227,3315191
228,3440922
229,3563150
230,3684323
231,3803073
232,3920841
233,4035394
234,4147502
235,4235851
236,4295670
237,4332978
238,4344921
239,4332198
240,4293726
241,4229177
242,4136789
243,4016708
244,3868770
245,3695034
246,3496942
247,3277676
248,3040667
249,2787080
250,2529556
251,2272895
252,2018218
253,1765619
254,1516180
255,1270443
256,1028184
257,790906
258,561938
259,351741
260,170074
261,18309
262,-100125
263,-183353
264,-230786
265,-243766
266,-223280
267,-171237
268,-90888
269,14499
270,140433
271,282160
272,434277
273,590400
274,746312
275,894013
276,1028048
277,1142299
278,1230167
279,1288185
280,1312228
281,1298131
282,1245173
283,1153253
284,1022800
285,857507
286,659323
287,433818
288,198733
289,-35947
290,-269919
291,-500038
292,-725745
293,-947176
294,-1161964
295,-1367791
296,-1550456
297,-1695474
298,-1800443
299,-1860488
300,-1875308
301,-1841552
302,-1758623
303,-1627392
304,-1449201
305,-1252208
306,-1057576
307,-865222
308,-675141
309,-487570
310,-301215
311,-118210
312,62852
313,241029
314,417071
315,589724
316,759908
317,926976
318,1091062
319,1252713
320,1411208
321,1567604
322,1721365
323,1872378
324,2020302
325,2166919
326,2309775
327,2450989
328,2589306
329,2726741
330,2860713
331,2993627
332,3124078
333,3251681
334,3378052
335,3502239
336,3623972
337,3743817
338,3862368
339,3978905
340,4093443
341,4205207
342,4316134
343,4405007
344,4463237
345,4494476
346,4498120
347,4475899
348,4427376
349,4355220
350,4258656
351,4140760
352,4000159
353,3839535
354,3658962
355,3460947
356,3247933
357,3019864
358,2778432
359,2526348
360,2272744
361,2019467
362,1767980
363,1518060
364,1271563
365,1026144
366,783938
367,544075
368,307560
369,73515
370,-156590
371,-382987
372,-605173
373,-821419
374,-1029334
375,-1221441
376,-1393412
377,-1544817
378,-1675437
379,-1783456
380,-1870615
381,-1935650
382,-1980150
383,-2003516
384,-2008800
385,-1996266
386,-1968159
387,-1926390
388,-1873803
389,-1812151
390,-1743641
391,-1671012
392,-1597888
393,-1524437
394,-1453307
395,-1388194
396,-1328088
397,-1275902
398,-1231003
399,-1195884
400,-1168602
401,-1148908
402,-1137991
403,-1132844
404,-1133882
405,-1138008
406,-1145821
407,-1152937
408,-1158892
409,-1161959
410,-1161641
411,-1154067
412,-1139118
413,-1115811
414,-1081531
415,-1037215
416,-980712
417,-911608
418,-830089
419,-734764
420,-626218
421,-504654
422,-369776
423,-221043
424,-60320
425,111944
426,287130
427,459623
428,628983
429,797050
430,960793
431,1122971
432,1282178
433,1438710
434,1592070
435,1743660
436,1892167
437,2038840
438,2183679
439,2325220
440,2464680
441,2601884
442,2737486
443,2870520
444,3001785
445,3130539
446,3257445
447,3382711
448,3506874
449,3627822
450,3747347
451,3864722
452,3979914
453,4094476
454,4206112
455,4299695
456,4370098
457,4419916
458,4447825
459,4454770
460,4439802
461,4403356
462,4346299
463,4267280
464,4167463
465,4047330
466,3906404
467,3746671
468,3568782
469,3371866
470,3159287
471,2929965
472,2685927
473,2432464
474,2177159
475,1923085
476,1671122
477,1419998
478,1170953
479,924594
480,680185
481,437862
482,197744
483,-39544
484,-273291
485,-504274
486,-730724
487,-952059
488,-1169599
489,-1380664
490,-1587463
491,-1786365
492,-1973611
493,-2140146
494,-2286637
495,-2411662
496,-2517344
497,-2602364
498,-2668175
499,-2715841
500,-2746221
501,-2761126
502,-2759197
503,-2744940
504,-2717253
505,-2679329
506,-2631042
507,-2574241
508,-2510007
509,-2439036
510,-2363451
511,-2283706
