# note,坏棒 总长1000m 铁头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,519
# time,2026-07-31 21:41:45
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,76
# defect_index,0
# bottom_index,0
# distance_mm,719
# threshold,0
# peak_abs,5897653
index,raw24
0,15177
1,15423
2,15557
3,15115
4,15297
5,15488
6,15374
7,14956
8,15602
9,15440
10,15558
11,15780
12,15386
13,15496
14,15982
15,15997
16,15883
17,16345
18,15999
19,15813
20,15371
21,15649
22,15951
23,16069
24,15883
25,15785
26,16063
27,16133
28,15675
29,16137
30,16119
31,16453
32,16459
33,15993
34,16175
35,16221
36,16467
37,15929
38,17143
39,16349
40,16307
41,16441
42,16247
43,16389
44,15667
45,16201
46,16223
47,16221
48,15795
49,17073
50,17511
51,17893
52,17323
53,17248
54,17254
55,17124
56,16338
57,16552
58,18294
59,52100
60,32669
61,-179823
62,-425337
63,-657157
64,-877220
65,-1088537
66,-1296956
67,-1501030
68,-1702079
69,-1898543
70,-2092399
71,-2281800
72,-2469321
73,-2661748
74,-2852631
75,-2943539
76,-2928443
77,-2891726
78,-2783109
79,-2579377
80,-2367262
81,-2158621
82,-1952158
83,-1749639
84,-1549514
85,-1350133
86,-1152080
87,-955547
88,-760686
89,-567714
90,-377444
91,-189646
92,-4975
93,177650
94,356748
95,531800
96,704127
97,872874
98,1037991
99,1199896
100,1358534
101,1515160
102,1670119
103,1821603
104,1971045
105,2116820
106,2260906
107,2402206
108,2542304
109,2680690
110,2817043
111,2951907
112,3084987
113,3216794
114,3345537
115,3472545
116,3596881
117,3720330
118,3840196
119,3959791
120,4075620
121,4192866
122,4301458
123,4409557
124,4355715
125,4093575
126,3799227
127,3510116
128,3226943
129,2947429
130,2672821
131,2400967
132,2133178
133,1868422
134,1607041
135,1349013
136,1101441
137,872346
138,700256
139,589850
140,516898
141,453123
142,368644
143,239351
144,53137
145,-168397
146,-392665
147,-610969
148,-809382
149,-972779
150,-1100892
151,-1195398
152,-1256396
153,-1277531
154,-1264743
155,-1215316
156,-1122040
157,-974247
158,-788464
159,-599488
160,-412583
161,-229396
162,-58376
163,36711
164,26834
165,-128553
166,-370809
167,-607828
168,-839626
169,-1060291
170,-1274810
171,-1480110
172,-1682201
173,-1879388
174,-2073799
175,-2264609
176,-2451685
177,-2635322
178,-2814456
179,-2993232
180,-3166499
181,-3346592
182,-3521184
183,-3711794
184,-3753237
185,-3541227
186,-3316570
187,-3091286
188,-2872380
189,-2653702
190,-2438754
191,-2226168
192,-2017016
193,-1809066
194,-1604077
195,-1401569
196,-1201046
197,-1004612
198,-810409
199,-618334
200,-428650
201,-241310
202,-56385
203,125742
204,304967
205,482594
206,656015
207,827335
208,995650
209,1160680
210,1322634
211,1482545
212,1639588
213,1793324
214,1945689
215,2094419
216,2240924
217,2384474
218,2526047
219,2665107
220,2802677
221,2936879
222,3068985
223,3199106
224,3326811
225,3452317
226,3576224
227,3698147
228,3817232
229,3934334
230,4050502
231,4164287
232,4275091
233,4384977
234,4493002
235,4594589
236,4662556
237,4693635
238,4680750
239,4618451
240,4501607
241,4327049
242,4089689
243,3810270
244,3527829
245,3243454
246,2964850
247,2689072
248,2418072
249,2149745
250,1885882
251,1624844
252,1366902
253,1111983
254,860519
255,610934
256,368563
257,137742
258,-45522
259,-146669
260,-165539
261,-99399
262,48093
263,227864
264,404132
265,578330
266,749204
267,916928
268,1082352
269,1244396
270,1404036
271,1560209
272,1713722
273,1863241
274,2011550
275,2114544
276,2118326
277,2032043
278,1849203
279,1601274
280,1340190
281,1080339
282,824511
283,571970
284,324180
285,77901
286,-163229
287,-402025
288,-636896
289,-867170
290,-1094784
291,-1318787
292,-1538730
293,-1751902
294,-1926016
295,-1996021
296,-1953977
297,-1800875
298,-1596919
299,-1398108
300,-1198809
301,-1004503
302,-810844
303,-619881
304,-430438
305,-243697
306,-58803
307,123516
308,303053
309,479848
310,653341
311,824454
312,992305
313,1156880
314,1319114
315,1479577
316,1635565
317,1790285
318,1942035
319,2091773
320,2237974
321,2382597
322,2524730
323,2663830
324,2801665
325,2936091
326,3069004
327,3199806
328,3328399
329,3454401
330,3578763
331,3700910
332,3822034
333,3940792
334,4057807
335,4172463
336,4285530
337,4396271
338,4505550
339,4612656
340,4717557
341,4821109
342,4922289
343,4991240
344,5005462
345,4972395
346,4892708
347,4769231
348,4605193
349,4404063
350,4171997
351,3911904
352,3639098
353,3365054
354,3093011
355,2822770
356,2555113
357,2289873
358,2026850
359,1767290
360,1509850
361,1255514
362,1004793
363,756854
364,511794
365,270867
366,32506
367,-201602
368,-431033
369,-655693
370,-874212
371,-1084458
372,-1273773
373,-1430026
374,-1554467
375,-1644189
376,-1699093
377,-1718621
378,-1703683
379,-1657003
380,-1580593
381,-1478512
382,-1352820
383,-1209127
384,-1052235
385,-888258
386,-721862
387,-558526
388,-402282
389,-259857
390,-134905
391,-29928
392,50259
393,107621
394,140464
395,148551
396,135389
397,102580
398,53416
399,-8799
400,-79558
401,-155516
402,-231601
403,-304445
404,-368320
405,-420723
406,-457679
407,-477735
408,-476309
409,-452747
410,-405980
411,-334210
412,-238353
413,-116260
414,29866
415,198174
416,372934
417,544761
418,714198
419,880263
420,1043587
421,1204556
422,1362785
423,1518547
424,1671305
425,1822029
426,1970295
427,2116750
428,2260108
429,2401768
430,2541931
431,2678980
432,2814589
433,2948454
434,3080222
435,3208862
436,3337038
437,3462423
438,3587144
439,3708730
440,3829045
441,3947394
442,4064296
443,4178752
444,4291906
445,4403526
446,4512940
447,4621909
448,4727585
449,4832912
450,4935794
451,5038072
452,5138033
453,5236325
454,5333270
455,5428299
456,5521844
457,5613298
458,5704485
459,5793725
460,5867194
461,5897653
462,5891765
463,5846246
464,5763604
465,5642133
466,5484140
467,5289967
468,5058673
469,4792863
470,4506550
471,4220496
472,3934277
473,3649301
474,3365863
475,3086780
476,2811547
477,2540812
478,2272286
479,2008009
480,1746572
481,1488374
482,1234177
483,981450
484,732258
485,484457
486,239998
487,-1936
488,-238271
489,-468746
490,-693089
491,-910469
492,-1112845
493,-1285461
494,-1424769
