# note,坏棒 总长1000m 铁头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,-10
# time,2026-07-31 21:28:55
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,72
# defect_index,0
# bottom_index,0
# distance_mm,190
# threshold,0
# peak_abs,8293309
index,raw24
0,11379
1,11250
2,11465
3,10863
4,11054
5,11109
6,10987
7,11234
8,11824
9,11015
10,11622
11,11156
12,10859
13,10849
14,10784
15,10671
16,10469
17,10636
18,11171
19,11177
20,10448
21,10551
22,11166
23,10412
24,10963
25,10458
26,10256
27,10519
28,10678
29,10756
30,10627
31,10618
32,10336
33,9975
34,10126
35,10261
36,10299
37,9922
38,9921
39,10264
40,9638
41,9701
42,9876
43,9675
44,9802
45,9808
46,9375
47,9318
48,9237
49,9580
50,10002
51,9241
52,9560
53,9359
54,9822
55,8244
56,8259
57,7514
58,5417
59,6561
60,8296
61,-182713
62,-419899
63,-621159
64,-816500
65,-1034800
66,-1257226
67,-1457192
68,-1608110
69,-1805866
70,-2017661
71,-2066519
72,-1839667
73,-1641994
74,-1428898
75,-1231955
76,-1029205
77,-834047
78,-640209
79,-447051
80,-261373
81,-68669
82,108540
83,295134
84,188162
85,-71005
86,-288780
87,-514817
88,-737034
89,-918072
90,-768832
91,-566506
92,-377981
93,-185087
94,-3696
95,186505
96,356146
97,546558
98,479084
99,207233
100,-22472
101,-265462
102,-493805
103,-733361
104,-929783
105,-930270
106,-746492
107,-555913
108,-366381
109,-179760
110,6341
111,190773
112,371445
113,550280
114,724421
115,897444
116,1065007
117,1231669
118,1388766
119,1550741
120,1666952
121,1658252
122,1598026
123,1559127
124,1586704
125,1672271
126,1796210
127,1914679
128,2016789
129,2085271
130,2135473
131,2193852
132,2317160
133,2461221
134,2598425
135,2737611
136,2872253
137,3006327
138,3137144
139,3266449
140,3391818
141,3516460
142,3637687
143,3756819
144,3843904
145,3892835
146,3941031
147,3989670
148,4048463
149,4119705
150,4222090
151,4332279
152,4443126
153,4551144
154,4659460
155,4765051
156,4869798
157,4973235
158,5074980
159,5175320
160,5273849
161,5371189
162,5466085
163,5559098
164,5644443
165,5597370
166,5352351
167,5042218
168,4741266
169,4450271
170,4170584
171,3896915
172,3628711
173,3363772
174,3103578
175,2845919
176,2592539
177,2341631
178,2094897
179,1851713
180,1614215
181,1364842
182,1169291
183,1290077
184,1460703
185,1622285
186,1782111
187,1939157
188,2092721
189,2244625
190,2393471
191,2539891
192,2684133
193,2826525
194,2966628
195,3103458
196,3238687
197,3370412
198,3500008
199,3627797
200,3752946
201,3876440
202,3998055
203,4119079
204,4236776
205,4354435
206,4469023
207,4583206
208,4694366
209,4804777
210,4912879
211,5018887
212,5123362
213,5225873
214,5326963
215,5426288
216,5523946
217,5619424
218,5715466
219,5809440
220,5901691
221,5992858
222,6083551
223,6172008
224,6259679
225,6346019
226,6430332
227,6513667
228,6595040
229,6676059
230,6753412
231,6831547
232,6906289
233,6979974
234,7052594
235,7121493
236,7163528
237,7185998
238,7209744
239,7238200
240,7276325
241,7316860
242,7355863
243,7384413
244,7394816
245,7381569
246,7337748
247,7263612
248,7155470
249,7018748
250,6852467
251,6661599
252,6442578
253,6197999
254,5930563
255,5647575
256,5360317
257,5074855
258,4797387
259,4542810
260,4324295
261,4156687
262,4055756
263,4029893
264,4090929
265,4208989
266,4325700
267,4441572
268,4554645
269,4667089
270,4777968
271,4888192
272,4995868
273,5103322
274,5207723
275,5311087
276,5411367
277,5510626
278,5606937
279,5701693
280,5794645
281,5877970
282,5855940
283,5676441
284,5387356
285,5076867
286,4773071
287,4473872
288,4181014
289,3892352
290,3608173
291,3328188
292,3051894
293,2793761
294,2636780
295,2643930
296,2768528
297,2908526
298,3043778
299,3178031
300,3310267
301,3440183
302,3568531
303,3694711
304,3819876
305,3942938
306,4064121
307,4183464
308,4300506
309,4416269
310,4529346
311,4641761
312,4751810
313,4861182
314,4968173
315,5074574
316,5178131
317,5281491
318,5382470
319,5482245
320,5580232
321,5677382
322,5772753
323,5866089
324,5959413
325,6049901
326,6140323
327,6227589
328,6315045
329,6399882
330,6483989
331,6567189
332,6648571
333,6729720
334,6808418
335,6887267
336,6963434
337,7039664
338,7113549
339,7186873
340,7258955
341,7328717
342,7397903
343,7465120
344,7532088
345,7595281
346,7661018
347,7699082
348,7680535
349,7612917
350,7502724
351,7352104
352,7166006
353,6945827
354,6694900
355,6412098
356,6107612
357,5802114
358,5496310
359,5192927
360,4889365
361,4592800
362,4298751
363,4010067
364,3724369
365,3443290
366,3166134
367,2892596
368,2622354
369,2355634
370,2094267
371,1840947
372,1602506
373,1420983
374,1315569
375,1287793
376,1341171
377,1471520
378,1628940
379,1780949
380,1931532
381,2079032
382,2225170
383,2368395
384,2509409
385,2648735
386,2786556
387,2921008
388,3053715
389,3183150
390,3311754
391,3436117
392,3560674
393,3681079
394,3800374
395,3916206
396,4032224
397,4118972
398,4155709
399,4157649
400,4130806
401,4087046
402,4034235
403,3984574
404,3947040
405,3929142
406,3938582
407,3980110
408,4061360
409,4171800
410,4285355
411,4396039
412,4506583
413,4614361
414,4720861
415,4826125
416,4930056
417,5032390
418,5133832
419,5233781
420,5331590
421,5429771
422,5524893
423,5619826
424,5712676
425,5805707
426,5895918
427,5985334
428,6073724
429,6160702
430,6246878
431,6331116
432,6415671
