# note,坏棒 总长1000m 铁头 200
# rod_len_mm,
# defect_true_mm,200
# err_mm,-39
# time,2026-07-31 21:32:38
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,72
# defect_index,0
# bottom_index,0
# distance_mm,161
# threshold,0
# peak_abs,6902843
index,raw24
0,5202
1,4865
2,4921
3,5296
4,5183
5,5143
6,5534
7,5285
8,5029
9,4908
10,5515
11,5371
12,5698
13,5281
14,5617
15,5120
16,5087
17,5639
18,4838
19,4981
20,5293
21,5372
22,4931
23,5187
24,4922
25,5537
26,5057
27,5288
28,4912
29,5295
30,4862
31,5078
32,5085
33,5564
34,5732
35,5003
36,5378
37,5034
38,5833
39,5184
40,5184
41,5111
42,5470
43,5766
44,5509
45,5604
46,5564
47,5403
48,5498
49,5474
50,5401
51,6144
52,5407
53,6359
54,4822
55,6269
56,3477
57,4940
58,24547
59,114488
60,-32478
61,-278658
62,-494896
63,-717211
64,-929844
65,-1141490
66,-1348071
67,-1550402
68,-1752301
69,-1941967
70,-2149122
71,-2259827
72,-2062416
73,-1852332
74,-1641946
75,-1438273
76,-1237114
77,-1035379
78,-842452
79,-640957
80,-461055
81,-252295
82,-255224
83,-504201
84,-713851
85,-942380
86,-1124745
87,-993168
88,-783191
89,-592559
90,-396447
91,-208790
92,-20181
93,161254
94,343898
95,519528
96,695313
97,865924
98,1000786
99,817552
100,557300
101,318464
102,80265
103,-154033
104,-383934
105,-626167
106,-789339
107,-633778
108,-439173
109,-247839
110,-60945
111,125495
112,306327
113,486842
114,659966
115,833366
116,995856
117,1165550
118,1217688
119,1010004
120,750264
121,497237
122,251032
123,8545
124,-229816
125,-465724
126,-698819
127,-929014
128,-1159268
129,-1357391
130,-1391769
131,-1244687
132,-1044663
133,-852159
134,-660095
135,-471935
136,-286565
137,-103554
138,75338
139,254225
140,403234
141,460601
142,435017
143,343780
144,203290
145,48025
146,-81381
147,-166411
148,-181543
149,-120113
150,21590
151,200019
152,376187
153,550525
154,721370
155,889818
156,1054733
157,1216372
158,1376672
159,1532432
160,1686797
161,1824239
162,1839976
163,1662783
164,1397396
165,1139290
166,886663
167,645314
168,409476
169,178714
170,-48788
171,-273678
172,-493717
173,-712417
174,-923466
175,-1136745
176,-1337374
177,-1545867
178,-1742054
179,-1963081
180,-1941514
181,-1718445
182,-1521475
183,-1311625
184,-1115145
185,-913025
186,-719441
187,-523530
188,-333778
189,-143697
190,42169
191,226340
192,405728
193,583294
194,756279
195,926611
196,1093554
197,1257580
198,1419091
199,1577901
200,1734813
201,1889041
202,2040082
203,2189185
204,2336606
205,2480769
206,2622786
207,2761938
208,2899537
209,3034383
210,3167108
211,3297146
212,3424639
213,3550501
214,3673084
215,3794563
216,3912516
217,4030102
218,4144794
219,4259528
220,4369696
221,4479147
222,4587704
223,4693344
224,4798923
225,4901089
226,5003027
227,5101400
228,5198474
229,5249791
230,5256414
231,5231901
232,5192686
233,5147508
234,5108240
235,5077168
236,5056444
237,5038483
238,5007876
239,4950873
240,4846124
241,4688077
242,4458472
243,4179120
244,3891154
245,3603911
246,3321807
247,3043514
248,2769102
249,2498516
250,2231363
251,1972947
252,1748754
253,1628196
254,1617021
255,1716968
256,1871502
257,2021610
258,2170419
259,2316314
260,2460663
261,2601747
262,2742053
263,2878999
264,3015191
265,3149111
266,3279559
267,3408126
268,3534398
269,3658487
270,3780208
271,3898859
272,4017391
273,4117348
274,4124374
275,4029086
276,3824738
277,3548680
278,3264366
279,2982112
280,2705628
281,2434082
282,2166776
283,1903208
284,1643736
285,1386047
286,1132342
287,880315
288,632728
289,391995
290,220891
291,184576
292,283529
293,458951
294,631351
295,802578
296,969360
297,1135521
298,1297391
299,1457824
300,1615302
301,1771009
302,1923593
303,2074574
304,2221729
305,2367506
306,2510200
307,2651590
308,2790154
309,2926918
310,3061696
311,3194067
312,3324997
313,3453383
314,3580129
315,3704804
316,3827808
317,3948741
318,4067731
319,4183954
320,4299379
321,4412343
322,4523732
323,4633524
324,4740974
325,4847371
326,4950436
327,5053951
328,5154686
329,5253353
330,5351096
331,5449107
332,5541809
333,5634765
334,5726173
335,5816306
336,5903516
337,5991075
338,6053824
339,6063133
340,6029017
341,5949273
342,5832219
343,5679331
344,5497117
345,5291046
346,5068328
347,4834374
348,4592336
349,4346295
350,4099172
351,3852888
352,3608002
353,3365073
354,3122222
355,2879473
356,2634810
357,2389184
358,2143420
359,1898367
360,1654471
361,1412893
362,1175473
363,941097
364,714158
365,501263
366,308930
367,141036
368,1507
369,-102909
370,-169977
371,-197620
372,-181780
373,-121326
374,-17375
375,128979
376,303428
377,476558
378,647660
379,814821
380,980146
381,1142626
382,1302175
383,1459216
384,1613109
385,1765561
386,1913369
387,2059287
388,2202492
389,2342815
390,2452817
391,2519406
392,2547970
393,2542827
394,2508245
395,2450282
396,2374391
397,2288237
398,2198182
399,2109994
400,2030704
401,1964592
402,1914424
403,1885311
404,1879761
405,1899235
406,1944251
407,2014518
408,2109952
409,2230950
410,2368686
411,2508909
412,2647051
413,2782543
414,2915388
415,3046904
416,3176340
417,3303848
418,3428869
419,3552290
420,3674193
421,3793976
422,3912337
423,4028595
424,4143920
425,4257454
426,4369614
427,4479601
428,4588950
429,4695950
430,4801584
431,4906262
432,5009031
433,5110252
434,5209996
435,5308864
436,5405192
437,5501732
438,5595580
439,5688649
440,5779467
441,5869361
442,5958085
443,6044630
444,6131068
445,6215295
446,6298544
447,6379568
448,6460269
449,6538736
450,6617458
451,6693410
452,6768817
453,6841615
454,6888372
455,6902843
456,6886712
457,6842607
458,6768900
459,6668882
460,6539988
461,6386165
462,6205098
463,5999748
464,5768288
465,5512632
466,5234551
467,4944936
468,4656252
469,4368044
470,4083231
471,3798452
472,3517396
473,3237599
474,2962148
475,2689634
476,2421082
477,2156002
478,1895379
479,1640092
480,1389764
481,1145314
482,907150
483,679623
484,482604
485,323457
486,202050
487,119265
488,74635
489,66282
490,92577
491,151454
492,238996
493,354886
494,492347
495,649839
496,814424
497,978588
498,1139677
499,1298010
500,1452923
501,1606306
502,1756350
503,1904303
504,2049943
505,2192949
506,2333249
507,2471396
508,2608190
509,2741496
510,2874777
511,3003578
