hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,21:25:02,hit_001_20260731_212502.csv,512,DEFECT,HIGH,75,0,0,440,0,6794297,6794297,-2816880,2398111.2,,200,240,坏棒 总长1000m 铁头 200
2,21:25:03,hit_002_20260731_212503.csv,512,DEFECT,HIGH,75,0,0,176,0,7089862,7089862,-2684924,2297601.1,,200,-24,坏棒 总长1000m 铁头 200
3,21:25:04,hit_003_20260731_212504.csv,512,DEFECT,HIGH,75,0,0,440,0,5480764,5480764,-2855062,1083643.9,,200,240,坏棒 总长1000m 铁头 200
4,21:25:05,hit_004_20260731_212505.csv,512,DEFECT,HIGH,75,0,0,190,0,6659610,6659610,-2763377,2405773.8,,200,-10,坏棒 总长1000m 铁头 200
5,21:25:05,hit_005_20260731_212505.csv,512,DEFECT,HIGH,74,0,0,190,0,7445094,7445094,-2575093,2970567.4,,200,-10,坏棒 总长1000m 铁头 200
6,21:25:06,hit_006_20260731_212506.csv,512,DEFECT,HIGH,75,0,0,470,0,6694848,6694848,-2727713,2551518.3,,200,270,坏棒 总长1000m 铁头 200
7,21:25:06,hit_007_20260731_212506.csv,512,DEFECT,HIGH,75,0,0,455,0,6580401,6580401,-2667407,2430843.0,,200,255,坏棒 总长1000m 铁头 200
8,21:25:06,hit_008_20260731_212506.csv,512,DEFECT,HIGH,75,0,0,455,0,6297527,6297527,-2750704,2215588.6,,200,255,坏棒 总长1000m 铁头 200
9,21:25:07,hit_009_20260731_212507.csv,512,DEFECT,HIGH,76,0,0,734,0,6091263,6091263,-2959347,2049154.8,,200,534,坏棒 总长1000m 铁头 200
10,21:25:07,hit_010_20260731_212507.csv,512,DEFECT,HIGH,76,0,0,470,0,6159296,6159296,-2823668,2095743.9,,200,270,坏棒 总长1000m 铁头 200
11,21:25:07,hit_011_20260731_212507.csv,512,DEFECT,HIGH,75,0,0,470,0,6372231,6372231,-2769936,2299219.0,,200,270,坏棒 总长1000m 铁头 200
12,21:25:08,hit_012_20260731_212508.csv,512,DEFECT,HIGH,77,0,0,719,0,6219132,6219132,-3068417,2098124.7,,200,519,坏棒 总长1000m 铁头 200
13,21:25:08,hit_013_20260731_212508.csv,512,DEFECT,HIGH,76,0,0,719,0,6132460,6132460,-2944365,2207831.4,,200,519,坏棒 总长1000m 铁头 200
14,21:25:08,hit_014_20260731_212508.csv,512,DEFECT,HIGH,76,0,0,455,0,6075931,6075931,-2816581,2196856.5,,200,255,坏棒 总长1000m 铁头 200
15,21:25:09,hit_015_20260731_212509.csv,512,DEFECT,HIGH,77,0,0,425,0,6264040,6264040,-2966809,1722697.9,,200,225,坏棒 总长1000m 铁头 200
16,21:25:09,hit_016_20260731_212509.csv,512,DEFECT,HIGH,76,0,0,440,0,6431546,6431546,-2888326,1764582.7,,200,240,坏棒 总长1000m 铁头 200
17,21:25:25,hit_017_20260731_212525.csv,512,DEFECT,HIGH,83,0,0,543,0,6533005,6533005,-4409380,720232.3,,200,343,坏棒 总长1000m 铁头 200
18,21:25:26,hit_018_20260731_212526.csv,512,DEFECT,HIGH,84,0,0,587,0,5333664,5333664,-4322330,467395.3,,200,387,坏棒 总长1000m 铁头 200
19,21:25:26,hit_019_20260731_212526.csv,512,DEFECT,HIGH,82,0,0,587,0,5700430,5700430,-4068017,516492.7,,200,387,坏棒 总长1000m 铁头 200
20,21:25:26,hit_020_20260731_212526.csv,512,DEFECT,HIGH,90,0,0,631,0,5369860,3737856,-5369860,-361812.1,,200,431,坏棒 总长1000m 铁头 200
21,21:25:27,hit_021_20260731_212527.csv,512,DEFECT,HIGH,91,0,0,675,0,5600084,4278437,-5600084,-26521.3,,200,475,坏棒 总长1000m 铁头 200
22,21:25:28,hit_022_20260731_212528.csv,512,DEFECT,HIGH,79,0,0,660,0,4590730,4590730,-3563665,873598.5,,200,460,坏棒 总长1000m 铁头 200
23,21:25:28,hit_023_20260731_212528.csv,512,DEFECT,HIGH,74,0,0,146,0,7344238,7344238,-2458662,2009434.1,,200,-54,坏棒 总长1000m 铁头 200
24,21:25:29,hit_024_20260731_212529.csv,512,DEFECT,HIGH,81,0,0,690,0,4208441,4208441,-3790087,197645.9,,200,490,坏棒 总长1000m 铁头 200
25,21:25:29,hit_025_20260731_212529.csv,512,DEFECT,HIGH,75,0,0,455,0,4629704,4629704,-2900047,1007338.4,,200,255,坏棒 总长1000m 铁头 200
26,21:25:30,hit_026_20260731_212530.csv,512,DEFECT,HIGH,79,0,0,690,0,4317766,4317766,-3521103,536541.4,,200,490,坏棒 总长1000m 铁头 200
27,21:25:30,hit_027_20260731_212530.csv,512,DEFECT,HIGH,74,0,0,425,0,5566857,5566857,-2568334,1395583.1,,200,225,坏棒 总长1000m 铁头 200
28,21:25:31,hit_028_20260731_212531.csv,512,DEFECT,HIGH,74,0,0,176,0,5729226,5729226,-2527698,1541861.7,,200,-24,坏棒 总长1000m 铁头 200
29,21:25:31,hit_029_20260731_212531.csv,512,DEFECT,HIGH,73,0,0,161,0,7064275,7064275,-2384587,2795671.8,,200,-39,坏棒 总长1000m 铁头 200
30,21:25:32,hit_030_20260731_212532.csv,512,DEFECT,HIGH,74,0,0,176,0,6344417,6344417,-2553149,1590645.0,,200,-24,坏棒 总长1000m 铁头 200
31,21:25:32,hit_031_20260731_212532.csv,512,DEFECT,HIGH,76,0,0,440,0,5098960,5098960,-2961184,741180.1,,200,240,坏棒 总长1000m 铁头 200
32,21:25:33,hit_032_20260731_212533.csv,512,DEFECT,HIGH,77,0,0,425,0,5492935,5492935,-3230183,808899.4,,200,225,坏棒 总长1000m 铁头 200
33,21:25:33,hit_033_20260731_212533.csv,512,DEFECT,HIGH,79,0,0,411,0,5445940,5445940,-3304633,677615.6,,200,211,坏棒 总长1000m 铁头 200
34,21:25:33,hit_034_20260731_212533.csv,512,DEFECT,HIGH,76,0,0,425,0,5800156,5800156,-3052798,913878.8,,200,225,坏棒 总长1000m 铁头 200
35,21:25:34,hit_035_20260731_212534.csv,512,DEFECT,HIGH,75,0,0,161,0,6316053,6316053,-2818090,1189200.4,,200,-39,坏棒 总长1000m 铁头 200
36,21:25:34,hit_036_20260731_212534.csv,512,DEFECT,HIGH,73,0,0,161,0,6367669,6367669,-2433303,1419338.2,,200,-39,坏棒 总长1000m 铁头 200
37,21:25:35,hit_037_20260731_212535.csv,512,DEFECT,HIGH,82,0,0,660,0,3959988,3814371,-3959988,121685.7,,200,460,坏棒 总长1000m 铁头 200
38,21:25:35,hit_038_20260731_212535.csv,512,DEFECT,HIGH,75,0,0,190,0,4443440,4443440,-2856511,871401.5,,200,-10,坏棒 总长1000m 铁头 200
