# note,坏棒 总长1000m 铁头 475
# rod_len_mm,
# defect_true_mm,200
# err_mm,901
# time,2026-07-31 22:02:59
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,99
# defect_index,0
# bottom_index,0
# distance_mm,1101
# threshold,0
# peak_abs,6201711
index,raw24
0,-23222
1,-23843
2,-24928
3,-26061
4,-27706
5,-28606
6,-29843
7,-30295
8,-31931
9,-33759
10,-34963
11,-36655
12,-37834
13,-39782
14,-41417
15,-43244
16,-44903
17,-46977
18,-48771
19,-51141
20,-53903
21,-55817
22,-58114
23,-61099
24,-63851
25,-66619
26,-69827
27,-72867
28,-76274
29,-79992
30,-83711
31,-87916
32,-92130
33,-97334
34,-102218
35,-107998
36,-113769
37,-120787
38,-127060
39,-135165
40,-143332
41,-152571
42,-161152
43,-171676
44,-181607
45,-193433
46,-206130
47,-219200
48,-234334
49,-249225
50,-265538
51,-282426
52,-301440
53,-320307
54,-342316
55,-365122
56,-390189
57,-418070
58,-446890
59,-479228
60,-512217
61,-548195
62,-587072
63,-628584
64,-674036
65,-724121
66,-777001
67,-835378
68,-899084
69,-966950
70,-1041448
71,-1122393
72,-1210808
73,-1307724
74,-1412700
75,-1526992
76,-1649598
77,-1781156
78,-1921323
79,-2070368
80,-2227475
81,-2394076
82,-2570719
83,-2753333
84,-2935989
85,-3118367
86,-3299674
87,-3479255
88,-3657967
89,-3834992
90,-4012196
91,-4187434
92,-4361475
93,-4532735
94,-4701869
95,-4867991
96,-5030821
97,-5192671
98,-5350797
99,-5507280
100,-5657640
101,-5802445
102,-5941377
103,-6069403
104,-6158294
105,-6201711
106,-6194890
107,-6140333
108,-6034560
109,-5878679
110,-5673738
111,-5430765
112,-5186294
113,-4944725
114,-4707001
115,-4471747
116,-4241065
117,-4012131
118,-3786553
119,-3564203
120,-3344712
121,-3127792
122,-2914274
123,-2704086
124,-2495340
125,-2290387
126,-2087092
127,-1887181
128,-1689423
129,-1494728
130,-1301810
131,-1110899
132,-923851
133,-737011
134,-561465
135,-412844
136,-286082
137,-179407
138,-92361
139,-22414
140,31973
141,74857
142,107792
143,136483
144,162426
145,188062
146,216295
147,250197
148,289399
149,336939
150,394698
151,462362
152,541457
153,630839
154,731178
155,839369
156,954834
157,1076190
158,1202275
159,1331184
160,1460021
161,1588907
162,1712777
163,1831816
164,1942992
165,2045875
166,2136913
167,2217492
168,2284478
169,2338087
170,2377561
171,2402615
172,2413746
173,2411051
174,2395933
175,2370264
176,2335231
177,2290858
178,2241042
179,2185185
180,2124414
181,2059771
182,1992783
183,1924244
184,1852929
185,1781215
186,1707165
187,1632461
188,1553814
189,1472808
190,1387308
191,1297451
192,1201284
193,1098458
194,987340
195,868227
196,739681
197,602135
198,455141
199,299046
200,133953
201,-38311
202,-216123
203,-397632
204,-579576
205,-761249
206,-936724
207,-1104121
208,-1259331
209,-1398713
210,-1519238
211,-1615605
212,-1685208
213,-1725130
214,-1731615
215,-1703148
216,-1636524
217,-1530588
218,-1384321
219,-1201328
220,-1006374
221,-814371
222,-624895
223,-437907
224,-252606
225,-70191
226,110154
227,288348
228,463089
229,635145
230,804411
231,970153
232,1134130
233,1294352
234,1453026
235,1607841
236,1760132
237,1909925
238,2057036
239,2201273
240,2344116
241,2482862
242,2620335
243,2754487
244,2885183
245,2985783
246,3055698
247,3099917
248,3119851
249,3117702
250,3098985
251,3064959
252,3020001
253,2966112
254,2907166
255,2846307
256,2785608
257,2728900
258,2677199
259,2634128
260,2600558
261,2578577
262,2569854
263,2574100
264,2593514
265,2627637
266,2676413
267,2740046
268,2817215
269,2906664
270,3008149
271,3119957
272,3239001
273,3362861
274,3485907
275,3608849
276,3729209
277,3847593
278,3963772
279,4078912
280,4190982
281,4297526
282,4392762
283,4476953
284,4550183
285,4611411
286,4661072
287,4698015
288,4723770
289,4737041
290,4739895
291,4732132
292,4714179
293,4687219
294,4651551
295,4607719
296,4555957
297,4497785
298,4433211
299,4363454
300,4286930
301,4206878
