# note,坏棒 总长1000m 铁头 475
# rod_len_mm,
# defect_true_mm,200
# err_mm,-10
# time,2026-07-31 22:14:18
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,75
# defect_index,0
# bottom_index,0
# distance_mm,190
# threshold,0
# peak_abs,5470996
index,raw24
0,-18166
1,-18196
2,-18690
3,-18120
4,-18741
5,-18867
6,-18889
7,-19438
8,-19396
9,-19594
10,-19967
11,-19733
12,-20290
13,-20696
14,-20653
15,-21027
16,-21136
17,-21502
18,-21043
19,-21768
20,-21862
21,-22075
22,-22400
23,-22454
24,-22779
25,-23312
26,-23533
27,-23554
28,-23871
29,-23444
30,-23530
31,-23815
32,-23860
33,-24209
34,-24758
35,-24747
36,-25288
37,-26173
38,-26105
39,-26110
40,-26403
41,-26800
42,-26813
43,-27337
44,-27766
45,-28386
46,-28575
47,-29756
48,-30032
49,-31260
50,-32008
51,-33052
52,-34800
53,-36932
54,-40840
55,-43979
56,-51021
57,-58247
58,-70800
59,-87007
60,-120493
61,-183590
62,-365415
63,-608843
64,-829368
65,-1043555
66,-1251124
67,-1457971
68,-1658641
69,-1857974
70,-2049484
71,-2244929
72,-2424119
73,-2625423
74,-2701071
75,-2481165
76,-2270158
77,-2051969
78,-1845463
79,-1636613
80,-1434070
81,-1233119
82,-1033368
83,-839642
84,-642339
85,-458101
86,-279213
87,-368523
88,-620790
89,-848690
90,-1078218
91,-1212967
92,-1217779
93,-1150054
94,-1036882
95,-907139
96,-777724
97,-673133
98,-571683
99,-458869
100,-296893
101,-113641
102,65045
103,238261
104,393832
105,544368
106,712213
107,877318
108,1035707
109,1119573
110,1072140
111,868017
112,609319
113,359069
114,116081
115,-123109
116,-351590
117,-586027
118,-806908
119,-1048561
120,-1085865
121,-881669
122,-693177
123,-493765
124,-307640
125,-114739
126,68107
127,254219
128,430620
129,610615
130,775389
131,951230
132,940450
133,689751
134,440243
135,187829
136,-56234
137,-301227
138,-538678
139,-729332
140,-800955
141,-797753
142,-764312
143,-741595
144,-753248
145,-810476
146,-904441
147,-1016099
148,-1110407
149,-1151935
150,-1107123
151,-955884
152,-761327
153,-572450
154,-383876
155,-199485
156,-16317
157,163397
158,338089
159,513384
160,637609
161,641707
162,550893
163,373922
164,143468
165,-98781
166,-342073
167,-581711
168,-815304
169,-1043549
170,-1263349
171,-1477227
172,-1681839
173,-1881738
174,-2074740
175,-2266463
176,-2451986
177,-2637335
178,-2814293
179,-2998261
180,-3173207
181,-3361492
182,-3281033
183,-3038849
184,-2826094
185,-2601405
186,-2389231
187,-2173260
188,-1964330
189,-1755274
190,-1551276
191,-1347823
192,-1148362
193,-949990
194,-754618
195,-563734
196,-373865
197,-188812
198,-4820
199,175276
200,352911
201,527148
202,697899
203,865638
204,1029748
205,1191663
206,1348541
207,1505289
208,1629689
209,1691554
210,1712267
211,1704298
212,1681642
213,1653877
214,1625803
215,1600229
216,1570905
217,1528185
218,1457655
219,1350381
220,1198784
221,998774
222,762388
223,518631
224,275399
225,33190
226,-202686
227,-430582
228,-607905
229,-680383
230,-618604
231,-441000
232,-254402
233,-69435
234,113381
235,294111
236,471956
237,648234
238,821467
239,992182
240,1159277
241,1323584
242,1483910
243,1641353
244,1794409
245,1944446
246,2090000
247,2231633
248,2279473
249,2193242
250,2022847
251,1801120
252,1569412
253,1358724
254,1196830
255,1102836
256,1087798
257,1155753
258,1297340
259,1457077
260,1612491
261,1766855
262,1917327
263,2066557
264,2212217
265,2355890
266,2495131
267,2633354
268,2722065
269,2718941
270,2629865
271,2452048
272,2205100
273,1940159
274,1674554
275,1410982
276,1151858
277,894997
278,641360
279,391097
280,142858
281,-101368
282,-337868
283,-563866
284,-759101
285,-885297
286,-939725
287,-915498
288,-806458
289,-626032
290,-437227
291,-251102
292,-67431
293,115041
294,294539
295,471831
296,646645
297,818638
298,986594
299,1153234
300,1315877
301,1476845
302,1634256
303,1789353
304,1941254
305,2091145
306,2238186
307,2382609
308,2525054
309,2663794
310,2801525
311,2934599
312,3066272
313,3195186
314,3322092
315,3445590
316,3566322
317,3641182
318,3651786
319,3609164
320,3518604
321,3390430
322,3227264
323,3038886
324,2830795
325,2611522
326,2385939
327,2158576
328,1932416
329,1710548
330,1495635
331,1289797
332,1094535
333,911514
334,742650
335,589432
336,457816
337,350200
338,271189
339,225956
340,221128
341,260581
342,351646
343,497811
344,668766
345,837524
346,1004310
347,1167203
348,1328557
349,1486531
350,1642885
351,1796749
352,1948217
353,2097307
354,2243203
355,2386906
356,2527566
357,2666306
358,2801612
359,2935158
360,3066056
361,3191650
362,3266716
363,3274885
364,3228309
365,3136171
366,3007516
367,2853565
368,2684465
369,2508345
370,2335527
371,2170426
372,2021065
373,1888698
374,1776172
375,1682867
376,1607509
377,1547009
378,1496820
379,1452453
380,1409852
381,1363760
382,1310466
383,1247498
384,1171577
385,1082410
386,980430
387,869078
388,750468
389,630129
390,511532
391,402597
392,306580
393,231551
394,179810
395,156404
396,163225
397,203581
398,277724
399,387291
400,530155
401,696723
402,864373
403,1029028
404,1190286
405,1350629
406,1506960
407,1661928
408,1813469
409,1963256
410,2110208
411,2254711
412,2396939
413,2536999
414,2674705
415,2810667
416,2944355
417,3075452
418,3204941
419,3332373
420,3458326
421,3581720
422,3703475
423,3822183
424,3939684
425,4055131
426,4169292
427,4281239
428,4389661
429,4499149
430,4604600
431,4709766
432,4791759
433,4842374
434,4865095
435,4862229
436,4836987
437,4790373
438,4725588
439,4644659
440,4552508
441,4450464
442,4342001
443,4231215
444,4120690
445,4012995
446,3913697
447,3824476
448,3748273
449,3687359
450,3645333
451,3623336
452,3622534
453,3644772
454,3690943
455,3760980
456,3855345
457,3969010
458,4087838
459,4203363
460,4317802
461,4430243
462,4541046
463,4649051
464,4757388
465,4862063
466,4965798
467,5066943
468,5167117
469,5264526
470,5358316
471,5427205
472,5462967
473,5470996
474,5450752
475,5405599
476,5337427
477,5251271
478,5149750
479,5038834
480,4920739
481,4802194
482,4685544
483,4573476
484,4469701
485,4374188
486,4290686
487,4216242
488,4153143
489,4098700
490,4052704
491,4013585
492,3978407
493,3948466
494,3920872
495,3894881
496,3869765
497,3846813
498,3824519
499,3805677
500,3789468
501,3780213
502,3776696
503,3782035
504,3798181
505,3824974
506,3865635
507,3919635
508,3988900
509,4072781
510,4172612
511,4283455
