# note,坏棒 总长1000m 铁头 475
# rod_len_mm,
# defect_true_mm,200
# err_mm,
# time,2026-07-31 22:03:51
# points,512
# state,NORMAL
# confidence,LOW
# result_ready,1
# impact_index,81
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,0
# peak_abs,975131
index,raw24
0,38698
1,37389
2,35353
3,33908
4,32064
5,30604
6,29073
7,28181
8,27450
9,25950
10,24771
11,23152
12,21749
13,20506
14,19336
15,18310
16,17419
17,16049
18,14975
19,13893
20,12780
21,11810
22,10961
23,10167
24,9182
25,8093
26,7260
27,6539
28,5634
29,4609
30,3969
31,3096
32,1616
33,128
34,-1048
35,-2696
36,-5040
37,-7375
38,-10574
39,-13469
40,-16851
41,-20041
42,-24023
43,-27820
44,-32008
45,-35765
46,-40688
47,-39363
48,-8790
49,16755
50,33065
51,33725
52,22328
53,-1730
54,-35194
55,-77246
56,-125460
57,-180941
58,-237951
59,-297266
60,-358101
61,-417442
62,-475391
63,-532005
64,-586756
65,-638692
66,-686902
67,-731898
68,-772969
69,-809683
70,-841608
71,-870593
72,-895447
73,-916169
74,-934850
75,-949255
76,-959244
77,-966678
78,-972216
79,-974610
80,-975131
81,-974204
82,-971421
83,-967326
84,-961536
85,-954867
86,-947070
87,-937794
88,-928216
89,-918703
90,-909158
91,-898639
92,-888594
93,-877957
94,-867714
95,-857096
96,-847463
97,-836496
98,-826202
99,-816365
100,-806473
101,-796895
102,-787014
103,-775245
104,-764031
105,-752338
106,-740566
107,-727675
108,-714498
109,-700859
110,-687502
111,-674034
112,-660255
113,-646927
114,-632456
115,-619467
116,-606087
117,-593133
118,-581053
119,-568502
120,-556952
121,-544676
122,-533106
123,-521217
124,-509833
125,-497891
126,-486982
127,-476602
128,-466664
129,-457343
130,-447903
131,-438617
132,-429643
133,-420823
134,-412891
135,-403953
136,-396424
137,-388375
138,-380480
139,-372441
140,-365780
141,-359607
142,-353323
143,-347088
144,-341174
145,-336308
146,-330539
147,-325323
148,-321419
149,-316452
150,-311637
151,-306927
152,-303514
153,-300084
154,-295864
155,-292484
