# note,坏棒 总长1000m 铁头 475
# rod_len_mm,
# defect_true_mm,200
# err_mm,152
# time,2026-07-31 22:04:30
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,79
# defect_index,0
# bottom_index,0
# distance_mm,352
# threshold,0
# peak_abs,3423643
index,raw24
0,3523
1,3578
2,3234
3,3161
4,2961
5,3097
6,2960
7,3184
8,3072
9,3015
10,3399
11,3462
12,3558
13,3165
14,3389
15,3445
16,3228
17,3396
18,2875
19,3523
20,2723
21,2842
22,2770
23,2897
24,2497
25,3561
26,3072
27,3648
28,3583
29,3615
30,3351
31,3454
32,3310
33,3789
34,3181
35,3204
36,2764
37,2052
38,2227
39,1755
40,995
41,-205
42,-1557
43,-3077
44,-4789
45,-7060
46,-9091
47,-11386
48,-13905
49,-16271
50,-18325
51,-20451
52,-23784
53,-26741
54,-30218
55,-34438
56,-39994
57,-49797
58,-67295
59,-97479
60,-146435
61,-227889
62,-360181
63,-565713
64,-798708
65,-1029923
66,-1255885
67,-1476492
68,-1689359
69,-1896089
70,-2096466
71,-2293802
72,-2485370
73,-2676826
74,-2865075
75,-3056638
76,-3244625
77,-3419500
78,-3423643
79,-3226889
80,-3004255
81,-2785880
82,-2570892
83,-2357754
84,-2147835
85,-1940404
86,-1736120
87,-1533700
88,-1334680
89,-1137573
90,-944643
91,-753271
92,-565587
93,-380470
94,-197736
95,-17328
96,159619
97,334999
98,496366
99,597978
100,648369
101,662617
102,660400
103,655304
104,659688
105,676415
106,700613
107,725703
108,743751
109,745844
110,727241
111,682088
112,607293
113,496171
114,348734
115,164747
116,-47257
117,-270411
118,-486842
119,-675783
120,-814772
121,-884449
122,-873389
123,-772218
124,-595228
125,-406067
126,-221689
127,-37198
128,143414
129,321405
130,497437
131,669625
132,839711
133,1004968
134,1167774
135,1325927
136,1483645
137,1606144
138,1656396
139,1651426
140,1597704
141,1508013
142,1387877
143,1247332
144,1090915
145,926150
146,757741
147,595497
148,446616
149,320617
150,222162
151,157255
152,125892
153,127876
154,159701
155,216105
156,291775
157,380075
158,473413
159,566403
160,649582
161,717647
162,761071
163,773682
164,749628
165,683424
166,569901
167,405663
168,188638
169,-49105
170,-290379
171,-530832
172,-766351
173,-996834
174,-1222384
175,-1442291
176,-1658179
177,-1868984
178,-2075324
179,-2278303
180,-2478177
181,-2675498
182,-2871635
183,-3065053
184,-3255655
185,-3385009
186,-3335260
187,-3135981
188,-2913454
189,-2697610
190,-2482705
191,-2271362
192,-2062005
193,-1855433
194,-1651159
195,-1448965
196,-1249180
197,-1052284
198,-857979
199,-666610
200,-477697
201,-290903
202,-107459
203,74530
204,252761
205,427546
206,600206
207,769165
208,934775
209,1096284
210,1256735
211,1397189
212,1485603
213,1533965
214,1548674
215,1536357
216,1503313
217,1451690
218,1385857
219,1304615
220,1211056
221,1103652
222,984518
223,852285
224,710293
225,558927
226,403474
227,246529
228,96043
229,-41681
230,-159548
231,-248096
232,-301218
233,-311309
234,-270527
235,-178526
236,-28872
237,149707
238,327161
239,501737
240,672708
241,842226
242,1008515
243,1172304
244,1332641
245,1491238
246,1646024
247,1797791
248,1946915
249,2092422
250,2236302
251,2359253
252,2426853
253,2451541
254,2437570
255,2395096
256,2332724
257,2259807
258,2185571
259,2116320
260,2060534
261,2019875
262,1999204
263,1998072
264,2015580
265,2048822
266,2092820
267,2141580
268,2188239
269,2226916
270,2249068
271,2248929
272,2219359
273,2157832
274,2059144
275,1922237
276,1747106
277,1535885
278,1295914
279,1049227
280,802579
281,555785
282,310637
283,68255
284,-171849
285,-407348
286,-637538
287,-861348
288,-1078019
289,-1280040
290,-1442755
291,-1560907
292,-1628909
293,-1646470
294,-1609181
295,-1518600
296,-1371311
297,-1180895
298,-986319
299,-794607
300,-604262
301,-417228
302,-231913
303,-49397
304,131713
305,309505
306,484659
307,656912
308,825808
309,991979
310,1155002
311,1316029
312,1473692
313,1628400
314,1780634
315,1929496
316,2075981
317,2219383
318,2360912
319,2472008
320,2533362
321,2551757
322,2530726
323,2473353
324,2384259
325,2266560
326,2124595
327,1962024
328,1782272
329,1589086
330,1386012
331,1175211
332,960820
333,743918
334,528772
335,316403
336,110020
337,-87521
338,-274238
339,-445949
340,-601566
341,-736645
342,-850707
343,-939787
344,-1002928
345,-1038718
346,-1045695
347,-1022551
348,-971659
349,-889868
350,-782191
351,-649792
352,-494729
353,-321444
354,-139709
355,40748
356,218807
357,393804
358,565940
359,735143
360,901254
361,1058832
362,1192414
363,1302293
364,1388102
365,1447684
366,1481987
367,1491839
368,1478760
369,1444068
370,1390620
371,1320858
372,1236737
373,1141914
374,1039590
375,930407
376,818310
377,703386
378,588260
379,473468
380,358778
381,245342
382,133360
383,21992
384,-89235
385,-199328
386,-311687
387,-422985
388,-536190
389,-649692
390,-763941
391,-877759
392,-991196
393,-1103635
394,-1213677
395,-1318656
396,-1418983
397,-1512354
398,-1597314
399,-1672999
400,-1737650
401,-1790726
402,-1829180
403,-1854964
404,-1864810
405,-1859918
406,-1838227
407,-1801883
408,-1748079
409,-1680417
410,-1597540
411,-1499977
412,-1389170
413,-1266080
414,-1132182
415,-987804
416,-835707
417,-676581
418,-511938
419,-344044
420,-173442
421,-2845
422,166804
423,332359
424,493063
425,647186
426,793187
427,929179
428,1054425
429,1167152
430,1266642
431,1351927
432,1423602
433,1478900
434,1519072
435,1543678
436,1553546
437,1547916
438,1527695
439,1492621
440,1445759
441,1385974
442,1315853
443,1235620
444,1147862
445,1053921
446,955121
447,853172
448,750188
449,648824
450,549417
451,454046
452,365271
453,283586
454,211303
455,149870
456,99043
457,61055
458,35336
459,22307
460,22585
461,35126
462,58666
463,92906
464,136455
465,187206
466,243383
467,303042
468,363397
469,423384
470,480661
471,533706
472,578769
473,616930
474,644887
475,662720
476,670015
477,665797
478,649868
479,623253
480,585401
481,538385
482,482743
483,420437
484,352497
485,279942
486,205196
487,129099
488,52427
489,-22315
490,-94049
491,-161941
