# note,坏棒 总长1000m 铁头 475
# rod_len_mm,
# defect_true_mm,200
# err_mm,
# time,2026-07-31 22:07:56
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,99
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,0
# peak_abs,4126399
index,raw24
0,-104240
1,-105940
2,-106903
3,-108066
4,-109396
5,-110735
6,-111618
7,-112116
8,-113182
9,-114576
10,-115658
11,-115772
12,-116134
13,-116832
14,-117338
15,-119931
16,-121949
17,-125814
18,-129470
19,-134926
20,-141190
21,-147909
22,-155427
23,-162544
24,-169828
25,-177007
26,-185457
27,-194211
28,-202907
29,-211202
30,-218680
31,-225414
32,-232586
33,-239862
34,-246929
35,-255130
36,-263363
37,-271835
38,-280786
39,-288576
40,-296900
41,-303832
42,-310155
43,-317493
44,-324310
45,-331479
46,-339366
47,-346237
48,-354299
49,-363471
50,-375411
51,-388669
52,-404958
53,-422708
54,-443945
55,-467810
56,-495569
57,-530181
58,-568956
59,-611031
60,-657260
61,-702596
62,-750126
63,-798042
64,-847265
65,-898353
66,-948476
67,-997816
68,-1045670
69,-1090710
70,-1138057
71,-1183462
72,-1231198
73,-1281320
74,-1332091
75,-1386657
76,-1440975
77,-1498239
78,-1556312
79,-1612922
80,-1669710
81,-1725554
82,-1776919
83,-1825110
84,-1871463
85,-1916955
86,-1963017
87,-2008865
88,-2056132
89,-2104825
90,-2157848
91,-2215433
92,-2277002
93,-2343396
94,-2409486
95,-2475088
96,-2535402
97,-2594948
98,-2653095
99,-2708388
100,-2765097
101,-2822919
102,-2885103
103,-2945247
104,-3003103
105,-3056832
106,-3110211
107,-3158352
108,-3206526
109,-3251735
110,-3292338
111,-3323928
112,-3344570
113,-3357018
114,-3364600
115,-3365717
116,-3356602
117,-3333192
118,-3289626
119,-3223312
120,-3135262
121,-3024392
122,-2894631
123,-2752373
124,-2596605
125,-2444032
126,-2297934
127,-2163765
128,-2033013
129,-1895477
130,-1750590
131,-1592648
132,-1427597
133,-1255623
134,-1083998
135,-906225
136,-726011
137,-542610
138,-360512
139,-179556
140,82
141,176618
142,351236
143,522393
144,690362
145,853221
146,1005061
147,1147235
148,1281206
149,1405602
150,1519086
151,1620925
152,1713983
153,1797382
154,1872338
155,1938502
156,1994345
157,2043654
158,2084636
159,2119838
160,2149099
161,2171477
162,2187732
163,2200193
164,2208084
165,2212966
166,2214256
167,2212930
168,2210212
169,2205430
170,2199857
171,2192900
172,2185104
173,2175590
174,2164756
175,2151500
176,2134701
177,2115289
178,2093518
179,2068159
180,2040978
181,2012065
182,1982252
183,1952162
184,1922307
185,1892041
186,1861986
187,1831574
188,1801143
189,1770899
190,1739723
191,1709478
192,1678286
193,1646257
194,1614416
195,1582611
196,1549449
197,1515676
198,1481155
199,1444806
200,1407398
201,1367754
202,1327851
203,1285873
204,1243676
205,1200012
206,1156138
207,1111597
208,1067461
209,1023939
210,980582
211,938022
212,897355
213,857374
214,819477
215,782697
216,748705
217,717526
218,688830
219,663962
220,642745
221,625923
222,613862
223,608059
224,607433
225,613815
226,627076
227,648800
228,677736
229,716294
230,763534
231,818609
232,883085
233,954641
234,1035045
235,1121246
236,1214877
237,1313473
238,1417353
239,1525780
240,1638153
241,1753673
242,1872603
243,1993351
244,2115595
245,2239705
246,2364360
247,2489103
248,2612559
249,2735408
250,2855186
251,2973230
252,3087803
253,3198698
254,3304115
255,3405488
256,3500832
257,3590117
258,3673671
259,3749814
260,3819988
261,3881658
262,3937376
263,3985392
264,4026537
265,4059830
266,4086566
267,4106483
268,4119214
269,4125783
270,4126399
271,4121632
272,4111840
273,4098331
274,4079950
275,4057900
276,4033733
277,4006904
278,3977751
279,3946154
280,3914376
281,3880138
282,3845680
283,3809947
284,3773378
285,3735677
286,3697701
287,3659218
288,3620171
289,3580753
290,3541044
291,3500084
292,3459217
293,3417522
294,3374641
295,3332197
296,3288438
297,3244797
298,3200297
299,3154762
300,3108489
301,3061509
302,3014240
303,2964880
304,2915766
305,2864474
306,2813228
307,2759629
308,2705876
309,2649554
310,2593046
311,2535098
312,2475748
313,2416126
314,2354655
315,2293552
316,2230584
317,2167255
318,2103319
319,2038446
320,1972605
321,1906852
322,1840267
323,1773643
324,1706698
325,1640530
326,1574570
327,1508729
328,1443945
329,1380809
330,1318600
331,1257847
332,1199246
333,1142211
334,1086880
335,1034499
336,983725
337,935525
338,889971
339,846718
340,806359
341,768444
342,734078
343,701725
344,671583
345,643861
346,619302
347,596283
348,575394
349,555860
350,537952
351,522126
352,506742
353,492401
354,478332
355,464570
356,450713
357,437162
358,422093
359,406193
360,388976
361,371360
362,351771
363,330960
364,307552
365,282754
366,255519
367,226000
368,193229
369,158301
370,119914
371,79123
372,35001
373,-11339
374,-61169
375,-113762
376,-169540
377,-227487
378,-287580
379,-350152
380,-415310
381,-482219
382,-550640
383,-620637
384,-691369
385,-763165
386,-835704
387,-908450
388,-982227
389,-1054715
390,-1127610
391,-1199824
392,-1272558
393,-1344058
394,-1415230
395,-1484002
396,-1552076
397,-1617487
398,-1681282
399,-1742812
400,-1802664
401,-1860731
402,-1915960
403,-1969150
404,-2020654
405,-2069911
406,-2116907
407,-2161520
408,-2204632
409,-2244515
410,-2283633
411,-2319426
412,-2354207
413,-2385472
414,-2416173
415,-2444094
416,-2470715
417,-2494934
418,-2517909
419,-2539298
420,-2560028
421,-2578795
422,-2596680
423,-2612243
424,-2627988
425,-2642612
426,-2655425
427,-2668365
428,-2678703
429,-2688872
430,-2698184
431,-2705911
432,-2713556
433,-2719641
434,-2724957
435,-2729312
436,-2732611
437,-2734854
438,-2736664
439,-2736282
440,-2735652
441,-2733830
442,-2730896
443,-2726938
444,-2722382
445,-2716857
446,-2710646
447,-2703643
448,-2695657
449,-2687344
450,-2678063
451,-2668649
452,-2658371
453,-2647070
454,-2635867
455,-2624089
456,-2611993
457,-2600034
458,-2587773
459,-2575305
460,-2562782
461,-2550774
462,-2538590
463,-2527104
464,-2515964
465,-2506177
466,-2497007
467,-2489470
468,-2482406
469,-2476607
470,-2472449
471,-2470107
472,-2468085
473,-2468792
474,-2471435
475,-2474293
476,-2480455
477,-2487424
478,-2497720
479,-2508559
480,-2522045
481,-2536281
482,-2553628
483,-2571796
484,-2592530
485,-2614669
486,-2637902
487,-2662668
488,-2688415
489,-2716615
490,-2744547
491,-2774276
492,-2804362
493,-2835683
494,-2866753
495,-2898899
496,-2931289
497,-2963171
498,-2995266
499,-3026940
500,-3058523
501,-3089229
502,-3119556
503,-3148615
504,-3176655
505,-3203067
506,-3229172
507,-3253482
508,-3276037
509,-3297597
510,-3316946
511,-3334693
