hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,22:01:42,hit_001_20260731_220142.csv,512,DEFECT,HIGH,85,0,0,484,0,5647976,5647976,-4571720,449222.5,,200,284,坏棒 总长1000m 铁头 475
2,22:01:42,hit_002_20260731_220142.csv,512,DEFECT,HIGH,88,0,0,940,0,5099699,5009622,-5099699,12852.7,,200,740,坏棒 总长1000m 铁头 475
3,22:01:43,hit_003_20260731_220143.csv,512,DEFECT,HIGH,84,0,0,484,0,5813921,5813921,-4293201,623398.8,,200,284,坏棒 总长1000m 铁头 475
4,22:01:43,hit_004_20260731_220143.csv,512,DEFECT,HIGH,83,0,0,499,0,6033365,6033365,-4257340,685713.6,,200,299,坏棒 总长1000m 铁头 475
5,22:01:44,hit_005_20260731_220144.csv,512,DEFECT,HIGH,83,0,0,484,0,5241806,5241806,-4216102,475846.8,,200,284,坏棒 总长1000m 铁头 475
6,22:01:53,hit_006_20260731_220153.csv,512,DEFECT,HIGH,85,0,0,499,0,5060030,5060030,-4693375,89911.6,,200,299,坏棒 总长1000m 铁头 475
7,22:01:55,hit_007_20260731_220155.csv,512,DEFECT,HIGH,87,0,0,499,0,5190749,5190749,-4911543,60698.2,,200,299,坏棒 总长1000m 铁头 475
8,22:01:56,hit_008_20260731_220156.csv,512,DEFECT,HIGH,87,0,0,543,0,4883885,4775310,-4883885,448404.8,,200,343,坏棒 总长1000m 铁头 475
9,22:01:57,hit_009_20260731_220157.csv,512,DEFECT,HIGH,86,0,0,499,0,4788763,4788763,-4656512,232235.0,,200,299,坏棒 总长1000m 铁头 475
10,22:01:58,hit_010_20260731_220158.csv,512,DEFECT,HIGH,85,0,0,484,0,5042370,5042370,-4421667,341220.7,,200,284,坏棒 总长1000m 铁头 475
11,22:01:59,hit_011_20260731_220159.csv,512,DEFECT,HIGH,84,0,0,484,0,5403746,5403746,-4432312,348655.8,,200,284,坏棒 总长1000m 铁头 475
12,22:02:00,hit_012_20260731_220200.csv,512,DEFECT,HIGH,85,0,0,499,0,5054950,5054950,-4552305,215362.2,,200,299,坏棒 总长1000m 铁头 475
13,22:02:00,hit_013_20260731_220200.csv,512,DEFECT,HIGH,87,0,0,499,0,5559967,5559967,-4808736,274714.8,,200,299,坏棒 总长1000m 铁头 475
14,22:02:01,hit_014_20260731_220201.csv,512,DEFECT,LOW,87,0,0,895,0,5248823,5248823,-4874684,-200469.1,,200,695,坏棒 总长1000m 铁头 475
15,22:02:03,hit_015_20260731_220203.csv,512,DEFECT,HIGH,88,0,0,514,0,4949481,4484688,-4949481,-150430.8,,200,314,坏棒 总长1000m 铁头 475
16,22:02:04,hit_016_20260731_220204.csv,512,DEFECT,HIGH,84,0,0,470,0,5651302,5651302,-4500039,203368.1,,200,270,坏棒 总长1000m 铁头 475
17,22:02:04,hit_017_20260731_220204.csv,512,DEFECT,HIGH,81,0,0,440,0,6262195,6262195,-4449642,588670.3,,200,240,坏棒 总长1000m 铁头 475
18,22:02:04,hit_018_20260731_220204.csv,512,DEFECT,HIGH,81,0,0,455,0,6463363,6463363,-4534435,793560.5,,200,255,坏棒 总长1000m 铁头 475
19,22:02:05,hit_019_20260731_220205.csv,512,DEFECT,LOW,87,0,0,925,0,6534418,6534418,-5732921,334086.3,,200,725,坏棒 总长1000m 铁头 475
20,22:02:05,hit_020_20260731_220205.csv,512,DEFECT,HIGH,82,0,0,499,0,6496148,6496148,-4057556,1166093.9,,200,299,坏棒 总长1000m 铁头 475
21,22:02:05,hit_021_20260731_220205.csv,512,DEFECT,HIGH,84,0,0,470,0,6761954,6761954,-4379140,1079482.9,,200,270,坏棒 总长1000m 铁头 475
22,22:02:06,hit_022_20260731_220206.csv,512,DEFECT,HIGH,81,0,0,470,0,6844240,6844240,-4340194,1239040.1,,200,270,坏棒 总长1000m 铁头 475
23,22:02:06,hit_023_20260731_220206.csv,512,DEFECT,HIGH,84,0,0,484,0,6635759,6635759,-4291017,1112161.7,,200,284,坏棒 总长1000m 铁头 475
24,22:02:06,hit_024_20260731_220206.csv,512,DEFECT,HIGH,81,0,0,440,0,6815144,6815144,-4822403,975163.4,,200,240,坏棒 总长1000m 铁头 475
25,22:02:07,hit_025_20260731_220207.csv,512,DEFECT,HIGH,83,0,0,470,0,6741474,6741474,-4651146,928061.0,,200,270,坏棒 总长1000m 铁头 475
26,22:02:07,hit_026_20260731_220207.csv,512,DEFECT,LOW,83,0,0,925,0,6898104,6898104,-5311050,783658.8,,200,725,坏棒 总长1000m 铁头 475
27,22:02:07,hit_027_20260731_220207.csv,512,DEFECT,LOW,85,0,0,910,0,7011367,7011367,-5266686,795579.6,,200,710,坏棒 总长1000m 铁头 475
28,22:02:08,hit_028_20260731_220208.csv,512,DEFECT,LOW,87,0,0,910,0,7065664,7065664,-5110320,879726.9,,200,710,坏棒 总长1000m 铁头 475
29,22:02:12,hit_029_20260731_220212.csv,512,DEFECT,HIGH,83,0,0,484,0,6470966,6470966,-4184438,958140.2,,200,284,坏棒 总长1000m 铁头 475
30,22:02:12,hit_030_20260731_220212.csv,512,DEFECT,HIGH,84,0,0,470,0,6353276,6353276,-4245934,813080.8,,200,270,坏棒 总长1000m 铁头 475
31,22:02:13,hit_031_20260731_220213.csv,512,DEFECT,HIGH,83,0,0,484,0,5873828,5873828,-4194730,597147.7,,200,284,坏棒 总长1000m 铁头 475
32,22:02:14,hit_032_20260731_220214.csv,512,DEFECT,HIGH,84,0,0,484,0,5080776,5080776,-4458195,121046.6,,200,284,坏棒 总长1000m 铁头 475
33,22:02:14,hit_033_20260731_220214.csv,512,DEFECT,HIGH,83,0,0,499,0,6253149,6253149,-4216406,836325.8,,200,299,坏棒 总长1000m 铁头 475
34,22:02:15,hit_034_20260731_220215.csv,512,DEFECT,HIGH,80,0,0,499,0,5967185,5967185,-4171939,655446.6,,200,299,坏棒 总长1000m 铁头 475
35,22:02:15,hit_035_20260731_220215.csv,512,DEFECT,HIGH,83,0,0,484,0,6291250,6291250,-4366237,718831.2,,200,284,坏棒 总长1000m 铁头 475
36,22:02:15,hit_036_20260731_220215.csv,512,DEFECT,HIGH,81,0,0,499,0,6498530,6498530,-3864225,1179737.8,,200,299,坏棒 总长1000m 铁头 475
37,22:02:16,hit_037_20260731_220216.csv,512,DEFECT,HIGH,81,0,0,484,0,6090677,6090677,-4126728,784768.9,,200,284,坏棒 总长1000m 铁头 475
38,22:02:16,hit_038_20260731_220216.csv,512,DEFECT,HIGH,82,0,0,484,0,4632497,4632497,-4109194,86932.5,,200,284,坏棒 总长1000m 铁头 475
39,22:02:17,hit_039_20260731_220217.csv,512,NORMAL,HIGH,95,0,0,0,0,2893562,2893562,-515585,1161713.6,,200,,坏棒 总长1000m 铁头 475
