# note,坏棒 总长1000m 铁头 600
# rod_len_mm,
# defect_true_mm,600
# err_mm,105
# time,2026-08-01 10:58:12
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,96
# impact_recalc,95
# impact_match,0
# defect_index,0
# bottom_index,0
# distance_mm,705
# threshold,0
# peak_abs,3492111
index,raw24
0,9946
1,10169
2,9944
3,10406
4,10733
5,10492
6,10443
7,11521
8,11032
9,12006
10,12037
11,11595
12,11610
13,11585
14,11871
15,11814
16,11236
17,11419
18,11025
19,10440
20,10903
21,10861
22,10548
23,10731
24,9889
25,10360
26,10103
27,10742
28,10628
29,11299
30,11674
31,12752
32,13335
33,14781
34,15779
35,16945
36,18775
37,21357
38,24826
39,31359
40,39307
41,46679
42,51169
43,51363
44,48604
45,43606
46,35761
47,25989
48,15833
49,5264
50,-6793
51,-24344
52,-49325
53,-81791
54,-117157
55,-155423
56,-195412
57,-238572
58,-286135
59,-337516
60,-393963
61,-454715
62,-516203
63,-579836
64,-642453
65,-703551
66,-763601
67,-826668
68,-891599
69,-962338
70,-1034221
71,-1106238
72,-1179391
73,-1252959
74,-1331166
75,-1411436
76,-1491599
77,-1573145
78,-1657665
79,-1744767
80,-1831562
81,-1919538
82,-2005688
83,-2095435
84,-2187035
85,-2280472
86,-2370362
87,-2457081
88,-2537349
89,-2611119
90,-2676720
91,-2731905
92,-2774876
93,-2805417
94,-2823443
95,-2827386
96,-2815697
97,-2788393
98,-2745677
99,-2687125
100,-2616085
101,-2530110
102,-2431745
103,-2320984
104,-2199149
105,-2069841
106,-1934500
107,-1795752
108,-1655284
109,-1517666
110,-1383561
111,-1254848
112,-1129567
113,-1010037
114,-894498
115,-781309
116,-673477
117,-571075
118,-472093
119,-379636
120,-292525
121,-209250
122,-129712
123,-54200
124,19030
125,89116
126,155537
127,217054
128,273300
129,325330
130,372379
131,415813
132,454322
133,489179
134,518823
135,543552
136,563349
137,579041
138,590058
139,598306
140,603905
141,607327
142,608037
143,607243
144,604713
145,600831
146,597341
147,595156
148,594828
149,596147
150,600922
151,608393
152,618015
153,630243
154,644950
155,661240
156,679135
157,697252
158,714903
159,730288
160,741822
161,748708
162,749080
163,741933
164,725482
165,699658
166,661788
167,611572
168,547993
169,472702
170,381972
171,278862
172,163076
173,34656
174,-103773
175,-252240
176,-407561
177,-570591
178,-738762
179,-911367
180,-1085152
181,-1260684
182,-1435642
183,-1608539
184,-1779214
185,-1944965
186,-2105112
187,-2256551
188,-2399907
189,-2531638
190,-2651873
191,-2758053
192,-2848701
193,-2921129
194,-2976708
195,-3011489
196,-3025769
197,-3017128
198,-2985552
199,-2931267
200,-2850277
201,-2745281
202,-2613418
203,-2456963
204,-2274407
205,-2073634
206,-1869484
207,-1668272
208,-1469885
209,-1273553
210,-1080062
211,-888754
212,-699621
213,-512896
214,-328185
215,-145721
216,34297
217,212452
218,387090
219,559627
220,728895
221,896166
222,1060128
223,1221671
224,1380290
225,1536657
226,1690030
227,1841271
228,1990431
229,2135676
230,2279951
231,2421297
232,2560793
233,2696976
234,2832407
235,2963421
236,3094188
237,3209602
238,3302018
239,3375527
240,3429939
241,3467320
242,3487289
243,3492111
244,3481989
245,3458252
246,3420846
247,3372700
248,3313496
249,3245372
250,3168240
251,3082445
252,2990733
253,2893448
254,2791342
255,2685498
256,2577338
257,2466935
258,2355938
259,2244810
260,2134536
261,2026068
262,1919148
263,1815002
264,1714573
265,1616971
266,1523926
267,1434956
268,1349821
269,1269328
270,1193269
271,1120747
272,1051826
273,986418
274,923497
275,863225
276,804591
277,746949
278,688858
279,630574
280,571177
281,508963
282,444853
283,376799
284,305225
285,228883
286,148583
287,62677
288,-28258
289,-124215
290,-225256
291,-331140
292,-441052
293,-554462
294,-670810
295,-788248
296,-907816
297,-1026489
298,-1144148
299,-1258816
300,-1370559
301,-1476215
302,-1575427
303,-1667291
304,-1749543
305,-1821866
306,-1883011
307,-1930925
308,-1966202
309,-1987042
310,-1992767
311,-1983196
312,-1956386
313,-1914923
314,-1855777
315,-1781646
316,-1690653
317,-1584975
318,-1463925
319,-1329010
320,-1180880
321,-1020640
322,-848979
323,-668988
324,-484714
325,-300455
326,-118186
327,61236
328,238045
329,411872
330,582957
331,752126
332,917842
333,1080802
334,1241198
335,1398719
336,1553796
337,1703095
338,1835543
339,1954407
340,2056816
341,2144085
342,2215215
343,2268929
344,2307460
345,2329434
346,2335742
347,2326032
348,2302916
349,2265555
350,2215503
351,2153648
352,2081537
353,1999427
354,1909575
355,1812182
356,1710097
357,1602928
358,1492572
359,1380758
360,1268294
361,1155811
362,1045166
363,936854
364,831388
365,730518
366,633893
367,542472
368,456325
369,376438
370,303336
371,237083
372,176982
373,123760
374,78481
375,39695
376,7826
377,-16911
378,-34692
379,-46408
380,-51170
381,-50748
382,-43870
383,-32809
384,-16869
385,3485
386,27277
387,53882
388,84499
389,115177
390,148035
391,181065
392,213234
393,245552
394,275506
395,303673
396,328732
397,351860
398,370033
399,383819
400,392356
401,396157
402,393596
403,385524
404,371869
405,351744
406,324909
407,292693
408,253257
409,209106
410,159201
411,104309
412,43569
413,-20269
414,-88274
415,-159087
416,-232940
417,-308608
418,-385514
419,-462075
420,-539178
421,-615377
422,-690213
423,-763321
424,-833532
425,-901206
426,-965008
427,-1025314
428,-1080597
429,-1132425
430,-1178255
431,-1220135
432,-1256602
433,-1288457
434,-1315563
435,-1337331
436,-1354432
437,-1367498
438,-1376915
439,-1381987
440,-1384275
441,-1383698
442,-1381473
443,-1376552
444,-1371352
445,-1364568
446,-1358850
447,-1352788
448,-1348351
449,-1344402
450,-1343382
451,-1345018
452,-1348366
453,-1355681
454,-1366604
455,-1381405
456,-1400412
457,-1422393
458,-1449188
459,-1480435
460,-1514846
461,-1553613
462,-1596143
463,-1641389
464,-1690196
465,-1741214
466,-1794881
467,-1850478
468,-1906628
469,-1964556
470,-2021860
471,-2080189
472,-2137303
473,-2194346
474,-2249126
475,-2303388
476,-2354186
477,-2403963
478,-2450038
479,-2494106
480,-2534594
481,-2571757
482,-2606227
483,-2635356
484,-2662579
485,-2685006
486,-2704846
487,-2719772
488,-2732536
489,-2741098
490,-2747140
491,-2750356
492,-2749412
493,-2746901
494,-2740685
495,-2733767
496,-2722689
497,-2711053
498,-2696322
499,-2681025
500,-2663769
501,-2644940
502,-2624609
503,-2604065
504,-2581275
505,-2557656
506,-2534208
507,-2509322
508,-2483832
509,-2457497
510,-2430613
511,-2403172
