# note,坏棒 总长1000m 铁头 600
# rod_len_mm,
# defect_true_mm,600
# err_mm,2
# time,2026-08-01 10:58:46
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,78
# impact_recalc,77
# impact_match,0
# defect_index,0
# bottom_index,0
# distance_mm,602
# threshold,0
# peak_abs,4344652
index,raw24
0,-24
1,-24
2,0
3,1256
4,480
5,280
6,184
7,720
8,-8
9,-312
10,-32
11,-432
12,-304
13,-336
14,-760
15,-744
16,-168
17,-200
18,-656
19,-256
20,-224
21,-96
22,-768
23,-495
24,-495
25,-391
26,-415
27,-647
28,-551
29,-399
30,-631
31,-527
32,-279
33,-239
34,-519
35,-783
36,-878
37,-950
38,-686
39,-574
40,-918
41,-1246
42,-926
43,-990
44,-1589
45,-1701
46,-1357
47,-1365
48,-861
49,-453
50,-340
51,-196
52,-196
53,-204
54,-412
55,-476
56,-652
57,132
58,4764
59,-2029
60,-54676
61,-206910
62,-444725
63,-679510
64,-908107
65,-1124660
66,-1333715
67,-1535944
68,-1735181
69,-1930105
70,-2121613
71,-2310818
72,-2500112
73,-2688079
74,-2879639
75,-3070439
76,-3259040
77,-3356403
78,-3221201
79,-2994400
80,-2777266
81,-2558639
82,-2345247
83,-2133232
84,-1924676
85,-1719249
86,-1515639
87,-1314134
88,-1115902
89,-920806
90,-728037
91,-539612
92,-352722
93,-169567
94,11293
95,188356
96,362605
97,534161
98,703456
99,870370
100,1034095
101,1195529
102,1354279
103,1511098
104,1664409
105,1816094
106,1963904
107,2110609
108,2254759
109,2397028
110,2535703
111,2673322
112,2807083
113,2940277
114,3052718
115,3133561
116,3184682
117,3206342
118,3196894
119,3148904
120,3054416
121,2896419
122,2666425
123,2397620
124,2127119
125,1858875
126,1599120
127,1343317
128,1093777
129,847988
130,606532
131,367466
132,128669
133,-110163
134,-349237
135,-538082
136,-482025
137,-291182
138,-106698
139,79467
140,260449
141,440889
142,617299
143,791392
144,963127
145,1131882
146,1296375
147,1459609
148,1618095
149,1773266
150,1924425
151,2074174
152,2219377
153,2355042
154,2394394
155,2325614
156,2183346
157,1993520
158,1783140
159,1573283
160,1377931
161,1207282
162,1064143
163,946253
164,844362
165,744978
166,628383
167,473811
168,262081
169,22225
170,-219386
171,-457383
172,-688015
173,-912931
174,-1129980
175,-1342050
176,-1547174
177,-1748713
178,-1946052
179,-2139246
180,-2329905
181,-2516700
182,-2701321
183,-2884599
184,-3067983
185,-3252169
186,-3436076
187,-3620360
188,-3729598
189,-3605351
190,-3376415
191,-3153091
192,-2931594
193,-2713652
194,-2497689
195,-2284856
196,-2074593
197,-1866692
198,-1661448
199,-1458533
200,-1258043
201,-1060409
202,-864912
203,-672622
204,-481996
205,-294713
206,-109733
207,72840
208,252751
209,429824
210,604292
211,775138
212,942492
213,1107808
214,1268721
215,1427718
216,1583168
217,1736311
218,1886667
219,2034516
220,2178852
221,2322050
222,2462855
223,2600706
224,2737532
225,2871174
226,3003424
227,3133225
228,3261683
229,3388244
230,3512719
231,3634762
232,3755606
233,3874036
234,3986171
235,4059484
236,4089045
237,4068554
238,3999185
239,3878321
240,3709111
241,3495787
242,3246136
243,2979756
244,2714168
245,2451404
246,2192145
247,1939454
248,1702897
249,1510809
250,1376481
251,1308944
252,1314985
253,1402552
254,1552637
255,1709575
256,1863855
257,2014971
258,2164821
259,2312093
260,2457587
261,2600887
262,2741793
263,2880858
264,3017387
265,3152994
266,3284721
267,3415985
268,3543384
269,3669007
270,3791927
271,3913048
272,4031938
273,4147038
274,4263420
275,4344652
276,4329793
277,4223473
278,4025413
279,3753866
280,3469191
281,3184632
282,2906515
283,2631464
284,2361871
285,2096479
286,1836015
287,1579271
288,1326390
289,1076756
290,829936
291,586483
292,344980
293,105665
294,-131915
295,-366451
296,-599783
297,-828317
298,-1055200
299,-1272823
300,-1460324
301,-1554890
302,-1549036
303,-1438391
304,-1250167
305,-1052079
306,-858982
307,-666877
308,-477076
309,-289514
310,-104566
311,78870
312,259437
313,437981
314,612896
315,785261
316,955285
317,1121256
318,1285343
319,1446123
320,1604546
321,1759902
322,1913759
323,2064590
324,2212426
325,2357596
326,2499652
327,2639539
328,2776552
329,2911637
330,3041914
331,3170175
332,3235044
333,3219369
334,3139464
335,3004824
336,2827866
337,2620152
338,2392529
339,2155189
340,1914501
341,1679708
342,1455215
343,1244525
344,1051437
345,875597
346,718026
347,577362
348,451796
349,338076
350,235379
351,139974
352,48933
353,-39177
354,-125180
355,-209909
356,-293627
357,-374319
358,-450769
359,-520434
360,-580323
361,-627308
362,-656063
363,-665471
364,-649766
365,-606959
366,-532965
367,-425092
368,-282352
369,-107877
370,73608
371,251303
372,426064
373,598908
374,768411
375,935829
376,1099691
377,1261597
378,1420523
379,1576653
380,1730413
381,1882298
382,2030628
383,2177196
384,2321634
385,2463775
386,2602258
387,2739220
388,2873566
389,3005943
390,3121848
391,3185995
392,3205230
393,3175367
394,3103203
395,2987608
396,2833540
397,2643586
398,2423175
399,2176983
400,1922542
401,1668379
402,1416215
403,1165986
404,917956
405,672796
406,432530
407,195717
408,-36107
409,-261151
410,-470711
411,-647661
412,-790294
413,-894830
414,-961432
415,-987371
416,-972546
417,-916724
418,-820860
419,-682592
420,-509444
421,-322734
422,-139047
423,42282
424,220853
425,396866
426,569698
427,740308
428,907370
429,1072395
430,1234360
431,1393185
432,1549655
433,1703914
434,1856178
435,2004672
436,2151923
437,2295588
438,2437444
439,2577154
440,2714048
441,2849236
442,2981105
443,3110245
444,3206745
445,3258378
446,3270868
447,3245460
448,3183632
449,3089124
450,2963875
451,2812113
452,2637049
453,2443232
454,2232109
455,2011125
456,1780719
457,1547566
458,1313465
459,1082129
460,855708
461,638308
462,432014
463,238601
464,59196
465,-103835
466,-249598
467,-376888
468,-484938
469,-574711
470,-644913
471,-697042
472,-730813
473,-747379
474,-747416
475,-731053
476,-699756
477,-655414
478,-598198
479,-529101
480,-449117
481,-359174
482,-260546
483,-152146
484,-35335
485,89261
486,222450
487,363471
488,511434
489,668548
490,830034
491,993741
492,1154964
493,1314343
494,1470646
495,1624739
496,1776220
497,1925700
498,2071728
499,2216548
500,2358261
501,2497629
502,2635636
503,2770130
504,2890072
505,2991127
506,3076186
507,3142555
508,3192283
509,3224573
510,3240364
511,3241024
