# note,坏棒 总长1000m 铁头 400
# rod_len_mm,
# defect_true_mm,400
# err_mm,
# time,2026-08-01 11:00:23
# points,512
# state,NORMAL
# confidence,LOW
# result_ready,1
# impact_index,88
# impact_recalc,87
# impact_match,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,0
# peak_abs,5694973
index,raw24
0,2306
1,2170
2,2202
3,1809
4,2241
5,2689
6,2809
7,2440
8,2136
9,2520
10,2655
11,2303
12,2183
13,2422
14,2398
15,2606
16,2653
17,2269
18,2653
19,2957
20,2484
21,2332
22,2692
23,2651
24,2531
25,2339
26,2706
27,2994
28,2713
29,2465
30,2361
31,2953
32,3096
33,2464
34,2623
35,2727
36,2671
37,2550
38,2654
39,2566
40,2389
41,2357
42,2677
43,2204
44,2036
45,2012
46,2228
47,2411
48,2123
49,2299
50,2634
51,2618
52,2730
53,2329
54,2305
55,1825
56,1721
57,3248
58,-4816
59,-42079
60,-123466
61,-269211
62,-476850
63,-706408
64,-937530
65,-1165455
66,-1388489
67,-1607144
68,-1820699
69,-2030605
70,-2235781
71,-2437772
72,-2635835
73,-2831297
74,-3022671
75,-3212166
76,-3398094
77,-3582247
78,-3762730
79,-3942215
80,-4118477
81,-4289551
82,-4451731
83,-4603236
84,-4722562
85,-4800769
86,-4844455
87,-4852600
88,-4831799
89,-4783674
90,-4712034
91,-4615138
92,-4497327
93,-4353906
94,-4188726
95,-3999775
96,-3788319
97,-3564264
98,-3343045
99,-3124781
100,-2909456
101,-2697861
102,-2488267
103,-2281747
104,-2077597
105,-1876327
106,-1677202
107,-1481453
108,-1287201
109,-1096307
110,-906910
111,-720247
112,-535119
113,-352694
114,-172491
115,6563
116,182058
117,356427
118,527472
119,696624
120,862682
121,1026961
122,1187764
123,1346115
124,1502614
125,1656111
126,1807077
127,1955480
128,2102154
129,2245961
130,2388471
131,2527251
132,2665407
133,2800209
134,2933427
135,3064093
136,3193855
137,3320465
138,3445564
139,3568623
140,3689684
141,3809505
142,3926208
143,4043321
144,4156643
145,4270112
146,4373463
147,4463689
148,4538920
149,4599918
150,4646108
151,4676661
152,4692970
153,4692493
154,4677097
155,4643934
156,4595391
157,4528270
158,4446389
159,4346534
160,4231540
161,4101479
162,3956650
163,3799527
164,3628720
165,3446141
166,3251784
167,3044507
168,2824575
169,2589526
170,2341066
171,2089181
172,1836302
173,1584997
174,1333556
175,1084001
176,833757
177,586015
178,340319
179,97534
180,-142038
181,-377517
182,-611439
183,-841084
184,-1066717
185,-1289547
186,-1507566
187,-1723102
188,-1931819
189,-2135127
190,-2329867
191,-2517598
192,-2679907
193,-2801388
194,-2879566
195,-2913774
196,-2902147
197,-2847424
198,-2747333
199,-2603413
200,-2415792
201,-2206809
202,-2001339
203,-1796823
204,-1596796
205,-1397649
206,-1202054
207,-1007883
208,-817200
209,-627445
210,-441048
211,-256282
212,-73827
213,105918
214,283001
215,457575
216,629767
217,798962
218,965176
219,1128531
220,1289705
221,1447859
222,1604067
223,1756671
224,1907744
225,2055495
226,2201669
227,2345080
228,2486393
229,2626018
230,2762521
231,2897064
232,3028894
233,3159381
234,3288115
235,3414922
236,3539401
237,3661297
238,3782178
239,3901108
240,4017736
241,4133005
242,4247285
243,4358446
244,4468818
245,4576409
246,4684674
247,4788958
248,4893382
249,4994544
250,5090431
251,5177793
252,5259441
253,5335855
254,5405196
255,5468856
256,5526020
257,5576538
258,5619161
259,5653939
260,5677961
261,5693220
262,5694973
263,5687614
264,5666383
265,5633235
266,5586740
267,5526610
268,5452439
269,5364846
270,5265231
271,5152508
272,5028039
273,4891473
274,4745452
275,4588745
276,4423881
277,4250253
278,4069302
279,3881645
280,3687723
281,3488697
282,3284359
283,3076902
284,2864567
285,2651057
286,2434117
287,2216956
288,1999389
289,1783201
290,1568856
291,1357776
292,1152794
293,953998
294,763737
295,582796
296,413701
297,257346
298,115763
299,-11627
300,-121658
301,-214987
302,-289857
303,-346909
304,-385931
305,-407388
306,-411362
307,-399968
308,-371271
309,-329362
310,-274266
311,-207560
312,-130215
313,-45223
314,47415
315,145305
316,246295
317,349833
318,453766
319,557231
320,658267
321,756235
322,849246
323,938215
324,1020572
325,1097239
326,1165593
327,1227627
328,1281677
329,1328009
330,1365871
331,1396592
332,1419669
333,1434696
334,1443257
335,1444353
336,1439824
337,1428441
338,1412210
339,1389910
340,1362948
341,1332286
342,1297723
343,1259533
344,1218235
345,1174254
346,1128279
347,1079381
348,1029193
349,977660
350,924644
351,869915
352,814201
353,758398
354,701193
355,643796
356,586085
357,528173
358,470509
359,412835
360,355137
361,299454
362,243377
363,188843
364,134868
365,82212
366,31690
367,-18514
368,-67000
369,-114896
370,-160818
371,-206942
372,-252221
373,-297334
374,-341762
375,-386264
376,-432121
377,-477212
378,-524074
379,-570938
380,-620260
381,-670696
382,-723982
383,-778774
384,-836455
385,-897073
386,-960747
387,-1027678
388,-1098832
389,-1173450
390,-1252235
391,-1335122
392,-1421615
393,-1513578
394,-1608369
395,-1708340
396,-1811436
397,-1917655
398,-2027813
399,-2140325
400,-2254976
401,-2371716
