# note,坏棒 总长1000m 铁头 400
# rod_len_mm,
# defect_true_mm,400
# err_mm,-121
# time,2026-08-01 11:00:31
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,85
# impact_recalc,84
# impact_match,0
# defect_index,0
# bottom_index,0
# distance_mm,279
# threshold,0
# peak_abs,4911791
index,raw24
0,13297
1,13391
2,12806
3,13468
4,13162
5,13089
6,13191
7,13069
8,13260
9,13154
10,13057
11,12703
12,13173
13,13580
14,13146
15,13432
16,13463
17,13453
18,13499
19,13258
20,13896
21,13902
22,13957
23,13859
24,13777
25,13888
26,13822
27,14196
28,14178
29,14489
30,14191
31,14485
32,13883
33,14290
34,13752
35,14350
36,14972
37,13635
38,14681
39,13695
40,13933
41,14308
42,13818
43,14416
44,13959
45,13973
46,13875
47,14321
48,13776
49,13942
50,14196
51,14738
52,14585
53,14447
54,13509
55,11323
56,2122
57,-15550
58,-44876
59,-84879
60,-142740
61,-237859
62,-409958
63,-638620
64,-871894
65,-1100716
66,-1323981
67,-1543132
68,-1756759
69,-1965969
70,-2171465
71,-2372008
72,-2569486
73,-2761916
74,-2950787
75,-3135571
76,-3316012
77,-3492279
78,-3664997
79,-3835030
80,-4003593
81,-4172697
82,-4342603
83,-4513177
84,-4636954
85,-4541660
86,-4302866
87,-4069965
88,-3835348
89,-3606872
90,-3379007
91,-3155427
92,-2934050
93,-2716107
94,-2500688
95,-2288566
96,-2080559
97,-1874457
98,-1673900
99,-1475552
100,-1281660
101,-1098543
102,-1040801
103,-1144514
104,-1348222
105,-1569602
106,-1789226
107,-2004040
108,-2214507
109,-2421781
110,-2625837
111,-2825805
112,-3023420
113,-3211250
114,-3384770
115,-3490005
116,-3497963
117,-3386792
118,-3177323
119,-2955871
120,-2739582
121,-2524256
122,-2312036
123,-2102577
124,-1895545
125,-1690481
126,-1487259
127,-1287333
128,-1090416
129,-896107
130,-704974
131,-516383
132,-332352
133,-149784
134,27434
135,203575
136,299958
137,264890
138,140345
139,-47872
140,-264698
141,-485770
142,-692230
143,-867954
144,-997240
145,-1072486
146,-1088947
147,-1044118
148,-939807
149,-780588
150,-593317
151,-406132
152,-220947
153,-39608
154,139845
155,316740
156,481477
157,583243
