# note,坏棒 总长1000m 铁头 400
# rod_len_mm,
# defect_true_mm,400
# err_mm,-48
# time,2026-08-01 11:00:34
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,92
# impact_recalc,91
# impact_match,0
# defect_index,0
# bottom_index,0
# distance_mm,352
# threshold,0
# peak_abs,6385572
index,raw24
0,4495
1,4342
2,3702
3,2965
4,2997
5,2885
6,2508
7,1764
8,1764
9,1788
10,1771
11,1715
12,1139
13,995
14,323
15,523
16,74
17,-150
18,-70
19,-742
20,-541
21,-661
22,-965
23,-1141
24,-1477
25,-1605
26,-1229
27,-1916
28,-2020
29,-2452
30,-2108
31,-1339
32,-1931
33,-2195
34,-2451
35,-2018
36,-1842
37,-1962
38,-2122
39,-2097
40,-1833
41,-2081
42,-2320
43,-2432
44,-1752
45,-1200
46,-1591
47,-1007
48,-991
49,-751
50,-463
51,-23
52,33
53,601
54,409
55,313
56,457
57,2697
58,1169
59,-23680
60,-93261
61,-215577
62,-388439
63,-604480
64,-831478
65,-1061496
66,-1286935
67,-1506513
68,-1722826
69,-1932735
70,-2139307
71,-2341022
72,-2539280
73,-2733042
74,-2923525
75,-3110496
76,-3293932
77,-3473730
78,-3650282
79,-3824796
80,-3995593
81,-4164658
82,-4329581
83,-4493053
84,-4652720
85,-4812224
86,-4969149
87,-5126518
88,-5283021
89,-5438040
90,-5581832
91,-5615630
92,-5462753
93,-5214102
94,-4968601
95,-4723579
96,-4484794
97,-4246975
98,-4014400
99,-3782926
100,-3555585
101,-3330734
102,-3109136
103,-2890348
104,-2674363
105,-2463173
106,-2254128
107,-2048493
108,-1845819
109,-1647394
110,-1450985
111,-1259359
112,-1070286
113,-943875
114,-904216
115,-929433
116,-1005096
117,-1112941
118,-1240165
119,-1371126
120,-1496431
121,-1605976
122,-1689628
123,-1736454
124,-1731970
125,-1664358
126,-1520291
127,-1324601
128,-1129800
129,-936630
130,-745355
131,-557264
132,-371428
133,-188015
134,-6272
135,173065
136,349900
137,524249
138,696465
139,865204
140,1032130
141,1195364
142,1355986
143,1513373
144,1668252
145,1819800
146,1969170
147,2113954
148,2258600
149,2348756
150,2326861
151,2213857
152,2016323
153,1767821
154,1509525
155,1252261
156,994756
157,740754
158,488896
159,241796
160,-3777
161,-242369
162,-475051
163,-701185
164,-920812
165,-1133803
166,-1338425
167,-1531797
168,-1714266
169,-1892353
170,-2070058
171,-2255125
172,-2443738
173,-2634424
174,-2823574
175,-3014221
176,-3205693
177,-3395438
178,-3580832
179,-3763146
180,-3943151
181,-4119542
182,-4294719
183,-4465443
184,-4634705
185,-4799756
186,-4964506
187,-5126012
188,-5285594
189,-5441757
190,-5595660
191,-5748089
192,-5896444
193,-6045404
194,-6186586
195,-6316415
196,-6385572
197,-6358056
198,-6223184
199,-5988368
200,-5730293
201,-5479634
202,-5230221
203,-4985454
204,-4743454
205,-4504419
206,-4268933
207,-4035668
208,-3806159
209,-3578742
210,-3355394
211,-3134608
212,-2917817
213,-2702197
214,-2490875
215,-2281323
216,-2075037
217,-1871143
218,-1670379
219,-1471999
220,-1275835
221,-1082992
222,-892171
223,-704686
224,-518688
225,-335577
226,-155672
227,22491
228,197496
229,370112
230,539275
231,706401
232,838619
233,927276
234,984475
235,1018851
236,1041615
237,1060976
238,1089438
239,1132385
240,1200263
241,1298732
242,1432934
243,1587111
244,1739373
245,1889545
246,2037466
247,2182857
248,2326335
249,2468003
250,2607125
251,2743863
252,2880344
253,3013033
254,3144817
255,3273337
256,3400169
257,3525098
258,3648204
259,3768527
260,3887323
261,4003952
262,4119319
263,4207424
264,4246631
265,4249112
266,4212954
267,4146831
268,4052541
269,3937198
270,3803518
271,3656557
272,3499975
