# note,坏棒 总长1000m 铁头 400
# rod_len_mm,
# defect_true_mm,400
# err_mm,
# time,2026-08-01 11:00:43
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,81
# impact_recalc,80
# impact_match,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,0
# peak_abs,1592787
index,raw24
0,8190
1,7957
2,7668
3,8387
4,7922
5,8649
6,7944
7,8359
8,8086
9,7885
10,8316
11,8291
12,7786
13,7801
14,7768
15,8159
16,7502
17,7749
18,7732
19,7459
20,7314
21,6561
22,5481
23,3120
24,-568
25,-5288
26,-10832
27,-17718
28,-26724
29,-35577
30,-46469
31,-58583
32,-72216
33,-86943
34,-102964
35,-120184
36,-138377
37,-155912
38,-174909
39,-193456
40,-212632
41,-231414
42,-250042
43,-268691
44,-286242
45,-304287
46,-321722
47,-339787
48,-357313
49,-373966
50,-390232
51,-406361
52,-421831
53,-436859
54,-452598
55,-467663
56,-483710
57,-499843
58,-517486
59,-535286
60,-553821
61,-573009
62,-593372
63,-613427
64,-634376
65,-655995
66,-676947
67,-699080
68,-720843
69,-743123
70,-763752
71,-784379
72,-803691
73,-820697
74,-836461
75,-850230
76,-860983
77,-869158
78,-876379
79,-879136
80,-880061
81,-877754
82,-873486
83,-866716
84,-855762
85,-843986
86,-829394
87,-812845
88,-793106
89,-772361
90,-748891
91,-724535
92,-697207
93,-668794
94,-639432
95,-607794
96,-575224
97,-541266
98,-506392
99,-470442
100,-433552
101,-395363
102,-356923
103,-317999
104,-278153
105,-238191
106,-198466
107,-158889
108,-118238
109,-77919
110,-37686
111,1183
112,40631
113,78802
114,115944
115,152730
116,188567
117,223520
118,257285
119,290021
120,322586
121,352659
122,382127
123,410465
124,437447
125,462609
126,486529
127,509021
128,529663
129,548943
130,565404
131,581399
132,595296
133,606415
134,615573
135,622386
136,627782
137,630881
138,630564
139,629143
140,625138
141,618542
142,609866
143,599160
144,586791
145,572015
146,555641
147,537941
148,518244
149,497348
150,475304
151,451518
152,427390
153,402474
154,376761
155,350651
156,324768
157,298921
158,273108
159,246803
160,220309
161,194706
162,168930
163,144045
164,119132
165,94733
166,71050
167,48121
168,24963
169,3768
170,-18120
171,-37774
172,-57050
173,-74827
174,-91746
175,-107086
176,-120953
177,-133050
178,-143034
179,-151129
180,-156702
181,-159523
182,-160424
183,-157420
184,-152257
185,-142966
186,-130525
187,-115077
188,-95759
189,-73115
190,-46970
191,-16596
192,16926
193,53988
194,93381
195,135906
196,181481
197,229483
198,279135
199,331245
200,385116
201,439709
202,495920
203,552227
204,609480
205,666869
206,723436
207,779283
208,835212
209,889374
210,942194
211,992943
212,1042902
213,1090158
214,1135449
215,1179238
216,1220055
217,1259034
218,1294840
219,1328602
220,1360384
221,1389618
222,1416888
223,1441467
224,1464171
225,1485448
226,1503459
227,1520659
228,1535162
229,1548334
230,1559553
231,1568603
232,1576723
233,1583267
234,1588130
235,1591080
236,1592749
237,1592787
238,1591097
239,1588334
240,1584012
241,1578035
242,1570738
243,1561811
244,1551772
245,1539694
246,1526867
247,1511848
248,1496104
249,1478793
250,1459796
251,1440146
252,1419122
253,1396285
254,1372491
255,1347387
256,1321455
257,1294301
258,1267079
259,1238205
260,1208541
261,1178218
262,1147530
263,1116182
264,1083958
265,1051441
266,1018825
267,986285
268,952644
269,919216
270,886232
271,852107
272,818835
273,784975
274,751608
275,718300
276,685148
277,651536
278,618593
279,586133
280,553278
281,521562
282,489435
283,457543
284,426207
285,394907
286,363723
287,333142
288,302990
289,273409
290,244199
291,215681
292,187967
293,160360
294,133604
295,107484
296,81567
297,57213
298,33574
299,10706
300,-10959
301,-31678
302,-50586
303,-69572
304,-87243
305,-102673
306,-117276
307,-131238
308,-143878
309,-155716
310,-166385
311,-176309
312,-185495
313,-194377
314,-202033
315,-209112
316,-216343
317,-222668
318,-229881
319,-236053
320,-241848
321,-248819
322,-255508
323,-262165
324,-269261
325,-276140
326,-283282
327,-291392
328,-299956
329,-308560
330,-317506
331,-326683
332,-335851
333,-344882
334,-354296
335,-363493
336,-372913
337,-382395
338,-391220
339,-399517
340,-407508
341,-414946
342,-422703
343,-430380
344,-436887
345,-443050
346,-449068
347,-454253
348,-459605
349,-463581
350,-468461
351,-472012
352,-476026
353,-479280
354,-483157
355,-486426
356,-489631
357,-492307
358,-496031
359,-500186
360,-503565
361,-507760
362,-512394
363,-517027
364,-522548
365,-529132
366,-535524
367,-543122
368,-551656
369,-560949
370,-570504
371,-580739
372,-592140
373,-604635
374,-617433
375,-630542
376,-645345
377,-660746
378,-677098
379,-693407
380,-710898
381,-728260
382,-747195
383,-765911
384,-785322
385,-805450
386,-825600
387,-846323
388,-866900
389,-887498
390,-908877
391,-930142
392,-951413
393,-972345
394,-993690
395,-1014369
396,-1036037
397,-1056374
398,-1076621
399,-1097002
400,-1116876
401,-1135932
402,-1155065
403,-1173524
404,-1191581
405,-1209763
406,-1227104
407,-1243402
408,-1259370
409,-1274816
410,-1289005
411,-1303207
412,-1315440
413,-1327247
414,-1339141
415,-1348898
416,-1358717
417,-1367047
418,-1374368
419,-1380633
420,-1385616
421,-1389087
422,-1392237
423,-1394035
424,-1394769
425,-1394527
426,-1393037
427,-1391003
428,-1386553
429,-1382856
430,-1377223
431,-1371023
432,-1363399
433,-1355897
434,-1347243
435,-1337631
436,-1327459
437,-1316609
438,-1304905
439,-1292849
440,-1280580
441,-1267335
442,-1253644
443,-1239467
444,-1225188
445,-1209991
446,-1194803
