hit,time,file,points,state,conf,impact,impact_recalc,impact_match,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,11:00:12,hit_001_20260801_110012.csv,512,DEFECT,LOW,87,86,0,0,0,323,0,5390351,4611440,-5390351,-252473.5,,400,-77,坏棒 总长1000m 铁头 400
2,11:00:12,hit_002_20260801_110012.csv,512,DEFECT,HIGH,87,86,0,0,0,279,0,7941364,7941364,-5916357,753953.2,,400,-121,坏棒 总长1000m 铁头 400
3,11:00:12,hit_003_20260801_110012.csv,512,DEFECT,HIGH,83,82,0,0,0,264,0,8340053,8340053,-5224178,1444274.5,,400,-136,坏棒 总长1000m 铁头 400
4,11:00:13,hit_004_20260801_110013.csv,512,DEFECT,LOW,85,84,0,0,0,337,0,5389329,5389329,-4801688,344359.1,,400,-63,坏棒 总长1000m 铁头 400
5,11:00:13,hit_005_20260801_110013.csv,512,DEFECT,LOW,99,99,1,0,0,822,0,6132694,5689169,-6132694,-583949.6,,400,422,坏棒 总长1000m 铁头 400
6,11:00:13,hit_006_20260801_110013.csv,512,NORMAL,LOW,85,84,0,0,0,0,0,1463992,751490,-1463992,5150.9,,400,,坏棒 总长1000m 铁头 400
7,11:00:14,hit_007_20260801_110014.csv,512,DEFECT,HIGH,85,84,0,0,0,279,0,6168803,4930704,-6168803,204462.8,,400,-121,坏棒 总长1000m 铁头 400
8,11:00:14,hit_008_20260801_110014.csv,512,DEFECT,HIGH,95,94,0,0,0,323,0,7481717,3402065,-7481717,-735239.7,,400,-77,坏棒 总长1000m 铁头 400
9,11:00:14,hit_009_20260801_110014.csv,512,NORMAL,LOW,90,89,0,0,0,0,0,6025499,6025499,-4803406,-396724.8,,400,,坏棒 总长1000m 铁头 400
10,11:00:15,hit_010_20260801_110015.csv,512,DEFECT,LOW,97,96,0,0,0,396,0,6395371,4970189,-6395371,-207485.9,,400,-4,坏棒 总长1000m 铁头 400
11,11:00:15,hit_011_20260801_110015.csv,512,DEFECT,HIGH,90,89,0,0,0,323,0,6681055,4162925,-6681055,77315.9,,400,-77,坏棒 总长1000m 铁头 400
12,11:00:15,hit_012_20260801_110015.csv,512,DEFECT,LOW,91,90,0,0,0,337,0,6845183,4970181,-6845183,52021.9,,400,-63,坏棒 总长1000m 铁头 400
13,11:00:16,hit_013_20260801_110016.csv,512,DEFECT,HIGH,84,83,0,0,0,249,0,8388607,8388607,-5986810,1273434.9,,400,-151,坏棒 总长1000m 铁头 400
14,11:00:16,hit_014_20260801_110016.csv,512,DEFECT,HIGH,85,84,0,0,0,293,0,7025758,7025758,-5630924,658311.5,,400,-107,坏棒 总长1000m 铁头 400
